{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '房间是真大', '短评打分': 5}
{'短评内容': '老板人非常好，住宿环境也不错', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '早餐没订因为要早起去景区游玩，老板人很好，环境还行，可以钓鱼记得带上渔具，就是有点远。老板说是距离镇上最近的村子了', '短评打分': 5}
{'短评内容': '老板一家人很好，很热情，不但接送车站还送我们到景点，临走老板在店里相当忙碌的情况下还抽空送我们，非常感谢，老板家的鱼头汤做的也非常不错，祝老板生意兴隆！', '短评打分': 5}
{'短评内容': '入住月光农庄是正确的选择！放下出外旅游的任何谨慎担心。月光、项老板给我们了亲人的接待，接送、陪游。“太阳下山可以玩水了”、“饭已OK下来米西了”就像在家一样。', '短评打分': 5}
{'短评内容': '周边环境堪比桃花源，老板的土灶胖头鱼鲜美！', '短评打分': 5}
{'短评内容': '导航到目的地，很容易找到，周边依山伴水，小孩一到就说晚上要钓鱼，景观和设施都齐全完备。住宿的房间都带窗，宽敞明亮，最重要的是干净，老板人特别好，在他家定的水之灵的演出票价格便宜很多，老板还帮忙取回纸质票。老板娘笑脸相迎很朴实好客，晚餐和早餐都是在他家吃的，真正有家的感觉，很赞！五星推荐', '短评打分': 5}
{'短评内容': '农庄三面环湖，有时间的话还可以去门口的湖里钓钓鱼，真是养生休闲的好地方。', '短评打分': 5}
{'短评内容': '服务态度挺好的，地方比较清静，就是离公交站有点远得打的过去。', '短评打分': 3}
{'短评内容': '这次到千岛湖度假，刚好前几天在电视节目上看到有一家农庄的鱼做的很诱人，就在携程上预定这家月光农庄，到了后还真有点惊喜哦！农庄不但千岛湖鱼的味道超级棒，而且风景非常优美，特别是晚上的夜景很美很美，真的让人留连往返啊！可惜这次时间短促，没有好好享受这美景美味，下次一定还要去多住几天。写了这么多发点照片和大家分享一下。 ', '短评打分': 5}
{'短评内容': '房间布置的古色古香，窗外风景也很好，老板人很好，不会忽悠你点不划算的菜，鸡也可以来半只，还免费提供皮划艇救生衣去游水，早饭是南瓜粥配小菜，不错哦', '短评打分': 3}
{'短评内容': '老板人真的很好，做菜也很好吃，各种满意', '短评打分': 5}
{'短评内容': '这次和朋友一起来千岛湖游玩，在携程网上预定了这家浙江电视台厨星高照栏目推荐过的农庄，年轻的老板有在日本和瑞士工作过很多年经历。在电视上看到柴火鱼的制作全过程，就很眼馋。这次我们也特意点了一条千岛湖的正宗胖头鱼，用柴火烧的鱼味道真的不一般，非常鲜嫩可口。房间卫生也干净整洁，湖景房景色也非常棒。下次来千岛湖还会选择这家农庄。', '短评打分': 5}
