{'descr': '不错，很好的选择', 'star': 5}
{'descr': '整体不错的，下次来有需要还会住，位置也很好 商场，剧场一应俱全，房间也干净，重点是安静，点赞一下子。', 'star': 5}
{'descr': '订这家酒店最主要的原因是离天桥剧场近，酒店位置距离天桥剧场只有几步之遥，前台态度不错，房间设施应该是比较简陋了。本来给我们306房间，无奈空调叶片声巨响，而且几十秒响一次，好在反应后即刻帮忙更换了房间，换到了506房间。这次是卧室位置那片区域灯全不亮，基本就摸黑吧（我们是靠卫生间的灯光）而且插座布局不是很合理。 总体来说，设施也就是招待所水准，我们因为主要目的是看演出，所以也不是特别在意了，但对设', 'star': 4}
{'descr': '非常不错，干净整洁', 'star': 5}
{'descr': '西餐不错，价格便宜，适合带小孩居住', 'star': 5}
{'descr': '好好，很好，特别好，非常好。', 'star': 5}
{'descr': '这个必须赞一下，很温馨的小旅社，有家的感觉，一楼的西餐酒吧不错，味道很好的，价格实惠。前台两位美女都特别热情，大赞&hellip;&hellip;', 'star': 5}
{'descr': '交通便利 性价比超高', 'star': 5}
{'descr': '房间较大，位置优越，环境优美，设施完善，携程网价格优惠，以后北京出差的首选地。', 'star': 4}
{'descr': '酒店位置优越，交通便利，闹中取静，房间很干净，布置的也很温馨，相比同档次酒店，性价比很高。酒店客房非常干净，布置的很温馨，床品很舒服，必需的都有,服务员很热情，下次还会入住。  ', 'star': 5}
{'descr': '位置很好，房间很宽敞，价格便宜，前台特别亲切，客气。五星推荐！', 'star': 5}
{'descr': '为了看歌剧魅影，位置绝佳，就是卫生需要再提高，尤其是毛巾和被褥。。。', 'star': 5}
{'descr': '挺不错的，交通很方便 环境也不错 挺满意的', 'star': 5}
{'descr': '好 好', 'star': 5}
{'descr': '条件非常好~很干净~环境安静~不错的选择~', 'star': 5}
{'descr': '就像家庭旅馆 位置不错 服务不太好 设置落后', 'star': 1}
{'descr': '第二次住了，酒店比较安静、干净，就是早餐太简单了，简单的不能在简单了，30元的价格也比较高，离天坛比较近，去天坛游玩比较方便。', 'star': 5}
{'descr': '服务比较令人满意，环境卫生还可以，推荐...........', 'star': 5}
{'descr': '地方比较安静，但是有好多不好的地方， 洗澡间没有防滑垫也没有塑料拖鞋，只能站在冰冰的地板砖上洗澡，早餐价格30元比较高的。倒是离天坛比较近。', 'star': 5}
{'descr': '还好，外国人住的比较多，安静，但是人比较杂。', 'star': 5}
{'descr': '又贵条件又很差！最可气的是服务态度那叫一个疵！刚11点半 就催促我们离店，哄客人走，什么意思啊！房间空调开暖风照样给凉风！牙具得现要，不要不给，房间里无烟灰缸，总之400块钱 真的很不值！！不推荐去！请大家看清楚了！！！！', 'star': 1}
{'descr': '北京瑞洁宾舍酒店据说是按照100马克的标准设计的\n很可惜没有一点马克的气氛\n但是相对而言，比较安静。这是可取之处', 'star': 5}
{'descr': '位置理想 交通方便 很安静的房间 房间比想像的好的多 服务质量也没得说', 'star': 3}
{'descr': '地点清静，环境好。距离天桥剧场只要步行五，六分钟，我就是为看俄罗斯国家芭蕾舞团的演出从天津去的，住这家酒店很方便，实惠。', 'star': 5}
{'descr': '静静的感觉让人安心。服务人员比较专业，对内外宾都很友好耐心，那就叫专业，很好。我的房间很大，但外边走廊较窄。', 'star': 5}
{'descr': '酒店很安静干净，服务人员很热情，就是房间网络没有，虽然有网线但使用不了，问服务员回答网线有问题，最后在咖啡厅里上的，呵呵。给个评价中等偏上吧', 'star': 5}
{'descr': '很清静也很方便，步行就可以到天桥杂剧院，天坛。。。。。。。。价格在便宜些就好了', 'star': 5}
{'descr': '地方虽偏一点.但有车接送.比较干净.周围也比较安静.下次还会再来', 'star': 5}
{'descr': '非常不错，很小巧，很精致，给人家一般的温馨，主要是涉外，外国人非常多，位置方便，旁边就是天坛公园，还有德云社呢', 'star': 5}
{'descr': '宾馆的规模虽然不是很大，但是有家的感觉！有自己的花园，风格很田园，包括室内的摆设和房间的布置！全天都很安静！外国人来住的很多！', 'star': 5}
{'descr': '该酒店交通便利，房间很干净。服务态度也很周到。离天坛医院很近，下个月来复查还住这里。', 'star': 3}
{'descr': '环境很好，地理位置很好，交通很方便。服务很好，总之，我很喜欢。', 'star': 5}
{'descr': '挺干净的，离天坛公园比较近，去天坛医院比较方便', 'star': 5}
{'descr': '北京瑞洁宾舍酒店位置处于天坛西门对面，闹中取静，晚上很安静，有利于休息；公交车站门口很多，基本上北京的几个旅游景点都到，很方便；', 'star': 5}
{'descr': '闹中取静的绝佳位置，价格实惠，交通方便，门口就是公交总站；去各处旅游景点非常方便，对门就是天坛；房间很干净，毕竟是涉外酒店，一点不含糊；美中不足的就是房间小了点。', 'star': 5}
{'descr': '位置处于天坛西门对面，闹中取静，晚上很安静，有利于休息；公交车站门口很多，基本上北京的几个旅游景点都到，很方便；', 'star': 5}
{'descr': '房间宽带不能用\r\n试了三个接口不能用 插入网线后网卡灯不亮 我都怀疑是我的笔记本网线接口坏了 服务员还解释说网络是正常的\r\n回家一试 用的很好 无语\r\n地理位置极好 价格比较高 性价比一般', 'star': 1}
{'descr': '酒店服务不错。', 'star': 5}
{'descr': '隔音还不错，没听到什么杂音，一晚上睡的挺踏实。', 'star': 5}
{'descr': '服务一流，很关心客人，办事很主动，位置很好，离景点很近，观景逛街很方便。', 'star': 5}
{'descr': '客房很宽敞很干净，服务上很热情，感觉住的很舒适。', 'star': 5}
{'descr': '酒店很棒，打扫的很干净，设施也齐全，出行很方便，这次住的很开心。', 'star': 5}
{'descr': '服务很热情，房间里很干净，逛街很方便。', 'star': 5}
{'descr': '离天坛很近，房间面积可以，打扫的也干净，挺满意的。', 'star': 5}
{'descr': '居民楼改造的宾馆，比较适合外国人住，还有就是不太好找，\r\n值的一提的是服务员很热情服务很到位，可能也是和老外打交道多的原因', 'star': 5}
{'descr': '离天桥剧场特别近，喜欢听相声的朋友入住非常方便', 'star': 5}
{'descr': '一个温馨的酒店，有家的感觉。交通也方便，就是第一次去时难找一些', 'star': 5}
{'descr': '比较适合外国游客', 'star': 5}
