{'descr': '空调坏了呢', 'star': 5}
{'descr': '环境很好很干净', 'star': 5}
{'descr': '酒店很好找，房间挺大的，干净卫生，有窗户，窗户几乎占了一面墙。拉开窗帘视野开阔，隔音效果也挺好的。酒店楼下饭馆也多，对面有个超市，推荐！', 'star': 5}
{'descr': '吃东西方便，搭地铁方便。还算安静。服务热情。房间够大。卫生间卫生一般。到鼋头渚腿着去还是很远的，打车显示三公里多。价格算非常公道了!', 'star': 4}
{'descr': '家庭房很好，就是位置有点偏', 'star': 4}
{'descr': '母亲去的，说不错', 'star': 4}
{'descr': '怎么说呢，就是快捷酒店的样子吧，隔音效果极其差，晚上有一对情侣一直在吵架，完全没怎么睡着，只是位置还算好，住一晚就凑合一下了', 'star': 4}
{'descr': '靠家很近，来亲戚了经常订他家，很好，干净卫生', 'star': 4}
{'descr': '性价比不错，交通也便利，地铁站很近', 'star': 4}
{'descr': '满意', 'star': 5}
{'descr': '住过多次了，离家比较近，家里朋友亲属来了，都安排这里，价格也实惠', 'star': 4}
{'descr': '整体不错，很干净，房间也很安静，离太湖景区地铁站车站都很近。', 'star': 4}
{'descr': '前台小哥人特别好，送了一份早餐', 'star': 3}
{'descr': '很不错的酒店，性价比很高', 'star': 4}
{'descr': '房间挺干净的，挺舒服的感觉，基本到异地游玩都会选择汉庭，挺不好的，不错不错。', 'star': 5}
{'descr': '去梅园啥的比较方便，开车去万达也不太远。比一般的汉庭似乎差了些。', 'star': 5}
{'descr': '还不错，离梅园、鼋头渚等景区很近，交通也方便，房间设施也还行。', 'star': 5}
{'descr': '很好，服务确实不错。环境也好。', 'star': 3}
{'descr': '该酒店员工服务态度不错,床上用品比较新,很舒适,性价比高.', 'star': 5}
{'descr': '隔音效果有点差、、、、、、、哎、、、、、、、、隔壁的人影响休息', 'star': 1}
{'descr': '服务态度挺好的   前台也不错   很客气  就是住在了一个角落了', 'star': 5}
{'descr': '服务很好  很到位   卫生也很干净    前台办事效率很快  ', 'star': 5}
{'descr': '隔音不好，打呼噜声都能听见，别的还是不错的！！！！！', 'star': 5}
{'descr': '床较大、卫生情况尚可，隔音差、床垫、枕头不舒服、卫浴间门有很难听的异响。住的高级大床房淋浴龙头不能调节冷热，差点烫伤。', 'star': 1}
{'descr': '隔音确实不行，别的还不错。出行比较方便！', 'star': 5}
{'descr': '优点：离无锡的几个主要景区距离适中。都有公交车相通。酒店服务员也很热情。房间卫生也可以，淋浴水也很充足。\n缺点：再一次的证明了，酒店总台会找不到预定单，所以通过网上预定的朋友一定不要删除预定确认短信。房间隔音效果不好，连隔壁的打呼声都可以听到。\n推荐纯旅游的朋友可以选择！', 'star': 5}
{'descr': '酒店很干净，而且空气很好哦，是帮朋友订的，朋友评价特别好，安静，卫生，服务好！', 'star': 5}
{'descr': '交通，   小吃，   便利店离的都有些距离 。', 'star': 5}
{'descr': '去了之后说没有我的订单，本来大床的，只好住双标了。只好一个人享受2张床吧', 'star': 1}
{'descr': '去了说没有我的订单，但是还是态度很好的给我了房间并补了订单，态度很好，房间不错，大床很大，推荐', 'star': 5}
{'descr': '= =价格比较便宜，酒店性价比比较高,唯一不足的就是房间里没有吹风机', 'star': 5}
{'descr': '去的时候周边正在修地铁， 不过附近就有公交站，很方便。房间很大很好，服务也不错。', 'star': 5}
{'descr': ' 不错', 'star': 3}
{'descr': '地点很好。去灵山大佛可以坐公交。去梅园更近。还有去河埒口的万达广场都不太远。', 'star': 5}
{'descr': '交通比较方便，公交车都可以到。去无锡的各个景点也方便。很干净，前台的服务员王勇很好。以后去无锡还会再去的。', 'star': 5}
{'descr': '设施很好，很干净，也宽敞！就是位置在新区吧，有点偏，晚上较安静，附近想找家饭店吃饭可不容易。88路公交经过\n', 'star': 5}
{'descr': '很新，管理也不错，电梯是只有住户才能用，门口有停车的地方，距离市中心稍远', 'star': 5}
{'descr': '卫生间门太响了~关门开门都响~\n\n态度还算可以，位置也算可以~', 'star': 1}
{'descr': '酒店不错，干净。离太湖近。\n但地理位置偏，出门吃／玩都不太方便。', 'star': 1}
{'descr': '整体环境还不错。房间布局一般，服务态度还好。', 'star': 5}
{'descr': '还不锡，挺干净的，洗澡间有一大块透明玻璃。网速不是很快。', 'star': 3}
{'descr': '交通便利，房间装修较新，但房间不隔音乃一大败笔，可能我预定的是档次最差的吧，总之对自由行旅客还是不错的', 'star': 5}
{'descr': '位置不错，交通便利，房间干净，卫生也不错，热水很爽，价格合理，服务热情！', 'star': 5}
