{'短评内容': '重复收款！', '短评打分': 1}
{'短评内容': '在平遥古城里算是比较实惠的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '总体还可以，服务态度不错，北方的冬天房间里没有暖气一直吹空调还是蛮干燥难受的，卫生间里冷，带小孩过年期间入住，老板仁义的给多配了一电暖气~~', '短评打分': 5}
{'短评内容': '节假日房间高也属正常，大床房就是罗汉床，约1米5宽，稍有些小，院子还是很有特色的，只是没有10年前看上去有生机又古朴的样子。平遥古城商业化中感受到的其实是古韵和原汁原味的凋敝，繁荣热闹下反映出了落寞冷清。', '短评打分': 4}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '除了距离主街道近点，其他都很差，特别是服务，只要你给前台打电话就只有一句话，你自己办吧顾不上。', '短评打分': 2}
{'短评内容': '卫生条件差，卫生间的灯晚上就不亮了。', '短评打分': 1}
{'短评内容': '条件一般。', '短评打分': 3}
{'短评内容': '酒店地址、环境都不错。就是没有热水。服务态度不错，就是不能解决问题。', '短评打分': 4}
{'短评内容': '原定的民俗土炕，预付款，但酒店没给留房，给了个二楼房间，卫生间经常断水，使用很不方便，到了晚上，卫生间电也不能用，很奇葩', '短评打分': 3}
{'短评内容': '老板人好好', '短评打分': 4}
{'短评内容': '条件差价格贵', '短评打分': 2}
{'短评内容': '酒店位置离南门很近，进了南门往东一拐就是，特别好找，挨着风情街，想晚上去酒吧的太方便了，喝多了几步路就回去睡觉觉了，设施比较新，只是早上冲澡水温不算高，但总之还是赞！', '短评打分': 3}
{'短评内容': '已入住符合描述满意！', '短评打分': 3}
{'短评内容': '非常好的酒店。是我睡过酒店睡的最香甜的一晚', '短评打分': 5}
{'短评内容': '一般还行', '短评打分': 3}
{'短评内容': '有民俗特色的宅院 环境好 很满意 ', '短评打分': 3}
{'短评内容': '环境优雅、古色古香、卫生尚可、值得一住。', '短评打分': 5}
{'短评内容': ' 服务员态度很好，房间隔音不好，卫生间太差', '短评打分': 3}
{'短评内容': '内部环境一般，服务员的服务态度一般，舒适度一般', '短评打分': 1}
{'短评内容': '位置还好，不是很吵闹。房间设施实在不敢恭维，特意换了土炕间，夜里还是冷的不行。而且早上没有洗澡水。夏天去可能会好些。', '短评打分': 1}
{'短评内容': ' 满意', '短评打分': 5}
{'短评内容': '非常有古城特色的土炕房间，离古城南门较近，不会像市中心的客栈那样喧哗繁闹。房间基本满意，只是服务稍显落后，无线网速时有时无。卫生条件也还不错，房间内独立的卫生间能保证24小时热水。总体来说还是满意的。', '短评打分': 5}
{'短评内容': '外面看上去环境还不错，但室内条件不理想。\n桌子上灰尘很厚，地毯看上去铺了有十年没洗的感觉，卫生间用具也比较脏乱，锈迹斑斑。', '短评打分': 3}
{'短评内容': '外面看上去环境还不错，但室内条件不理想。\n桌子上灰尘很厚，地毯看上去铺了有十年没洗的感觉，卫生间用具也比较脏乱，锈迹斑斑。', '短评打分': 1}
{'短评内容': '预定的十一期间的民族土炕房，房间古香古色的，被子是1.5*2m的，不算厚，加被子要收费，卫生间设施有点简陋。服务还好，我们开车去的，下午2点到古城外打电话，有专人给带到客栈里，小院能停8-10辆小车，可能由于到的早走的晚，没有很费劲的揉库，而且有专人给指挥。不知道是不是点背，那几天不能无线上网，结账时被告知刷卡机也坏了……', '短评打分': 5}
{'短评内容': '客栈环境不错，价格合理，服务热情，总而言之性价还可以', '短评打分': 3}
{'短评内容': '+酒店环境不错，价格合理', '短评打分': 5}
{'短评内容': '客栈离南大门很近，在古城不算是最中心的位置，但是毕竟古城不大，所以去哪里也都比较方便。外观看上去比较恢弘，我们住的是土炕，房间风格还比较有韵味。但是柜子有点甲醛的味道，洗手间设施也比较简陋，不过这归根结底是间客栈，也就不挑剔了。性价比还可以。', '短评打分': 5}
{'短评内容': '环境不错!', '短评打分': 5}
{'短评内容': '住宿环境还可以，但洗漱的条件简陋。房价也有些高。', '短评打分': 3}
{'短评内容': '已入住忠恕园客栈.房间还清洁.服务态度不错.就是房间太小.设备简陋.旅游点.只能这样了.', '短评打分': 5}
{'短评内容': '酒店的位置还成，在步行街附近，出行还比较方便。', '短评打分': 5}
{'短评内容': '房价合理，服务也很好，房间设施一般有待提高', '短评打分': 5}
{'短评内容': '在平遥来讲算是比较达标的酒店，配置硬件都还好，卫生服务也很达标 ，价格合理适中，值得推荐入住的酒店，性价比还不错。但是没有四星级的标准，位置还不错，可以推荐入住。', '短评打分': 5}
{'短评内容': '服务态度比较热情，卫生和设施都不错，不过价格在当地还不是最便宜的，当时酒店还是去接的我们感觉还行，总体还不错。', '短评打分': 5}
{'短评内容': '土炕看着还比较干净整洁，3米x2米，很宽大。卫生间设施一般，花洒水流量较小。客栈位置算不上最热闹的区域，不过走着到古城中心地段也不远，毕竟古城也没多大。总体来说春节的价格跟其他客栈相比还是不算贵了吧。不过客栈的餐饮就不敢恭维了，味道实在很一般，相比之下，云锦城的厨艺就好很多了，价格在古城里也不算贵了。古城里有不少黑心店，菜贵的离谱，一定要先看菜单，不对路就赶紧撤吧。另外平遥的牛肉真的这么出名吗？一', '短评打分': 5}
{'短评内容': '卫生还成,夜里有蚊子 ,没有驱蚊的设备,不太好,地理位置有些偏,基础设施还算完善,价格偏高,下次也会选择其他酒店看看', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都还好，出行交通方便，价格合理适中，卫生服务也很达标。整体来讲在平遥可以推荐入住的酒店类型。', '短评打分': 3}
{'短评内容': '酒店位置不太好找，在平遥古城里面，比较绕，酒店内部的环境，服务都挺好的，如果在附近办事可以选择这家酒店', '短评打分': 3}
