{'descr': '位置和环境蛮好的，就是房间小了点！呵呵！', 'star': 5}
{'descr': '房间设施设备齐全！价格公道！', 'star': 4}
{'descr': '宾馆环境好', 'star': 5}
{'descr': '干净，手续简便。', 'star': 5}
{'descr': '网上订的，性价比还可以', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': 'great place for a stopover on your travels... would recommend', 'star': 3}
{'descr': 'pretty good place for a stopover on your travels..', 'star': 3}
{'descr': '房间有点小吧，设施一般。 服务很热情的，卫生状况也不错。位置好，出行方便，服务到位，早餐丰富，', 'star': 5}
{'descr': '位置挺不错，交通方便，距离沈阳站和太原街都很近。门上有很宽的一条缝隙，后来跟前台说调换一下，给调了。服务态度很好', 'star': 5}
{'descr': '位置好，出行方便，服务到位，早餐丰富，就是电梯有点槽人，夜里声音大，订房时有说明就好了，。。。。。。。', 'star': 5}
{'descr': '好！', 'star': 5}
{'descr': '出差住在这里，除了空调没有遥控器，其他都很满意', 'star': 5}
{'descr': '很暖和就是房间小一点。可能我这个特价房就这样吧。另外，还得走一层楼梯。其余都挺好。', 'star': 5}
{'descr': '非常干净 细节做的都很好 毛巾很柔软.不像别的快捷毛巾很硬 床单都很干净 床垫很舒服 总之以后都会选择锦江 性价比极高 十分满意！  有用(0)', 'star': 5}
{'descr': '非常干净 细节做的都很好 毛巾很柔软.不像别的快捷毛巾很硬 床单都很干净 床垫很舒服 总之以后都会选择锦江 性价比极高 十分满意！  有用(0)', 'star': 5}
{'descr': '普通的快捷酒店，一般般，没有什么特别的地方。就是住住吧', 'star': 5}
{'descr': '离车站挺近的 环境还不错 就是我定的是特价房 在顶楼 电梯不到 要走两层', 'star': 5}
{'descr': '网上订的特价房，去了一看住在阁楼，电梯只有六层，还要爬两层楼。感觉很不好', 'star': 3}
{'descr': '汉庭我一直很喜欢，所以下次还会入住这家，一如既往的支持', 'star': 5}
{'descr': ' 酒店设施很好！不过隔音比较差！能听到走廊的声音！早餐很不错！', 'star': 3}
{'descr': '不错。卫生不错，位置不错，服务不错，总体不错！', 'star': 5}
{'descr': ' 还行吧，一般…', 'star': 3}
{'descr': '交通便利 但是房間太過窄小不是很舒服網絡也很慢', 'star': 5}
{'descr': '服务和卫生都很好，服务员的态度也不错，还会再来', 'star': 5}
{'descr': '酒店确实有点偏，周围挺荒凉的，不过还算好找，辛店村站牌下来往前不远就看到了。环境还可以，隔音不是很好。热水出的也有点慢。服务态度还是挺不错的。前台还帮忙给带叫出租车。有点小建议。床头最好加两个电源，手机没电不能在床头冲真的很烦人。其他都还不错，有机会的话应该还会住的', 'star': 5}
{'descr': '不错、离太原街很近、去中街坐地铁驾车或打车都很方便！环境很好！', 'star': 3}
{'descr': '服务态度好，整洁，就是隔音差点。', 'star': 3}
{'descr': '还不错，就是设施老旧，很卫生，服务也很好', 'star': 5}
{'descr': '总体来说还好', 'star': 3}
{'descr': '  房间有点小 位置有点偏  感觉一般', 'star': 3}
{'descr': '隔音太差了，气味难闻。第二天就住隔壁如家了。', 'star': 1}
{'descr': '除了位置好外，太过简陋，不隔音。前台胖小子态度冷漠，价高，不推荐。', 'star': 1}
{'descr': '房间很干净，服务态度也很好。就是在街道里面不是特别好找', 'star': 5}
{'descr': '毗邻太原街中华路商圈，离地铁站和沈阳站很近，交通方便；早餐马马虎虎，房间不大，床很舒适。不错', 'star': 5}
{'descr': '房间冷，暖气夜里还会呲呲响吓我一跳，早餐很差，服务态度还行，下次不会住这里了。', 'star': 3}
{'descr': '这家汉庭比其他的小，墙体有的部分都裂了。', 'star': 1}
{'descr': ' 环境不错很安静房间也挺干净 就是离地铁站有点远 ', 'star': 3}
{'descr': '离马路湾机场大巴站和太原街近\n有早餐，节省去外面进餐的时间\n隔音稍差。', 'star': 5}
{'descr': '简直太冷了。还不提供加床。。。。。。。。。。。。', 'star': 1}
{'descr': '整体不错，服务态度也很好。因为电梯需要刷卡，所以感觉要安全一些…不过可惜没电脑，而且无线网也没办法用', 'star': 3}
{'descr': '服务态度可以，满意。谢谢！', 'star': 3}
{'descr': '服务优质，环境优雅，干净整洁，地理位置俱佳，出行方便', 'star': 5}
{'descr': '服务不错。', 'star': 3}
{'descr': '很好，干净，就是小了点儿', 'star': 3}
{'descr': '很舒适，环境不错。出行也很方便，下次还来这家。', 'star': 5}
{'descr': '有点偏', 'star': 3}
{'descr': '服务态度好，房间干净卫生', 'star': 3}
{'descr': '房间精致整洁,比较温软,服务也比较好,离鸟巢也非常近.', 'star': 5}
{'descr': '很干净，就是小点，特价房一般都这样的,对的起这个价格，希望多点这样的特价', 'star': 5}
{'descr': '十与其它如家相比，房间小，桌子只有一半，东西容易掉下来。服务也不到位。', 'star': 3}
{'descr': '很脏，屋里的柜子上的土非常厚，谈不上有任何的服务', 'star': 1}
{'descr': '＋这次入住感觉不好，房间淋浴喷头漏水，防滑垫已四分五裂，冷热水管标识都是反的，为等热水白白浪费了好多水！多可惜！望尽快改正。', 'star': 3}
{'descr': '总体来讲还是不错的，交通方便，热水也很好，屋里暖气也很足，服务态度更是没的说。不过，就是隔音不太好，我的房间正对着楼梯的门，有人走动的时候像是在屋里走，可能其他房间不会这样吧，还有就是可能我对沈阳不太熟吧，找得时候有点费劲。（以上言论仅供参考）', 'star': 5}
{'descr': '我订的是百元房，但是房间实在太小了，墙壁粉刷的窟窿也有好几个，和其他的汉庭比差太远。更为不爽的是，房间靠近电梯，上上下下的声音让我根本无法休息好，而旁边的房间却还空着没人住。', 'star': 1}
{'descr': '温暖！服务不错！地点也不错，去哪都方便！房间也很干净\n', 'star': 5}
{'descr': '房间很紧凑，但很干净，出差在外的朋友可以考虑一下离中街很近适合出行', 'star': 5}
{'descr': '酒店服务太差，屋子不隔音，住过很多快捷酒店这家最差的', 'star': 3}
{'descr': '环境还可以  挺安静  房间很整洁干净  希望早餐能够改进\n', 'star': 5}
{'descr': '地方有点偏 卫生条件还可以 其他设施也可以\n\n', 'star': 5}
{'descr': '十内容', 'star': 3}
{'descr': '门前施工，有点吵', 'star': 3}
{'descr': '环境还可以，就是有点小', 'star': 3}
{'descr': '不干净', 'star': 3}
{'descr': '周末百元房房间好小~不过一百块也值了。总体来说不如其他的汉庭', 'star': 3}
{'descr': '服务周到，房间干净，物品整齐，通风良好。卫生条件还行，就是位置不是太好找，但是有停车位，因为是在城铁边上，睡觉轻的，可能有影响，要考虑一下，我可没事的，下次有机会，还会入住的。', 'star': 5}
{'descr': '如家设施陈旧了', 'star': 3}
{'descr': '屋内环境很旧，价钱也 不便宜，服务态度一般', 'star': 1}
{'descr': '这是最后一间呢，幸运！暑假，大家都带孩子从家里出来了，好热闹', 'star': 5}
{'descr': '服务态度很好，环境卫生不错。尤其是一个美女领班，很好的服务啊', 'star': 5}
{'descr': '车位少', 'star': 3}
{'descr': '酒店还不错，干净，实惠\n签名:艳钰', 'star': 3}
{'descr': '我入住酒店时，酒店并没有提醒我相关楼层正在装修。早晨六点钟的时候就听见有工人在施工，钻头钻墙的声音还有锤子敲击墙壁的声音。的确让人难以忍受。酒店装修无可厚非，但是起码也应该在白天8点以后吧。不知道什么原因，居然施工这么早，可能是干工期吧，但是任何理由都不能以牺牲客人的休息时间为代价的。我隔壁房间的一位大哥也很生气。还好，我们只住一天，不用再忍受了，但是我们的确没有休息好。\n酒店卧室的环境还可以。八', 'star': 1}
{'descr': '感觉舒适 环境好', 'star': 3}
{'descr': '不知道是不是所有的房间都有这种情况，我住的房间很潮，房间的墙上都是霉斑，被子，床单都是潮乎乎的，睡起来非常不舒服。前台的服务倒是很热情，不过以后大概也不会选择这家店了……', 'star': 1}
{'descr': '还可以， 房间整洁。 还可以， 房间整洁。 还可以， 房间整洁', 'star': 5}
{'descr': '房间整洁，服务到位，物有所值。 ', 'star': 3}
{'descr': '酒店房间干净卫生，服务也好。不足之处是交通不方便，找到很不容易', 'star': 5}
{'descr': '帮公司同事定的酒店，不好做出评价，离上班的地方有点远', 'star': 5}
{'descr': '很好！', 'star': 3}
{'descr': '环境不错，交通也很便利。室内很干净，住着挺安心。会介绍给客户朋友。', 'star': 5}
{'descr': '还不错，典型的如家房间类型，周围没有商圈，不适合夜晚外出人员', 'star': 5}
{'descr': '酒店周边环境部不错，就是附近没有商圈，不适合夜晚外出人士', 'star': 5}
{'descr': '环境还不错，就是远了一些，门口有黑的，价格拦腰砍后，略微上浮一点。', 'star': 5}
{'descr': '酒店很干净，环境好，房间也比较大。赞一个！', 'star': 5}
{'descr': '服务态度是相当的好，大床房也很舒心。。。55555旁边指挥学院的藏獒叫了一晚上。。。我冒火了、', 'star': 5}
{'descr': '离中心商业区便利，周围生活便利，有共用电脑，就是没有餐厅', 'star': 5}
{'descr': '位置挺偏远的，交通不太便利。不过还好，比较干净。', 'star': 5}
{'descr': '感觉不错～就是有点小，挺不错的，', 'star': 3}
{'descr': '这边感觉好偏', 'star': 3}
{'descr': '快捷型酒店，能满足住宿需求而已，也不能要求过多。', 'star': 5}
{'descr': '给同事订的，反应还不错,以后方便的话会再选择。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '卫生间是透明的设计，总体还可以。值得入住。', 'star': 5}
{'descr': '挺好的，好像是收购其他酒店改名字了.房间不是很大，如果大床房是四个枕头就好了，现在就配三个。。。怎么睡啊', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '价格实惠,环境安静,能上网,方便快捷,比较满意.', 'star': 5}
{'descr': '地方有点偏 卫生条件还可以 其他设施也可以', 'star': 1}
{'descr': '卫生很好，住的很舒服，网速还可以，去机场很方便\n', 'star': 5}
{'descr': '差不多就行呗，一百元能怎么样啊，不错了兄弟们，挺好的~', 'star': 5}
{'descr': '非常好，性价比高！！！！！！！！！！！！', 'star': 5}
{'descr': '挺好的，服务周到热情，位置也好，就在中山广场边上的一条岔路上，就是暖气开得太大了，屋子里太热了，而且没有薄被子。', 'star': 5}
{'descr': '挺好的，位置也挺好，就在中山广场附近的，就是宾馆的暖气开的太热了，而且没有薄被子。', 'star': 5}
{'descr': '汉庭快捷酒店（沈阳中山广场店还行 是地热 就是小点 但是功能齐全', 'star': 5}
{'descr': '环境优雅，服务热情，地段好，交通方便，设施比较齐全。\n', 'star': 5}
{'descr': '地处繁华地段，环境比较不错，服务挺好，设施齐全，卫生也好。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '很干净，虽然房间很小，但是细节设计很贴心，下次还会再去住', 'star': 5}
{'descr': '很好，价廉物美。百元很实惠，推荐~就是房间有点小', 'star': 5}
