{'短评内容': '无', '短评打分': 4}
{'短评内容': '定的无早餐的，前台说办会员卡可以吃早餐，但第二天6点就要去朋友那，也吃不上早饭，就没有办理。看介绍，早餐看着挺全的。酒店设施都挺好，没有吹风机，酒店一股香水味，也许别人可以接受吧，但我不喜欢那个味道，总体挺不错的，退房挺快，除了整个酒店的香水味，没有不好的印象。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '服务实在不敢恭维，房型安排错了不说，还不解决投诉', '短评打分': 4}
{'短评内容': '隔音非常不好，没有窗户，旁边房间都是打麻将的。。。半夜很吵', '短评打分': 2}
{'短评内容': '房间干净，性价比高', '短评打分': 5}
{'短评内容': '酒店环境好，服务态度好，周边吃饭的地方也很多，尤其去博物馆很方便，就在旁边，值得推荐！', '短评打分': 4}
{'短评内容': '酒店住了有几次了，不错，挺方便，也有地停车', '短评打分': 5}
{'短评内容': '酒店设施成旧，周围有很多小吃店', '短评打分': 3}
{'短评内容': '房间宽敞，安静。不错！', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '环境一般，房间卫生不错，就是去酒店的路不好，需要打车', '短评打分': 3}
{'短评内容': '房间太小床太硬，唯一优点是地理位置好，出行方便！', '短评打分': 3}
