{'短评内容': '房间主题还不错 就是隔音不是很好。总体一般', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '抽到了最不喜欢最心酸的主题。还是等了半个小时的。不开心很伤心。', '短评打分': 3}
{'短评内容': '不错的一家主题酒店。服务态度很好。', '短评打分': 5}
{'短评内容': '经常住这家，不错的。', '短评打分': 5}
{'短评内容': '在浴室滑倒了2次但是房间是挺好的浴缸也很舒服', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '为什么要50个字 为什么要50个字 为什么要50个字为什么要50个字为什么要50个字为什么要50个字', '短评打分': 5}
{'短评内容': '好好~房间超大', '短评打分': 5}
{'短评内容': '交通方便，已经第二次住了', '短评打分': 4}
{'短评内容': '还可以吧就是房间有点味道 空间不怎么大', '短评打分': 3}
{'短评内容': '房间有浴缸，自己清理一下给小孩玩，他好高兴', '短评打分': 3}
{'短评内容': '周边很多吃的，方便，离玩的地方也不远', '短评打分': 3}
