{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '111111111111111111111111111111111111111111111111当头红111', '短评打分': 3}
{'短评内容': '环境舒适，服务热情，早餐品种丰富，味道不错，性价比可以。', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好，住着可以', '短评打分': 5}
{'短评内容': '很好哦', '短评打分': 5}
{'短评内容': '房间可以，卫生间好像有点漏水。', '短评打分': 5}
{'短评内容': '酒店卫生舒适，含早餐，比较丰富。停车场较大，停车方便。到崇阳出差旅游，住店是不错的选择。宾馆前台配有免费地方旅游地图。', '短评打分': 5}
{'短评内容': '还好，有点旧了，要装修了，跟不上了', '短评打分': 4}
{'短评内容': '去浪口温泉订不到房间了，选择了崇阳县城内的酒店，交通很便利，标牌很清楚，房间很大，设备虽有点旧，但很齐全，性价比非常高，住得很开心！', '短评打分': 4}
{'短评内容': '非常不错，酒店服务员态度很好。酒店干净卫生。', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '环境不错干净卫生，服务不错，吃饭方便还便宜而且卫生', '短评打分': 5}
{'短评内容': '还不错设施齐全，没什么不方便的', '短评打分': 3}
