{'短评内容': '值', '短评打分': 5}
{'短评内容': '价格便宜，还给我自己开了一个家庭房', '短评打分': 5}
{'短评内容': '交通便利。用餐方便。去火车、长途站方便。卫生、齐全、热情。', '短评打分': 5}
{'短评内容': '性价比很高，不错推荐！', '短评打分': 5}
{'短评内容': '硬件设施比较老旧', '短评打分': 3}
{'短评内容': '还行吧好的', '短评打分': 4}
{'短评内容': '酒店干净卫生，周边什么都有，挺方便的', '短评打分': 5}
{'短评内容': '酒店干净，价格实惠，离濠河很近', '短评打分': 5}
{'短评内容': '棒棒哒，干净卫生舒服，很满意的一次', '短评打分': 5}
{'短评内容': '房间设施有点旧，很干净也比较宽敞。适合商旅出差入住。', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。', '短评打分': 3}
{'短评内容': '定的单间没房了，给换了个标间。房间比较大，挺好的。', '短评打分': 5}
{'短评内容': '房间挺大，卫生条件也还不错，就是早饭太简单了', '短评打分': 3}
{'短评内容': '一般般，房间小～', '短评打分': 3}
{'短评内容': '房间一般，就是个招待所，随便住住吧～', '短评打分': 3}
