{'短评内容': '还好，就是内设施很久！', '短评打分': 4}
{'短评内容': '方便出行，古城内', '短评打分': 5}
{'短评内容': '总的来说是可以的，民宿客栈，木结构建筑，', '短评打分': 5}
{'短评内容': '很好 在木府旁边 去四方街也不远 车可以停在城门口的停车场，房间有空调 洗手间 ，老板人很好。', '短评打分': 5}
{'短评内容': '很好 在木府旁边 去四方街也不远 车可以停在城门口的停车场，老板人很好。', '短评打分': 5}
{'短评内容': '去的时候客栈新建了一个院子，正在装修，门前全部挖开了，没有空调，不保证24小时热水。房间里灯光不足，插头水龙头都有坏的，各种设施急待修缮。 但是老板人挺好的，可以帮订行程。总的来说在丽江性价比还是很高的', '短评打分': 3}
{'短评内容': '位置不错，出行方便，房间宽敞，老板挺好', '短评打分': 4}
{'短评内容': '环境卫生很好，赶公交去丽江古城也方便，隔机场仅有两分钟的行车路程，超赞。。。', '短评打分': 5}
{'短评内容': '性价比高，老板态度很好。', '短评打分': 5}
{'短评内容': '性价比高的客栈，老板态度很好。', '短评打分': 5}
{'短评内容': '这里好。。哈哈。老板服务态度非常好。晚上还给我们打热水。', '短评打分': 5}
{'短评内容': '很不错的地方。', '短评打分': 5}
{'短评内容': '早安，小院环境非常棒，设备齐，特别是睡得非常香', '短评打分': 5}
{'短评内容': '最喜欢的是庭院，坐在院子里，慢慢品茶', '短评打分': 5}
{'短评内容': '这边环境很好，而且离四方街很近，老板人很好给我们推荐了很多好吃的，好玩的，下次还会再住', '短评打分': 5}
{'短评内容': '住了三天  地点还不错哦  比较大 有三个院子 在丽江应该算大的客栈  环境很漂亮', '短评打分': 5}
{'短评内容': '客栈保留了原汁原味的纳西风格，离四方街不远，餐吧有WIFI，在餐吧点餐收费合理，住宿环境整洁。', '短评打分': 5}
{'短评内容': '很舒服。环境不错。下次还会来。下次来住多几天、', '短评打分': 5}
{'短评内容': '木质结构的小客栈，隔音效果特差。隔壁房打呼噜声，吵架声，甚至连睡觉翻个身，都能听得一清二楚。古城的客栈基本都是木质结构。如果追求睡眠质量的，最好还是住新城区的酒店。', '短评打分': 1}
{'短评内容': '我就是不明白了，那么好的位置和房间，怎么就配上个素质那么低的老板和服务员呢？', '短评打分': 1}
{'短评内容': '在这个价位上应该还算是不错的选择了，老板比较热情，能提供比较有用的旅游信息', '短评打分': 5}
{'短评内容': '    客栈的位置还算不错，从火车站过来也就20分钟左右。客栈布置的很温馨，楼顶的观景平台可以看到古城的美景。', '短评打分': 5}
{'短评内容': '院子房间都挺大的，但床很硬被子很窄，睡着一点也不舒服！', '短评打分': 1}
{'短评内容': ' 要提供接车就好了 自己找比较困难', '短评打分': 3}
{'短评内容': '酒店不错！很方便！服务也好！只是接机服务是收费的！', '短评打分': 3}
{'短评内容': '客栈周边绿化做的很好，还有个小院子，没事时可以出来坐坐，房间床品很舒适柔软，卫生间洗澡没问题，住宿条件还算可以', '短评打分': 5}
{'短评内容': '是个客栈形式的酒店，房间布置的很温馨，有家的感觉，卫生条件很好干净整洁，周边出行交通很方便，住宿环境很不错', '短评打分': 5}
{'短评内容': '是一家小型客栈，性价比较高，房间干净舒适，酒店周边出行很方便，服务很到位，卫生条件很好', '短评打分': 5}
{'短评内容': '酒店位置不错，走路几分钟左右就能到四方街，环境很好，比较安静，客栈老板很热情周到，友善，房间的床品很舒服，柔软舒适，硬件齐全，洗衣服都问题', '短评打分': 5}
{'短评内容': '客栈挺不错的，住宿环境很好，服务热情周到，里面还有个小院，感觉蛮惬意的', '短评打分': 5}
{'短评内容': '小客栈很不错，是木制结构的房间，床品很干净卫生，房间里有个小窗台没事可以晒晒太阳，舒适度很好', '短评打分': 5}
