{'descr': '这个比附近的汉庭好点弟弟住院没办法住这附近', 'star': 1}
{'descr': '真心不咋地，满地虫', 'star': 1}
{'descr': '给我们私自改了房间，订的是商务房间，结果换成200多块钱的房间，而且还不退多余的钱', 'star': 2}
{'descr': '这个双人房安排在电机边好吵！睡不着！半夜要求换房开始还说没房！后来强烈要求下换了间价格低的房！感觉这个酒店贵的便宜的都靠店员自己排，压跟看不出好坏！', 'star': 4}
{'descr': '二楼房间比一楼好太多，一楼有股味道！听说明天开始要不开了！下次来不知道住哪！这里离医院近，又方便，还能免费停车！', 'star': 4}
{'descr': '还行，朋友每次都住这里。', 'star': 4}
{'descr': '房间设施等陈旧', 'star': 4}
{'descr': '服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶', 'star': 5}
{'descr': '服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶', 'star': 5}
{'descr': '离六院很近 很方便', 'star': 5}
{'descr': '离六院很近，特别方便，离宜山路地铁站还是有一段距离的', 'star': 5}
{'descr': '挺方便的', 'star': 4}
{'descr': '环境不错 位置方便', 'star': 4}
{'descr': '服务可以，还比较热情。', 'star': 4}
{'descr': '很一般的酒店 前台服务不错 可是 为什么不提供牙刷什么的……', 'star': 3}
