{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '总体服务很好，房间挺大，很干净卫生，舒适，很满意！就是被子太薄了。房间位置在深圳福田中心区，窗户很大，窗外的夜景很美，很漂亮！', '短评打分': 5}
{'短评内容': '早餐没吃到，里面设施绝对是性价比之王……', '短评打分': 5}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '位置好，房间够大。', '短评打分': 3}
{'短评内容': '还行吧，和想象中没差多少，就是设备设施有点陈旧了，当然不是新酒店是有差别的。但是离会展中心很近，每天走路过去就可以。', '短评打分': 4}
{'短评内容': '还行吧，和想象中没差多少，就是设备设施有点陈旧了，当然不是新酒店是有差别的。但是离会展中心很近，每天走路过去就可以。', '短评打分': 4}
{'短评内容': '很差的一次住宿，竟然不给开发票，偷税啊，如果要开发票千万不能来这家住宿', '短评打分': 4}
{'短评内容': 'Low low low,快捷酒店', '短评打分': 2}
{'短评内容': '位置不错，实施有点老，总体还可以', '短评打分': 4}
{'短评内容': '地點優', '短评打分': 4}
{'短评内容': '环境好，出行方便，下次参展还订。', '短评打分': 5}
{'短评内容': '交通方便，离会展中心超近，吃饭方便。', '短评打分': 5}
{'短评内容': '位置很便利，周围出行比较方便，不错！', '短评打分': 5}
{'短评内容': '总体来说还不错，这个价位在这一带还行就是没有一次性的拖鞋提供，还有就是天花有点掉灰了，该刷下了。', '短评打分': 5}
{'短评内容': '离地铁口非常方便！下次出差还会再选择这里！', '短评打分': 5}
{'短评内容': '不是理想中那样，热水器都是坏的附近连个像样的超市都没有，网线也没有', '短评打分': 3}
{'短评内容': '太差了，简直就是一个招待所，大家不用选择了', '短评打分': 1}
{'短评内容': '展会期定的，房间一般，感觉一般,出行还算方便', '短评打分': 1}
{'短评内容': '酒店装修已经很久了，房间给人的感觉很陈旧', '短评打分': 1}
{'短评内容': '还行吧，就是开展会这几天费用比较贵。服务态度比较好。', '短评打分': 5}
{'短评内容': '房间衣柜长霉，隔音效果差。还不如招待所呢。', '短评打分': 1}
{'短评内容': '价格公道，房间比较干净，服务还不错，下次去深圳就住这家', '短评打分': 5}
{'短评内容': '酒店不太好找，房间设施一般，对不起这个价钱，卫生条件也一般。', '短评打分': 1}
{'短评内容': '环境不错，挺干净，交通很方便，强力推荐！', '短评打分': 3}
{'短评内容': '宾馆还不错，就是等电梯有点长，这么高的楼只有两部电梯还很慢。', '短评打分': 5}
{'短评内容': '总体还可以，就是酒店有点旧，是那种老式酒店，有个小阳光，可以晾衣服，酒店在22层，设施有些旧，不过房间大，我住的是标准间，在会展附近，去参展还是挺方便的，房间电话打不了的！', '短评打分': 5}
{'短评内容': '服务太差，问什么都不耐烦，应该踢出服务行业', '短评打分': 1}
{'短评内容': '＋交通便利，酒店临近地铁出口，有大阳台，超喜欢，下次还会入住。', '短评打分': 3}
{'短评内容': '交通好，质量一般', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '交通方便,大床超大,那个地段性价比算高!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '房间有个小阳台，晾衣服很方便，但是设施看起来很陈旧！便宜、、、交通方便是优势', '短评打分': 5}
{'短评内容': '还可以，房间挺干净，主要是离皇岗口岸比较近，过香港玩可以暂住一晚', '短评打分': 5}
{'短评内容': '非常糟糕的酒店，很陈旧，一定不会再去住了。', '短评打分': 1}
{'短评内容': '坏境很差  而且地方很难找 房间很小   下次不会再去了', '短评打分': 1}
{'短评内容': ' 超差招待所，完全失望', '短评打分': 3}
{'短评内容': '   总体来说很不错了，在市内，这个价格不错了，房间也还好。', '短评打分': 5}
{'短评内容': '酒店的最大好处是不需要信用卡担保。不像城市客栈（深圳会展中心店） ，必须用信用卡担保，如果改入住的日期，还不给退。\n房间还算干净，有生活小用品，空调很好，离皇岗口岸近，适合进屋就睡觉了，什么都不做的人\n缺点：房间网络只能看新闻，根本上不了QQ和Wiodows Outlook，需要看邮件的人士不适合住在这里。\n卫生间的洗脸盆会掉下来，如不小心，就会给脚砸的粉碎。没有早餐，但楼下有很多小吃', '短评打分': 1}
{'短评内容': '\u3000真的是太脏了.要不是因为办事近.就换', '短评打分': 3}
{'短评内容': '地理位置不错 地铁站和公交站都有 我觉得 算是福田区交通便利的地方了 房间大还带个小阳台 性价比还不错 就是浴室的热水 只能洗一个人 第二个人必须快一点 不然就冷了 得重新等着烧~其他的都不错', '短评打分': 5}
{'短评内容': '床短，储热式热水器不方便 ，空调无暖气，房间旧，', '短评打分': 1}
{'短评内容': '床很短，房间有异味，洗手间破烂，用的是储热式热水器，洗澡不方便，', '短评打分': 1}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '最主要是酒店离地铁站很近，价钱还算合理，房间虽然比较旧但还是可以的。', '短评打分': 5}
{'短评内容': '交通便利 性价比高 阳台丑了点', '短评打分': 3}
{'短评内容': '设施很陈旧，而且价格也很高，房间卫生也一般，虽然是在地铁口但是酒店本身就很不好，服务很热情但是不专业。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
