{'短评内容': '房间很大，给升级了，赞，下次还会住的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '前台好美', '短评打分': 5}
{'短评内容': '好啊 舒适 还有免费停车～～', '短评打分': 5}
{'短评内容': '~', '短评打分': 5}
{'短评内容': '有停车场 很好很好啊..', '短评打分': 5}
{'短评内容': '不值得住，冷得要死。 ', '短评打分': 3}
{'短评内容': '挺不错，价格比较实惠，在这城市算是性价比很高了，出来旅行住在这里还不错，其实我只是在凑字你发现了么？', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '很棒，每次不带钥匙都会去', '短评打分': 4}
{'短评内容': '很好非常好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店蛮干净就是隔音差了点', '短评打分': 4}
{'短评内容': '周边环境不+分理想，房间还可以，卫生不错。', '短评打分': 3}
{'短评内容': '还可以，住了好几次了', '短评打分': 3}
{'短评内容': '价格实惠，位置也不错。', '短评打分': 4}
{'短评内容': '价格优惠！挺不错。', '短评打分': 4}
{'短评内容': '还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~', '短评打分': 5}
{'短评内容': '蚊子太多！', '短评打分': 3}
{'短评内容': '房间还是不错的，每次出差都住这的。就是房价一直在变。。。', '短评打分': 5}
{'短评内容': '房间不错，为啥房价一直涨呢？房间不错，为啥房价一直涨呢？', '短评打分': 5}
{'短评内容': '房间还可以，关键是还可以返现，哈哈！！！', '短评打分': 5}
{'短评内容': '不错，返钱可以充话费！不错，返钱可以充话费！', '短评打分': 5}
{'短评内容': '酒店不错，返钱模式更不错，哈哈！酒店不错，返钱模式更不错，哈哈！', '短评打分': 5}
{'短评内容': '感觉还是比较不错的，就是床头没有插座。内置的IPTV不能用。。', '短评打分': 5}
{'短评内容': '环境好，干净卫生，吃饭方便。。。。。。。', '短评打分': 5}
{'短评内容': '门锁不了   窗关不了     糟糕透了    大半夜还有人吵架   还有人喊救命', '短评打分': 1}
{'短评内容': '南桥出差一直住这里，房间干净，服务态度好，不错！', '短评打分': 5}
{'短评内容': '房间干净，网速快，特价大床房还是不错的！', '短评打分': 5}
{'短评内容': ' 不好！去了就后悔！', '短评打分': 3}
{'短评内容': '还行吧，整洁干净，就是早上车流量大，有些噪音，而且最重要的是，没有纸巾提供', '短评打分': 5}
{'短评内容': '还不错~~隔音效果差了点啦，其他都很好的，性比不错~~', '短评打分': 5}
{'短评内容': '刚建好不久的时候来过，那时感觉不好，这次重回莫泰，觉得很不错，可以上网!', '短评打分': 5}
{'短评内容': '。隔音太差', '短评打分': 3}
{'短评内容': '房间装潢很好，很干净整洁，推荐入住。预定快捷方便！', '短评打分': 5}
{'短评内容': '网太差了，有待改进，其他可以de ,服务业可以', '短评打分': 5}
{'短评内容': '价廉物美，比市区的一些莫泰168要好很多！', '短评打分': 5}
{'短评内容': '房间挺干净~就是窗不透光完全不知道外面情况~很容易睡过~隔音效果也不好，外面什么事情都听得到', '短评打分': 3}
{'短评内容': '位置有点点偏，特价房窗户是朝过道开，但房间还算干净，服务也行。特价房的性价比还是很高的呵呵。', '短评打分': 5}
{'短评内容': '很干净我喜欢  还是住在一楼比较好 光线不错的', '短评打分': 5}
{'短评内容': '酒店位置不错，趁公交还是比较方便，房间设施还行，不过很不好的是没有光线，不通透，空气也不好，觉得很压抑，希望换一间可是服务员说特价房都是一样的，可是我之前住得7天特价房设施差不多，但是房间还是比较通透的，这样让人比较轻松。\n所以我对房间不是很满意。', '短评打分': 5}
{'短评内容': ' 房间还算干净', '短评打分': 3}
{'短评内容': '南桥电影院旁边，走到步行街大概10分钟吧，挺方便的。房间内设施比较新，很干净（这点最重要！），最喜欢浴室里大大的淋蓬头，洗的好舒服哈，都不想出来了~~~订的138元特价房很划算~~~', '短评打分': 5}
{'短评内容': '房间很闷的，通气不是很好，通知总台打扫房间等了3个小时还没有打扫，再打电话过去说是忘记了，周围吃饭不是很方便的。', '短评打分': 1}
{'短评内容': '很满意,服务态度较好，下次仍光临,希望能够再优惠一点', '短评打分': 5}
{'短评内容': '很好，就是位置有点偏。酒店真的很干净。就是房间里面的信号不太好。', '短评打分': 5}
{'短评内容': '房间收拾的很干净，颜色搭配的很协调，设施也比较齐全，让人感觉很舒适。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间较整洁，隔音效果相当的差。而且早餐的品种太少了。', '短评打分': 5}
{'短评内容': '干净 整洁 周围环境也不错 服务态度也不错 就是隔音不太好', '短评打分': 5}
{'短评内容': '房间大小正好，卫生打扫很好，设施也挺齐全，出行也挺方便。', '短评打分': 5}
{'短评内容': '位置还行，周边公交地铁都有，出行很方便，', '短评打分': 3}
{'短评内容': '楼层挺高的，环境挺好，周边交通挺便利，服务卫生也不错，住的挺满意。', '短评打分': 5}
{'短评内容': '房间挺干净的，设施也挺齐全，隔音也不错，睡眠质量挺好的。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，卫生打扫也很好，电视是液晶的，看着很清晰，隔音也挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间收拾的很干净，颜色搭配的很协调，设施也比较齐全，让人感觉很舒适。', '短评打分': 5}
