{'短评内容': '酒店不好找，没有电梯，住的是特价房，退房时还想不开票', '短评打分': 1}
{'短评内容': '粉红大床，交通方便，去步行街。有点不安静。', '短评打分': 5}
{'短评内容': '老板挺好的，居住环境也还不错。挺舒服的。很实惠，下次还会光临。呵呵', '短评打分': 5}
{'短评内容': '位置在市中心，很方便，房间大，楼层高，透气性好，床上用品挺干净的，服务态度也不错，在那个位置算是便宜的了，性价比超高。', '短评打分': 5}
{'短评内容': '太旧了 2楼封了 有点吓人 晚上开灯睡觉的 啊啊啊啊啊啊啊啊啊啊', '短评打分': 1}
{'短评内容': '太一般的房了，哎呀呀还要爬楼。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '位置在市中心 很方便', '短评打分': 3}
{'短评内容': '酒店设施不好，厕所门和顶都是坏的，隔音也不好，空调不给力，晚上还有点感冒。', '短评打分': 1}
{'短评内容': '房间环境不错。', '短评打分': 3}
{'短评内容': '第二次入住，感觉不错。性价比相对较高。值得一去。呵呵。', '短评打分': 5}
{'短评内容': '虽然大堂看上去不怎么样，像个小宾馆，但房间还是不错的，很干净。晚上很安静。唯一的缺点就是空调不太给力。', '短评打分': 3}
{'短评内容': '房间还是挺干净的，房子确实老旧的点，不过地段很好，出门就是总府路啦', '短评打分': 3}
{'短评内容': '交通方便，交通方便，其他一般，要求不高者可考虑', '短评打分': 5}
{'短评内容': ' 不大但地段不错，较干净，较安静，上网快，床大，水很热很温暖；没电梯。', '短评打分': 3}
{'短评内容': '价格不是太贵，交通较为方便，但房间内的设施太陈旧。', '短评打分': 3}
{'短评内容': '地理位置很黄金，就在春熙路王府井商场的后街（成都市的绝对中心），房间的条件一般，卫生还可以，最感人的是房间里配的电脑，上网速度挺快。', '短评打分': 5}
