{'短评内容': '老牌子酒店，设施太旧。服务态度有待提升，位置还可以。', '短评打分': 2}
{'短评内容': '酒店环境不错，早餐也挺好', '短评打分': 5}
{'短评内容': '酒店还是不错的 环境很舒服 酒店的设施不错 房间也比较大 周围出行很方便 性价比还是不错的 非常的满意', '短评打分': 5}
{'短评内容': '酒店还是不错的 环境非常的好 老牌酒店的样子 环境也很优雅 房间里面的设施也不错 周围吃喝都有 住的很舒服', '短评打分': 5}
{'短评内容': '离西直门地铁站很近，2、4、13号线，饭店门口还有多条公交线路，出行非常方便。虽然饭店设施比较陈旧但还是蛮干净的。', '短评打分': 5}
{'短评内容': '饭店地理位置好，交通方便，房间设施还不错，住的标准间房间面积不太大，不适合加床，其他都还好，早餐也不错，是商务出差的理想选择。', '短评打分': 5}
{'短评内容': '非常好的价格，入住很开心，期待下一次去北京继续入住', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利。国庆入住，涨价厉害，而且不带早餐，这样很不方便。但是旁边有个早餐店不不错，解决了问题。', '短评打分': 4}
{'短评内容': '交通便利，设施齐全。环境好', '短评打分': 5}
{'短评内容': '在北展看演出住这里挺方便，酒店设施有些老化了', '短评打分': 4}
{'短评内容': '交通不错', '短评打分': 5}
{'短评内容': '住过比较差的酒店 房间有很浓的烟味 没有供暖 只有空调 房间特别的干燥 ', '短评打分': 3}
{'短评内容': '不错，商务专用', '短评打分': 5}
{'短评内容': '酒店设施很好，地段也不错，下次还来！', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '老四星 大堂很大 服务热情 房间不是太大  到酒店周围很方便 交通便利 还不错', '短评打分': 4}
{'短评内容': '价位不低，设施并不新，交通临近地铁站，挺方便的', '短评打分': 5}
{'短评内容': 'vvvv·vvvvvvvvv', '短评打分': 4}
{'短评内容': '400-600之间的房子都差不多', '短评打分': 4}
{'短评内容': '该酒店地理位置好，交通便利，酒店档次比较高，环境优雅，比较肃静。', '短评打分': 5}
{'短评内容': '地理位置不错，出门比较方便，比较安静，美中不足没有早餐', '短评打分': 5}
{'短评内容': '位置很好，交通便利，设施齐全', '短评打分': 3}
{'短评内容': '游泳池很小，人多根本没法使用。酒店周边环境嘈杂。不推荐！', '短评打分': 1}
{'短评内容': '酒店服务员态度不好，房间内空气不好。设施陈旧。。。', '短评打分': 1}
{'短评内容': '价钱还可以，酒店年头长，服务不到位。不推荐此地。', '短评打分': 1}
{'短评内容': '价钱还可以。服务一般。设施陈旧。不推荐此地。', '短评打分': 5}
{'短评内容': '第二次入住了，虽然酒店设施不算新，优点是离凯德MALL近，方便购物吃饭；离北大人民近', '短评打分': 5}
{'短评内容': '是我同事入住的。总体还算干净，装修比较老咯。', '短评打分': 5}
{'短评内容': '非常好，地理位置不错，，就是价格高一点，不过要是公费，还能接受。。。', '短评打分': 5}
{'短评内容': '国营四星级酒店。房间设施陈旧，没有淋浴间。\n酒店位置不错，离北大人民很近', '短评打分': 1}
{'短评内容': '交通便利，条件服务不错', '短评打分': 3}
{'短评内容': '酒店环境不错，服务比较热情礼貌，酒店房间设施齐全', '短评打分': 5}
{'短评内容': '服务可以，退房快，交通方便，但饭店和房间装修比较旧。', '短评打分': 3}
{'短评内容': '狭窄，不卫生，太次了，下次不会入住，条件态度都很差。', '短评打分': 1}
{'短评内容': ' 常住，感觉还不错！主要是干净！', '短评打分': 3}
{'短评内容': '房间挺大,就是设施旧了些。', '短评打分': 3}
{'短评内容': '一般般的酒店，在北京就是这个价钱住这样的酒店吧。', '短评打分': 5}
{'短评内容': '入住后感到条件尚可，但与提供的服务相比价格偏高。\r\n\r\n在水一方', '短评打分': 3}
{'短评内容': '北京老字号的4星级酒店，声名在外。地理位置优越，紧邻西环广场。软硬件条件虽然比不了新建的同星级酒店，但是依然可以看出往日的辉煌。\n总体打分85吧，没什么挑剔的', '短评打分': 5}
{'短评内容': ' 酒店服务很好，客房也还不错，就是房间灯太少了，有点暗，如果早点免费就更好了', '短评打分': 3}
{'短评内容': '老酒店，住着也还舒服，感觉还比较满意。离西直门地铁站走个5、6分钟，交通便利。', '短评打分': 5}
{'短评内容': '酒店位置很好,但设施比较陈旧,整体还可以,今后可以继续入住\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店很干净，早餐自助菜品也很可口。\n\n就是空间略小 屋子取暖后 干燥', '短评打分': 5}
{'短评内容': '酒店设施比较旧,位置很好,整体可以,以后还可以住', '短评打分': 5}
{'短评内容': '很好,我想预定大床房', '短评打分': 3}
{'短评内容': '干净整洁', '短评打分': 3}
{'短评内容': '地理位置优越 老牌的四星酒店，性价比不错', '短评打分': 5}
{'短评内容': '饭店太旧了。', '短评打分': 3}
{'短评内容': '环境不错，如果无线网能在多覆盖些楼层，那是相当方便啊。', '短评打分': 3}
{'短评内容': '酒店还不错，稍微陈旧一点，但里面设施比较新，唯一不好的是，钥匙系统有问题，很容易消磁，每次开门，都需要服务员帮忙。希望下次已经改好了！', '短评打分': 5}
{'短评内容': '酒店地处西直门，位置非常好，交通很方便，价格比较合理', '短评打分': 5}
{'短评内容': '环境舒适幽静', '短评打分': 3}
{'短评内容': '服务非常好,性价高, 地段位置好!下次还住!', '短评打分': 3}
{'短评内容': '因距离办事地点近，所以选择了这家四星级酒店，酒店硬件设施比较陈旧，但是服务还不错，房间虽陈旧，但是面积还比较宽敞。', '短评打分': 5}
{'短评内容': '主要是环境好，住久了习惯。', '短评打分': 3}
{'短评内容': '舒适度与室内环境也不错，只是每次每天早上都要敲门打扰有点不舒服，其他都不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行很方便。下次在来住，环境好。', '短评打分': 5}
{'短评内容': ' 环境比较温馨！', '短评打分': 3}
{'短评内容': '价钱太贵了。房间还可以。', '短评打分': 3}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，以后还会住这家.........................................', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '＋环境整洁，交通便捷', '短评打分': 3}
{'短评内容': '房间环境相当不错，服务热情，硬件设备也很完善，价格合理，洗澡时发现卫生间下水道不通畅，总之还是很满意的。', '短评打分': 3}
{'短评内容': '性价比还行性价比还行性价比还行性价比还行性价比还行', '短评打分': 5}
{'短评内容': '不错的酒店，离火车站很近出入方便~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '感觉还不错,比较干净.周边环境有点乱,但是很方便.交通便利.', '短评打分': 5}
{'短评内容': '还不错，比较干净和整洁，方便出行，试一个不错的酒店', '短评打分': 5}
{'短评内容': '饭店不错，环境好，卫生也好，交通也特别方便，就是房费不含早餐差点', '短评打分': 3}
{'短评内容': '服务与位置不错。', '短评打分': 3}
{'短评内容': '房间较大 床也很大 很舒服 性价比较高 出行便利 适合商务人士 \n环境也较好 较安静 \n以后还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店位置很好 服务还不错 打车交通很方便酒店位置很好 服务还酒店位置很好 服务还不错 打车交通很方便不错 打车交通很酒店位置很好 服务还不错 打车交通很方便方便', '短评打分': 5}
{'短评内容': '性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，', '短评打分': 5}
{'短评内容': '性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，性价比不错的酒店，', '短评打分': 5}
{'短评内容': '虽然有点贵，但不愧为老牌四星，值得称赞！就是早餐太贵，一位68元！看着很豪华，没敢消费！总之值得大家去住！', '短评打分': 5}
{'短评内容': '很老的酒店了，价格还算合理吧。设施有些陈旧。。。。。。。。。但附近四星很少，要在附近办事也真好住在这里了', '短评打分': 5}
{'短评内容': '差评很好说，但是好的评价嘛，就是各方面都不错了你懂得。位置好、性价比高、服务也及时周到，不过也看楼层和房间，建议住6层以上', '短评打分': 5}
{'短评内容': '这个还不错哦。。。交通很方便.标间两个人住还可以。空间也还好', '短评打分': 5}
{'短评内容': '宾馆房间小，装修老了，不过四星的基本房间配置还算齐，床比较硬。周边环境有点乱。', '短评打分': 3}
{'短评内容': '老牌大酒店，坐出租车不用多说直接讲德宝就可以把你送到。服务质量不错，离店时拉了东西，给个电话过两天就给寄过来了，赞！', '短评打分': 5}
{'短评内容': '还可以毕竟是四星级的，以后还会在考虑入住', '短评打分': 5}
{'短评内容': '环境很好，卫生，方便。地处中心，地铁、公交、的士、电动交通极其方便，毗邻火车北站、动物园、北展、天文馆、北大人民医院.......反正很方便，值。', '短评打分': 5}
{'短评内容': '服务非常好的老牌酒店，地理位置也优越，交通十分方便，下次还会入住。 ', '短评打分': 5}
{'短评内容': '位置好，酒店有点旧，服务还可以不过价格有点贵', '短评打分': 5}
{'短评内容': '服务非常好的老牌酒店，地理位置也优越，交通十分方便，下次还会入住。', '短评打分': 5}
{'短评内容': '还不错 位置方便 交通便利\n地铁打车都省事', '短评打分': 5}
{'短评内容': '服务挺好＇酒店很干净', '短评打分': 3}
{'短评内容': '挺好的，服务不错，下次还会推荐客人入住的', '短评打分': 5}
{'短评内容': '还可以吧 位置不错 正在装修 味道有点不好', '短评打分': 1}
{'短评内容': '这是帮朋友订的，回来后他们说很舒服，下次去北京还要住这家点', '短评打分': 5}
{'短评内容': '德宝饭店的环境和服务很好.  ', '短评打分': 3}
{'短评内容': '入住酒店', '短评打分': 3}
{'短评内容': '虽然酒店有些老了,但总体的性价比还可以,附近有北展,开会很方便.', '短评打分': 5}
{'短评内容': '德宝酒店服务和硬件都很好。', '短评打分': 3}
