{'短评内容': '无矿泉水及抽纸', '短评打分': 4}
{'短评内容': '我住的房间在二号楼，很干净，很方便，装修风格还不错的，对三线有情怀的人可以感受一下，并不是落后的设施，而是有怀旧风的现代设施的样子。很安静。', '短评打分': 5}
{'短评内容': '睡过了 没吃到早餐', '短评打分': 5}
{'短评内容': '还行吧，有点小，不知道是否换了床单被套，还好自己带了床单，周围挺清静', '短评打分': 5}
{'短评内容': '停车方便，早餐小面非常好吃', '短评打分': 5}
{'短评内容': '酒店环境优美，小河对岸的小镇很有特点，很悠很美，我们去的时候下着朦朦细雨，人不多很清悠静美。真的非常好的酒店，就是退房开发票要走很远。', '短评打分': 5}
{'短评内容': '房间干净，墙上的旧报纸很有特色，洗脸盆也带有三线建设时代的烙印，很有历史韵味，周围环境太好啦，完全是回归大自然的节奏，不错！', '短评打分': 5}
{'短评内容': '整体较好，值得入住，只是办理入住需在前面天星两江假日酒店', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '离金佛山西坡景区近，位于天星小镇上，吃饭娱乐较方便。 老厂房改造，有些怀旧感。酒店依山而建，有层次感，但行李多有些辛苦。酒店的前台设在3楼，如果在1楼设置就好了。 总体来说，还是不错的。', '短评打分': 3}
{'短评内容': '本来是想住天星假日的，没房了，选择了三线酒店。位置不错，就是房间简陋了点，风格很适合爸妈那个年代的人！', '短评打分': 4}
{'短评内容': '整体不错，有种去回味的感觉，一个老仪表厂改的。主题比较鲜明，服务还可以，房间有点小，稍有潮湿，热水来得很快，早餐将就。', '短评打分': 4}
{'短评内容': '三线酒店的舒适度不如两江假日的房间', '短评打分': 4}
{'短评内容': '酒店创意挺好，但部分外墙和内墙都有脱落，管理水平有待提高。另外早餐不是一般的差。', '短评打分': 3}
