{'短评内容': '旅店设施有些旧，但经济实惠', '短评打分': 4}
{'短评内容': '相对于平措西措来说老旧了点', '短评打分': 4}
{'短评内容': '后面就是大昭寺，位置好，但卫生一般', '短评打分': 4}
{'短评内容': '房间味道很大，而且办了入住进房什么都没有，还要自己主动找到客房部拿被子枕头床单被罩啥的，直接不想说。然后房间床头没有插座，很麻烦。问客房部有没有插板，也不说话，完全不搭理我们。', '短评打分': 2}
{'短评内容': '个人觉得这个东措不是太好，卫生一般，房间也不太好，后来住了一晚平措，感觉那边好很多', '短评打分': 3}
{'短评内容': '还不错，住了俩晚认识了几个驴友，感谢京东这个不错的平台', '短评打分': 5}
{'短评内容': '该改善的太多太多.床单不知多长时间没洗.', '短评打分': 5}
{'短评内容': '地段一流，设施老旧，服务一般，价格便宜，体验因人而异。', '短评打分': 3}
{'短评内容': '难道说青年旅社就要弄得像贫民窟吗？', '短评打分': 2}
{'短评内容': '一般但交通方便', '短评打分': 3}
{'短评内容': '老牌青年旅馆，装修一般，厕所有味道', '短评打分': 3}
{'短评内容': '不知道为什么网上评价那么高，被评价欺骗', '短评打分': 2}
{'短评内容': '服务很好，很有特色，值得入住。', '短评打分': 4}
{'短评内容': '醉了，真是不大推荐，非常一般，环境太差', '短评打分': 3}
{'短评内容': '酒店卫生差，服务差，环境差，感觉不好', '短评打分': 1}
{'短评内容': '不错，关键好', '短评打分': 4}
{'短评内容': '很有特点', '短评打分': 5}
{'短评内容': '标间很差,卫生间渗水不说,坐便竟要用水盆来冲', '短评打分': 1}
{'短评内容': '在标间住了一个星期,房间阴暗潮湿,即使是白天也看不到阳光', '短评打分': 1}
{'短评内容': '晚上很吵,初来拉萨的朋友们要慎重选择,高原反应再睡不好觉,滋味可不好受', '短评打分': 1}
{'短评内容': '第一次去拉萨，东措交通很便利，在北京东路上，路的西头就是布达拉宫了，东措前面的这条路应该就是最主要的大道了，两边很多小巷，逛几遍也不厌，往往还有意外收获。内设可能简陋，但比我想象的好多了，该有的设施还都有一应俱全的。服务很好。这里有很多疯狂的驴友。不错的选择。没有不满意，很好。', '短评打分': 5}
{'短评内容': '藏文化气息很浓，驴友聚集，情谊融融，只是条件太简陋了，没暖气和空调，凑合一宿还行。', '短评打分': 3}
{'短评内容': '很有个性的旅馆，随处可见的涂鸦，云淡风清的小院，晒太阳睡觉的小猫。\n最吸引人的是前台门外驴友发布的信息，拼车，约伴。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错，酒店很有风格，尤其是墙上的涂鸦。不足之处：非24小时供应热水，有的房间味比较大', '短评打分': 5}
{'短评内容': ' 离江北机场很近 酒店提供接机服务 很贴心 周围是大型超市 商业街 晚上还有烧烤 很便利 不足之处就是酒店条件一般', '短评打分': 3}
{'短评内容': '初到得驴友可以去！特点就是墙上的那些画和语句~！如果晚上把那突然断掉的网络搞好了的话，我想我会给出很高的评价的！因为断网了没及时订到酒店，所以现在露宿西安网吧！可恨得是在网吧上网还要收一元钱！干。。。。这是西安么？？', '短评打分': 5}
{'短评内容': '每年去拉萨都会住这里，可以结识很多朋友,就是洗澡水很小，热水也不多', '短评打分': 5}
