{'descr': '环境不错，服务也挺好的，早餐有吕梁风味，值得推荐', 'star': 5}
{'descr': '环境一般，服务态度太差，退房效率不高', 'star': 3}
{'descr': '酒店位置比较偏僻，不太好找\n门口在修地铁，进出不太方便\n不过地处杭州市中心，交通还是挺方便的，性价比也不错', 'star': 5}
{'descr': '房间太小 价格偏贵 服务倒是还可以 可能也是因为在市中心的缘故吧 主要是价格偏贵', 'star': 1}
{'descr': '位置好，周边吃喝齐备还有新远电影城，去武林广场也很近，房间也干净', 'star': 5}
{'descr': '比较干净，就是修路稍微有些影响，但打出比较方便，吃饭也很方便', 'star': 5}
{'descr': '房间比较整洁', 'star': 3}
{'descr': '酒店挺好的，环境挺安静的，地段也不错，就是前面在修地铁。', 'star': 3}
{'descr': '住宿条件还可以，被子不是很舒服。早餐差一些。', 'star': 5}
{'descr': '还不错吧,就是被这家店的地址给误导了，说西湖文化广场，其实离西湖还是有点路的', 'star': 5}
{'descr': '环境还不错', 'star': 3}
{'descr': '房间还是不错的，就是近期地铁施工，不太方便，打车到西湖15-20元', 'star': 5}
{'descr': '很好呢，房间不大但住起来很舒服，噪音关窗睡觉听不见，服务态度也不错。感觉比普通宾馆温馨。旁边就有电影院和永和大王，公交站也蛮好找。', 'star': 3}
{'descr': '前台服务员还行，虽然不是很热情，但也是有问必答，卫生也不错，就是周边环境有点差，总体来说适合游杭州住宿。', 'star': 5}
{'descr': '服务不错，也蛮好，就是房间比较小，还有一点就是门前正修地铁，不太好找，总体还是不错的，下次应该还会选择的，', 'star': 5}
{'descr': '房子有点小，不过很舒适，六楼非常凉快', 'star': 3}
{'descr': '杭州这个价格可以接受，酒店隔音不太好，房间非常小，卫生也很不好，交通很不方便，门口在修地铁，还有一些不好的介绍。 \n', 'star': 1}
{'descr': '杭州这个价格可以接受，酒店隔音不太好，房间非常小，卫生也很不好，交通很不方便，门口在修地铁，还有一些不好的介绍。', 'star': 1}
{'descr': '很满意，电脑不能用，来修的人也来的快，服务超好，离杭州大厦也近', 'star': 5}
{'descr': '房间布置就是统一的如家风格，其它都不错，是附近在建地铁，交通不方便', 'star': 5}
{'descr': '环境不错，比较安静，就是位置不好找，修地铁', 'star': 5}
{'descr': '这里比较安静，大床房房间比较小，前方修地铁，出行不是很方便', 'star': 5}
{'descr': '酒店还算不错，但是位置有点偏，由于地铁施工的原因，找了半天才找到，而且，周边还有工地施工，有点吵。总体感觉还不错。', 'star': 5}
{'descr': '修地铁不太方便，但修好了更方面。\n酒店一楼太潮了，后来到楼上，但是每天有人往里塞小广告，你懂的！！！\n前台服务还不错。', 'star': 5}
{'descr': '其他不错，就是房间有点小', 'star': 3}
{'descr': '对此酒店比较满意，服务很好，每天房间打扫的很干净。', 'star': 5}
{'descr': '服务不错，只是去的时候正在造地铁，不太方便，地铁通后应该还不错。', 'star': 5}
{'descr': '好评', 'star': 3}
{'descr': '旁边修路，不好找。正因为这样，现在很便宜。地段非常好。', 'star': 5}
{'descr': '这家酒店地角很不错，离西湖火车站都很近，条件也不错', 'star': 5}
{'descr': '很满意，交通很方便', 'star': 3}
{'descr': '环境不错 离西湖也不远 挺好的', 'star': 3}
{'descr': '还可以                                      比较静', 'star': 5}
{'descr': '价格太贵，和里面条件匹不上。希望能够改善，而且隔音效果实在不行', 'star': 1}
{'descr': '酒店卫生瞒好，瞒干净的，服务也好。就是附近在建房有早上有点吵！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '地理位置太差                              不好找                           ', 'star': 1}
{'descr': '地段不错，可是，不太方便找到。房间觉得有点小，酒店的管理还是不错，也蛮干净的，有机会去杭州，觉得还是会考虑住那儿。', 'star': 5}
{'descr': ' 地段不错，可要没有在网上看看其他网友的提示，真的不好找到呢！虽然是门面房的门牌号，可它的位置是缩在小弄的里边，对想去住宿的朋友要多加注意的。\n此店房间不少，可房间内的面积确实不大。不过，有如家的招牌，管理还是秉承如家一贯的标准，很干净的，下次有机会还是会去住的。', 'star': 5}
{'descr': '楼下地铁施工很吵,尤其晚上。每天都有很多黄色广告从门缝塞进来!', 'star': 3}
{'descr': '很喜欢这里的环境，很温馨，很安静', 'star': 3}
{'descr': '处于市中心，价格合理。就是附件在造地铁，太吵了，晚上都施工，房间偏小。', 'star': 1}
{'descr': '住得是大床房，房间有点小，但很温馨，也很干净，确实有家的感觉，服务态度也很好，喜欢！', 'star': 5}
{'descr': '就是周末房间不好定，有点郁闷。就是周末房间不好定，有点郁闷', 'star': 5}
{'descr': '还可以，有点吵', 'star': 3}
{'descr': '你好我是会员董杰感谢你们,我已经入住如家杭州店,谢谢!', 'star': 3}
