{'短评内容': '服务态度很好，环境不错。价格便宜', '短评打分': 5}
{'短评内容': '当时通过携程订写的是含早餐的，结果到店里是不含的。环境还可以', '短评打分': 4}
{'短评内容': '交通比较方便，位置很好找，酒店旁边就是一个很大的酒吧群，晚上出来活动好', '短评打分': 4}
{'短评内容': '房间不错，卫生干净，态度也很多。值得推荐', '短评打分': 5}
{'短评内容': '无耻的酒店，钱包在客房里丢了被她们捡到还不肯承认，无耻 无耻 无耻，', '短评打分': 1}
{'短评内容': '这个价位有点高，就是位置比较好！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，交通便利，环境不错', '短评打分': 5}
{'短评内容': '环境不错，马路对面就是长江，购物餐饮都非常方便，以后还会再来的。', '短评打分': 5}
{'短评内容': '就那样吧！之前住过！不是很好！', '短评打分': 2}
{'短评内容': 'ok soso   边上是天主教堂和雨耕山酒窖，非常漂亮，拍了很多照片，对面是长江，风景很好 设施就是快捷的设施，略显老旧，设备齐全，空调制冷一般，窗户也足够大，通风良好。 服务态度良好 卫生一般 总体值得推荐', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': ' 房间很大很干净也安静, 就是电梯太不给力了，每天都要修', '短评打分': 3}
{'短评内容': '我住的是阁楼房，所以有点小，但房间很干净，很舒适，对得起这个价格！', '短评打分': 5}
{'短评内容': '第三次住了，还不错。。价格合适。干净。第三次住了，还不错。。价格合适。干净。', '短评打分': 5}
{'短评内容': '酒店本身没什么问题，但旁边的教堂早上6点会敲钟，如果睡眠质量不是很好的可能会被吵醒，而且晚上旁边公路会有货车，比较吵', '短评打分': 1}
{'短评内容': '去的时候前台客服态度不好，到的房间 隔音效果非常差  对面房间里说话都能听清楚  吹风机是坏的  地毯和坐凳不是很干净   还有退房时不主动递交发票   网速很不给力  开个网页都好卡    职业坑爹的   这就和大马路上的小宾馆一个样的配置   愧对格林豪泰这名  ', '短评打分': 1}
{'短评内容': '很温馨的小阁楼，交通也很便利。虽然无窗，但是整体感觉很好。比较喜欢。。。。。', '短评打分': 5}
{'短评内容': '酒店位置不错，离步行街、江岸公园比较近，但大堂服务员专业水平一般，服务态度一般，房间卫生条件一般，饮水杯上居然发现有毛发！！！', '短评打分': 5}
{'短评内容': '酒店满干净的，就是空间小又不透气，这点不好', '短评打分': 3}
{'短评内容': '芜湖天主教堂旁边的滨江世贸格林豪泰前台服务很差，房间窗户居然没有插销，很不安全xxxxxxxxxxxxxxxxxxxxx', '短评打分': 1}
{'短评内容': '有点偏                                                                        \n环境还不错，就是隔音效果一般般吧，总的来说还好', '短评打分': 5}
{'短评内容': '该酒店位置非常好，天主教堂旁，开窗美景可见。 对面是浩瀚长江，非常壮观。干净卫生。', '短评打分': 5}
{'短评内容': '环境不错啦、、对面就是滨江公园、、、旁边就是教堂、、、到步行街也很方便。。。。卫生也很好、、、推荐', '短评打分': 5}
{'短评内容': '总体感觉很好，临江，可以欣赏江景！服务也不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店地理位置好，房间卫生条件较好，早餐一般。大床A房在七楼，半个房间是斜顶，太差，有点忽悠人。', '短评打分': 5}
{'短评内容': '酒店不错的，服务态度很好，下次还会再去，我也会去推荐的', '短评打分': 5}
{'短评内容': '还不错的酒店，地理位置，服务，卫生都还不错。价格也合理', '短评打分': 5}
{'短评内容': '价格与房间还不错。但是还有些不足。\n1，房间的窗户没有安全网保护，相对不太安全。我是信在4楼。\n2，早餐很不好。\n', '短评打分': 5}
{'短评内容': '房间的质量太差,前台的服务也不是很好,服务员的态度很恶劣.特别是房间竟然是半间,另外的半间房顶竟然是斜的...我是会员,早餐也不给.希望大家下次不要去住.住的话,我比较推荐旅行家酒店.那里便宜,房间很好.', '短评打分': 1}
{'短评内容': '酒店环境很好，房间干净，服务态度很好。离步行街只要十分钟左右路程，吃饭逛街都很方便。', '短评打分': 5}
{'短评内容': '比较新，教堂旁边，面朝滨江公园，位置好，且安静。', '短评打分': 5}
{'短评内容': '那天在修电梯，，，说实话。。真的很郁闷。。。。。。。', '短评打分': 5}
{'短评内容': '很干净，很好。', '短评打分': 3}
{'短评内容': '很干净，很好。', '短评打分': 3}
{'短评内容': '总体还不错 就是房间小了点 其他都还可以 ', '短评打分': 5}
{'短评内容': '总体还不错 就是房间小了点 其他都还可以 ', '短评打分': 5}
{'短评内容': '芜湖江边不错的选择，靠近市区，但又很安静。', '短评打分': 3}
{'短评内容': '芜湖江边不错的选择，靠近市区，但又很安静。', '短评打分': 3}
