{'短评内容': '很好，下次还住', '短评打分': 5}
{'短评内容': '总体感觉还可以，只是发票和实际扣款费用不一致，这个主要是商务出行，需要公司报销，不知道要怎么补上去这些费用了', '短评打分': 5}
{'短评内容': '房间比较小，停车不方便，总的来说不错。', '短评打分': 5}
{'短评内容': '酒店服务好，但房间小，住宿不是很方便。', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店环境、服务、设施都还不错。', '短评打分': 5}
{'短评内容': '酒店设施比较老旧，应该是有一定历史的酒店，房间内空间还是挺大的，不过桌子床等都感觉有点旧，而且房间内稍微有点味道，性价比一般', '短评打分': 3}
{'短评内容': '服务到位，西二环旁，交通方便，早餐口味不错，房间干净整洁。', '短评打分': 5}
{'短评内容': '手机信号太差，完全打不了电话。', '短评打分': 5}
{'短评内容': '酒店太旧了，会议型的', '短评打分': 4}
{'短评内容': '卫生水平有待提高', '短评打分': 2}
{'短评内容': '导航过来的，地点很好找。。。。。。。。。。', '短评打分': 5}
{'短评内容': '已入住4008佘慧、胡笳', '短评打分': 3}
{'短评内容': '酒店位于广安门桥附近，地理位置便利。价格合理。酒店整洁，干净。\n下次还会使用。', '短评打分': 5}
{'短评内容': '多次入住了，酒店还不错，办事方便 。。。。。。。。。。。。。。。          ', '短评打分': 5}
{'短评内容': '房间超大，总的来说还行.房间超大，总的来说还行', '短评打分': 5}
{'短评内容': '总体还是不错的，就是设备稍显老旧，比较干净，也安静，上网应该免费就好了', '短评打分': 5}
{'短评内容': '适合会议，性价比还行。设备不算新，服务还可以。一楼餐饮种类少。', '短评打分': 5}
{'短评内容': '诺林酒店很安静，卫生间很大，服务热请，下次还定这家酒店。', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '很好的酒店，邻街的有点吵', '短评打分': 3}
{'短评内容': '交通便利，停车方便，设施有点旧，服务一般', '短评打分': 1}
{'短评内容': 'mei you yu jin, hai na me gui', '短评打分': 1}
{'短评内容': '价格合理，性价比高，交通方便，二环边，牛街附近餐饮方便，', '短评打分': 5}
{'短评内容': '在西二环附近，交通便利，附近牛街餐厅多，性价比高', '短评打分': 5}
{'短评内容': '性价比高环境好，周围交通方便，吃饭也方便，很好', '短评打分': 5}
{'短评内容': '环境还不错在这个价位，前台态度也不错，房间也不小，就是屋内味道有一些，可能刚装修吧 \n', '短评打分': 5}
{'短评内容': '环境不错，办事方便，吃饭也在附近有牛街小吃，新疆清真饭店', '短评打分': 5}
{'短评内容': '环境还不错在这个价位，前台态度也不错，房间也不小，就是屋内味道有一些，可能刚装修吧', '短评打分': 5}
{'短评内容': '总体还可以，交通比较方便，价格不是很贵，就是比较旧、有点潮。', '短评打分': 5}
{'短评内容': '交通方便，环境也不错，经常来这里开会，这次住的房间隔音太不好，没睡好。', '短评打分': 5}
{'短评内容': '一般，性价比不高，不含早餐，很难受，上网每天还得花30，没意思', '短评打分': 5}
{'短评内容': '给朋友订的，朋友说烟气和地毯有味道，朋友说不好。', '短评打分': 5}
{'短评内容': '地理位置优越，交通方便，房间舒适，公务开会很不错的选择，只是服务员比较牛，希望能改进！', '短评打分': 5}
{'短评内容': '有我喜欢的HBO节目，房间布置很舒适，前台接待有待改进。', '短评打分': 5}
{'短评内容': '住宿环境还可以，但饭菜一般，网络收费很贵。', '短评打分': 1}
{'短评内容': '因为离单位近，来客户定的这个酒店。客户评价大堂环境挺好，感觉不错', '短评打分': 5}
{'短评内容': '酒店周边环境还是不错的，自助餐不错，价格也能接受，住宿环境还可以', '短评打分': 5}
{'短评内容': '服务比较人性化，餐饮很好，性价比较高', '短评打分': 5}
{'短评内容': '大堂布置的不错，感觉很豪华，房间里面很干净，硬件设施齐全，住的还是不错的', '短评打分': 5}
{'短评内容': '酒店距离北京西站比较近，房间里可以上网蛮方便的，服务也很不错。', '短评打分': 5}
{'短评内容': '房间里装修的很时尚，自驾过来也蛮方便的，有停车场提供，性价比还可以', '短评打分': 5}
{'短评内容': '酒店的餐饮不错，早餐种类挺丰富的。环境也很不错。', '短评打分': 5}
{'短评内容': '配置一般，但是比较齐全，。房间宽敞，物品的舒适度需要改进。', '短评打分': 5}
{'短评内容': '卫生挺好的，比较干净的酒店，就是价格有些偏高。', '短评打分': 5}
{'短评内容': '大堂装潢很豪华，配置硬件都很达标。', '短评打分': 5}
{'短评内容': '这家店服务很专业，办理入住效率了比较高。细节比较周到和达标。', '短评打分': 5}
