{'短评内容': '   房型错了弄了    换了间 还多加了五十块钱的   就觉得挺坑的  卫生啥的还行   圆床边上的都露钉子头了 扎手   ', '短评打分': 4}
{'短评内容': '挺好的，没有早餐，。。。。服务不错，位置不错。。交通便利。不过不联系节假日过来，平时房费还可以。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '挺好的，不错蛮喜欢的', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '新颖时尚，！！', '短评打分': 5}
{'短评内容': '实在隔音有点差，其他还好', '短评打分': 5}
{'短评内容': '很嗨，很好的出行住宿的地方', '短评打分': 3}
{'短评内容': '很不错，田园乡间主题， 浴缸有特色', '短评打分': 3}
{'短评内容': '房间旧了，设施也不好了', '短评打分': 3}
{'短评内容': '很差，首先电梯很小，很破。每次坐都感觉要坏一样，而且只能电梯上楼。其次房间很小，所谓的主题就是贴了不同的壁纸吧。靠近路边，车多吵。没有吹风机、柜子等，不推荐入住。', '短评打分': 3}
{'短评内容': '房间挺有格调，缺点就是电视是卫星电视，遥控器还不好用！', '短评打分': 4}
