{'短评内容': '卫生 安静价格不贵 这个酒店的地理位置非常优越 服务员也很不错 床品 卫生间这些都还不错 物有所值 推荐', '短评打分': 5}
{'短评内容': '宾馆不错，还有旋转餐厅，就是有些年头了，整体卫生还可以房间稍小了些。宾馆对面万达广场吃饭方便交通便利。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '电梯是坏的，空调不给力，很无语', '短评打分': 4}
{'短评内容': '空调不管用，屋子里太冷，幸好自己有电暖气！开关部分损坏，屋内热水不太热，想洗热水澡的会失望，前台服务差，询问前台以上问题得到的回答是特价房就这样，我要求换房还需补差价，这麽垃圾的酒店也能评四星？也不知道这么多好评哪里来的！', '短评打分': 3}
{'短评内容': '订不到房，不知为什么该房型还挂在网上。', '短评打分': 5}
{'短评内容': '价格不贵', '短评打分': 4}
{'短评内容': '卫生间里的设施基本上是坏的，洗手盆下水管是断的，马桶是晃动的', '短评打分': 3}
{'短评内容': '不错不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '根本不配四星，房间非常小。', '短评打分': 2}
{'短评内容': '距离办事地方比较近，性价比高，还会再来', '短评打分': 4}
{'短评内容': '还行吧！位置很好', '短评打分': 4}
{'短评内容': '老式房间有浓浓的古典氛围，前台服务贴心，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '临近万达广场，吃饭逛街都特别方便，顶楼还有旋转餐厅。', '短评打分': 5}
{'短评内容': '临近万达广场，吃饭逛街都特别方便，顶楼还有旋转餐厅。', '短评打分': 5}
{'短评内容': '位于唐山市中心，交通便利，出了酒店就有公交站。万达广场，沃尔玛在酒店对面。吃饭，购物都很方便。推荐入住！', '短评打分': 4}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '酒店地理位置还不错，对面就是万达广场，但酒店比较老，硬件设施一般，早餐也很一般。离机场大概40分钟左右的时间\n', '短评打分': 5}
{'短评内容': '服务很好，交通方便，处在市中心所以逛街采购很便利。唯一可惜升降梯只有两座速度又慢，吃个早餐等了好很多次才上去，卫生间异味重需修改', '短评打分': 5}
{'短评内容': '酒店前台服务有些慢，房间还行，可我住的1205房洗澡时居然水温不定忽温忽热的，差点没把我烫得脱皮，真的是很遭糕的入住体验', '短评打分': 1}
{'短评内容': '气味很大，该重新装修装修了，不过交通购物很方便，对面就是万达广场。', '短评打分': 1}
{'短评内容': '酒店位置方便，在万达广场的正对面，出行、吃饭和购物都很方便。酒店设施稍显陈旧，电视机尺寸太小了，插座有些没电，卫生间太拥挤。虽然有不足之处，但酒店服务很好，冰箱的饮料也很便宜。', '短评打分': 5}
{'短评内容': '客房、餐厅服务员态度很好，就是结账离开时前台的服务态度不好', '短评打分': 5}
{'短评内容': '酒店环境设备都比较满意，旁边就是万达，吃饭逛街都很方便。', '短评打分': 5}
{'短评内容': '酒店服务挺好，房间有点小。细节考虑的很精细，非常不错。洗浴用品如果采用一次性袋装就好了，现在的这种太差。', '短评打分': 5}
{'短评内容': '很不错的酒店 价格合理 对面就是万达 吃饭逛街都很方便 离纪念碑很近 服务整体还好 前台一般 退房时耽误了很久 ', '短评打分': 5}
{'短评内容': '唐山新华大酒店地理位置优越，房间很温馨.服务员训练有素.由于周边24小时施工，我的房间声音大，她们很快给调换了，在此提出表扬.', '短评打分': 3}
{'短评内容': '当地比较知名的酒店，旋转餐厅不错，房间一般。', '短评打分': 5}
{'短评内容': '酒店坏境很好，服务也很到位，下次还会光顾', '短评打分': 5}
{'短评内容': '位置极好。设施略显陈旧。热水不是很稳定，12层。\n\n\n早餐一般。前台美女很可爱。\n\n\n马桶里会放花瓣属实。', '短评打分': 5}
