{'descr': '很不错，就是停车位不多，', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境一般', 'star': 4}
{'descr': '和酒店确认携程预付可以开票，结果第二天不能开，只是恨监控没有声音，无法佐证！向华住进行投诉，说尽快答复，已经20天了，也没有回复！华住的管理实在让人失望！', 'star': 4}
{'descr': '房间不错，也很干净，早上稍微有点吵，值得推荐。', 'star': 4}
{'descr': '房间还不错，干净舒适，床比较大，不过价格在泰州来说，偏贵，不能开发票，要注意了。', 'star': 5}
{'descr': '环境挺好的', 'star': 5}
{'descr': '环境非常好，室内设施齐全，内置齐全，是非常好的商务及旅游住所，住了两天，感觉还不错，价格也非常合理。', 'star': 5}
{'descr': '洒店环境很好，下次还会入住', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '前台服务特别好，家有老人想订家庭套房，但是已经满了，前台特别有耐心，一直帮我惦记着，必须好评', 'star': 5}
{'descr': '酒店外面在搞装修，位置离万达远了点，步行大概20分钟，前台服务一般吧，有的年轻的服务态度有点急躁，别的也还好，不过总的说来性价比还可以', 'star': 4}
{'descr': 'is科目我哦立刻默契咯', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '酒店本身还可以，但外面正在装修，晚上12点到3点一直有工程车在处理垃圾，噪音很大，实在是忍无可忍，电话到总台，总台立即出去协调，情况有好转，建议如果下次再有这样的情况，酒店人员应该提前去处理，不要等客人投诉了再处理，就比较被动了！', 'star': 5}
{'descr': '帮我的客户订的，他们很满意。觉得像四星级。价格低。', 'star': 5}
{'descr': '地点还可以，房间也很整洁干净。不过面积比较小，尤其前台付费时，如果用汉庭自己的会员卡，比网站订购价格还要便宜一些，所以以后网站推广力度可能要打折扣了', 'star': 5}
{'descr': '这次是再次入住该酒店了，第一晚被房间里的烟味，包括被子中的烟味呛到上呼吸道感染，第二天反应了给直接更换了间唯一一间靠居民小区的，效果果然不同，安静了许多，整个房间倒是一点烟味都没有了，这点还算是有点小小的安慰了！', 'star': 5}
{'descr': '很好，很不错，环境好！！服务也好！！关键是出行也方便', 'star': 5}
{'descr': '不错，挺好的，值得推荐。房间面积不小的。', 'star': 5}
{'descr': '不错的快捷酒店，经济实用，前台服务很好，地理位置也不错，马路对面就是会宾楼，听说会宾楼的早餐鱼汤面不错，可是有事情耽搁了，没吃成。其次，硬件还是比较新也是蛮干净的，不过不知道什么原因，酒店的淋浴水冷热不均，洗澡的时候有点苦恼~', 'star': 5}
{'descr': ' 大厅很大, 家庭房蛮不错,总体可以。', 'star': 3}
{'descr': '\u3000酒店服务很好，环境很优雅。\n支持！\n就是时间怎么才算一天阿！\n什么六点之前六点之后退房！\n能解答下？', 'star': 3}
{'descr': '离办事地点很近，很方便，下次出差 还会来~~~~\n酒店环境一般，但就快捷酒店而言，算可以了，主要是方便~~', 'star': 5}
