{'短评内容': '每次都这里，可以。', '短评打分': 5}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '有停车场地', '短评打分': 5}
{'短评内容': '感觉还不错，挺好的', '短评打分': 4}
{'短评内容': '感觉很不错', '短评打分': 4}
{'短评内容': '很脏', '短评打分': 1}
{'短评内容': '优点很明显，离火车站非常近，火车站南广场出口东侧就是。缺点也非常明显，隔音比较差，这也是一般快捷酒店的通病。隔壁房间的两个人玩的比较嗨，动作比较大，影响到我了。', '短评打分': 5}
{'短评内容': '很差劲无线网常掉线，太干了，第二天就感冒！不是很干净，京东体交订单有点慢', '短评打分': 3}
{'短评内容': '交通便利、价格实惠、挨着沈阳北站、', '短评打分': 5}
{'短评内容': '商务出差，临近火车站，开始以为这个地方会脏乱差，但是最后感觉还算不错，隔音效果也很好，希望有机会下次再来.', '短评打分': 4}
{'短评内容': '设施一般，交通方便，暖气很好，服务态度很好！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '位置是最大的优势吧，距离北站很近，餐厅着实不怎么样，很冷请，而且六点多就下班了！', '短评打分': 3}
{'短评内容': '酒店很好，家人需要在沈阳转车 转机时都会选择在这里的！设施也可以，也很安静！就是卫生间一般般，总体上感觉还是挺好的！', '短评打分': 5}
{'短评内容': '酒店环境一般，也就是地理位置还好一点，距离火车北站南广场挺近的，酒店的服务一般，尤其是前台的服务员，态度超差。', '短评打分': 3}
{'短评内容': '酒店距离沈阳火车北站特别近，大概也就50米吧，房间环境一般，不过现在房间好像装修，以后可能会好一点。酒店的早餐不太好。其他还可以。', '短评打分': 3}
{'短评内容': 'Quite good  will stay again next time', '短评打分': 3}
{'短评内容': '房间还可以，每天都打扫，就是房间的面积有点小，而且由于沈阳北站的南出口在施工，所以到酒店必须绕一个大大的圈子，早餐菜肴太简单，格外加人还要10元一个，不成正比，其他的还好。另外餐厅的椅子布和抹布有的一拼了。', '短评打分': 5}
{'短评内容': '贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差', '短评打分': 1}
{'短评内容': '晚上的热水不热', '短评打分': 3}
{'短评内容': '被子干净；只是在前台服务员脸上不曾见过笑容，不曾听过：“您好！请！对不起！再见！等服务用语，前台服务差！本人不会再光顾该酒店了。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还可以。挺静。', '短评打分': 3}
{'短评内容': '下火车很容易找到，但卫生不是太好，不过在火车站和汽车站附近能有这样的已经很不错了，对面还有一家家乐福。我还是推荐大家尽量不要住在火车站附近。如果只图方便，那这家就是性价比最高的了', '短评打分': 1}
{'短评内容': '挺好的, 早餐也挺齐全的. 只是吧, 蚊子比较多.可能因为是夏天的缘故!', '短评打分': 5}
{'短评内容': '还不错，交通方便', '短评打分': 3}
{'短评内容': '闫连营成功入住贵酒店', '短评打分': 3}
{'短评内容': '酒店距离火车站很方便。', '短评打分': 3}
{'短评内容': '\n已入住。\n谢谢!', '短评打分': 3}
{'短评内容': '离火车站很近  坐车方便\n硬件还可以\n上网慢\n离家乐福很近', '短评打分': 5}
{'短评内容': '离火车站非常之进！！\n旁边就有家乐福超市！\n但是工作人员工作态度不好！\n酒店性价比明显很差！\n环境不干净！装修实在是非常的破旧！\n送的早餐也太过于简朴了！而且那些咸菜放了多久了？？？？还卖不掉！！！\n明显就是赚的过路客的钱！！这家店！！！\n很失望！！！！！！', '短评打分': 1}
{'短评内容': '感觉环境一般，住房也一般，而且早餐吃光的东西后厨不给再加', '短评打分': 1}
{'短评内容': '位置和北站挨着，还算好找，但酒店不提供寄存行李的服务，这点不好。热水要放好久才有，床有点硬，总体说如果赶早车住这还算方便吧。', '短评打分': 3}
{'短评内容': '＋房间简单点，卫生不错', '短评打分': 3}
{'短评内容': '酒店早餐不好', '短评打分': 3}
{'短评内容': '  房间性价比不错 早餐也很好', '短评打分': 3}
{'短评内容': '酒店卫生较差，性价比不高，唯一优点是距离火车站近。不如隔壁的军交大厦好。', '短评打分': 1}
{'短评内容': '交通方便，就在火车站边上，适合中途转站的朋友们。前台服务员服务态度不好，需改进。价位还可以。内部装修不是很好。', '短评打分': 5}
{'短评内容': '服务一般，两个房间结账居然要分开刷卡，而且发票没注意还少开了几块钱，导致报销遇到麻烦，领导还以为是我虚报价格，郁闷。', '短评打分': 1}
{'短评内容': '沈阳瑞心龙源酒店头一次去不太好找，环境装修都一般，不过相对于这个价位而言也算可以了。', '短评打分': 5}
{'短评内容': '内部环境还好床单干净、卫生间新装修，外部比较乱。', '短评打分': 5}
{'短评内容': '酒店破旧，服务态度差，不是为了离车站近，就不会再住这种酒店了', '短评打分': 1}
{'短评内容': '头一次去不太好找，环境装修都一般，不过相对于这个价位而言也算可以了。', '短评打分': 5}
{'短评内容': '酒店很破旧，条件比较差！除非赶早班火车，否则是不会选择这的，再说价格又不低，饭菜都很贵。', '短评打分': 1}
{'短评内容': '标准间A房间很小，靠近火车站，晚上火车比较吵，适合乘火车中转赶时间的客人。', '短评打分': 1}
{'短评内容': '有点冷，有点吵！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '位置不错，环境也可以。到北站用不到10分钟真的很近，坐早车的人优选哦。', '短评打分': 5}
{'短评内容': '房间还不错 ，很大，就是晚了没热水洗澡。', '短评打分': 5}
{'短评内容': '除了离火车站近，别的真是无话可说了······。', '短评打分': 1}
{'短评内容': '设施陈旧，楼层服务人员的态度很不好，刚进酒店，还没有发现网线，刚好在楼道里遇见一服务员，顺便问了一句，回答下来，差点儿把我噎死，难道东北人就这德性？', '短评打分': 1}
{'短评内容': '酒店位置不错，但设施较陈旧，热水水不热。。。不敢洗澡，怕冻着。', '短评打分': 5}
{'短评内容': '环境还可以，冬天挺暖和，有宽带和早餐，也比较安静', '短评打分': 5}
{'短评内容': '一般 离火车站很近 开车的铃声都听得到 不是太安静 设施比较老 但是周围环境还不错 特别超市 银行什么的都很近 吃饭也很方便\n离火车站近的酒店选这家也算不错了', '短评打分': 5}
{'短评内容': '算是不错吧，还算安静。交通很方便，在这一住就是6天啊', '短评打分': 5}
{'短评内容': '现在入住屋里有点冷啊，希望改进。不过交通方便', '短评打分': 5}
{'短评内容': '瑞心龙源酒店，只有位置好，除了位置没有一点其他值得夸奖的地方。空调破烂。房间冰冷。电视有雪花。网速慢的跟蜗牛似的。', '短评打分': 3}
{'短评内容': '挺好的 位置不错 就是贵点。热水也挺给力。', '短评打分': 5}
{'短评内容': '离火车站很近，方便。酒店应该是有好些年头了，无论是楼层还是房内设施都能看出来。总体还是不错的，比较干净，近火车站也很安静。', '短评打分': 5}
{'短评内容': '床有点小，房间不是很大。但周边交通确实方便', '短评打分': 5}
{'短评内容': '这家酒店总体来说还不错 虽然电视有花点不是很清楚但是其他的都还可以下次还会入住，房间还算干净这个价位的性价比还是不错的', '短评打分': 5}
{'短评内容': '价格还算便宜，临近火车道，神经衰弱的就不要去住了。\n冬天的热水需要放很久才能出来，还以为没热水呢！\n前台服务员态度一般，不算热情', '短评打分': 5}
