{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '没有窗的房间通风不好，墙壁发霉很多', 'star': 4}
{'descr': '很惊喜，这么便宜的房价能住到各方面都很不错的酒店，设施、卫生都很干净，周边交通、餐饮非常方便。下次去南京还住这酒店。', 'star': 5}
{'descr': '不错，这是我住。过最好的地方', 'star': 5}
{'descr': '无停车位，周边环境差，', 'star': 4}
{'descr': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。', 'star': 5}
{'descr': '还不错，大家都很满意', 'star': 5}
{'descr': '酒店不错，值得入住，而且很便宜', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '洗手间灯是坏的，床头灯也是坏的', 'star': 2}
{'descr': '房间不咋滴 床睡的感觉皮肤痒痒的 因为太迟入住也就没有换房间了 吧台服务也差 不会住第二次了', 'star': 3}
{'descr': '前台那位美女很给力，点个赞', 'star': 4}
{'descr': '连吹风机都木有。唉，好忧伤。', 'star': 2}
{'descr': '环境还是挺不错的，很干净，就是设施比较老了。', 'star': 5}
{'descr': '嗯，住了两天考试，感觉周围还是不错的', 'star': 3}
{'descr': '考试去住的，隔音差了点，其他不错', 'star': 3}
{'descr': '总体还可以，前台服务员的服务有待改进', 'star': 3}
{'descr': '总的来说还不错，没有想象中的好，凑合着吧。', 'star': 5}
{'descr': '很好 又便宜', 'star': 3}
{'descr': '很好 又便宜', 'star': 3}
{'descr': '房间设施一般。隔音非常不好。房间里没有酒店服务指南。', 'star': 1}
{'descr': '房间设施一般。隔音非常不好。房间里没有酒店服务指南。', 'star': 1}
{'descr': '酒店不大，但很安静，卫生服务各方面状况也不错，总体来讲比较满意，以后需要还会去的', 'star': 5}
{'descr': '酒店不大，但很安静，卫生服务各方面状况也不错，总体来讲比较满意，以后需要还会去的', 'star': 5}
