{'短评内容': '到赣州都是住的君嘉，房间很舒适，', '短评打分': 5}
{'短评内容': '酒店，里面设施太差啦。这个价格不值', '短评打分': 2}
{'短评内容': '周边环境不错，夜景很美，夜宵丰富，房间内卫生可以，热水很大，', '短评打分': 4}
{'短评内容': '房间挺大，有点老旧，窗外的夜景很漂亮，晚上不知道什么在运行有点吵', '短评打分': 3}
{'短评内容': '服务还可以，酒店环境一般，离闹市不远，附近有很多饭店和小吃店。很方便。', '短评打分': 4}
{'短评内容': '还可以，酒店老了店，其他还好', '短评打分': 3}
{'短评内容': '还好没电梯…', '短评打分': 2}
{'短评内容': '都一般', '短评打分': 4}
{'短评内容': '是我有史以来住过的最最最差地方,交通, 吃饭,买东西都不方便', '短评打分': 1}
{'短评内容': '给同事订的，反应很不好，说床单和毛巾都不干净，尽管说开业不久，不过装修很老气哈', '短评打分': 1}
{'短评内容': '半夜11点多到的酒店，前台一个美女一个帅哥，态度很亲切。不过大堂里一个人估计喝醉了在大声吼叫跟人争执，旁边的几个人在拉住他，没有保安来管。上楼开门发现是双人床，下楼让前台调换一个大床间，很爽快地换了，7003。房间设施一般，窗口临街侧面，很吵，窗户隔音效果不好。估计所谓江景房（窗户正对街和江）会更吵。没有衣橱。卫生间的淋浴是敞开的，和马桶以及洗脸台盆之间没有隔开，连浴帘都没有。床的正上方天花板位置', '短评打分': 5}
