{'descr': '酒店还可以', 'star': 5}
{'descr': '环境可以', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '服务态度很好，上网速度快服务态度很好，上网速度快服务态度很好，上网速度快', 'star': 5}
{'descr': '接机送地铁站等服务还不错，早餐7元一位，一般，不过在上海这种地方7块钱也吃不到什么东西，总体来说还不错', 'star': 4}
{'descr': '去机场很近 还有送机服务 好评更值得一提的是 地铁站还有接送服务一整个好感度上去了飞机早的话 选择这里棒棒哒', 'star': 4}
{'descr': '总体感觉一般', 'star': 5}
{'descr': '地铁接送', 'star': 5}
{'descr': '帮别人定的，不知道怎么样，不过酒店前台很耐心', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '比较偏僻，卫生条件一般。', 'star': 3}
{'descr': '比较干净，价格在上海来说还算划算，比较方便', 'star': 3}
{'descr': '哈哈哈哈哈，舒适的小房，去到哪里旅行都找7天！', 'star': 4}
{'descr': '不错，前台小妹很亲切', 'star': 4}
