{'短评内容': '没有热水，得放出十分钟左右能有热水，酒店的床单被罩都没换，就叠好，还有头发呢，现给还的，以后不会再去了', '短评打分': 2}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '帮人预订的', '短评打分': 4}
{'短评内容': '房间卫生有待提高，隔音一般。', '短评打分': 4}
{'短评内容': '卫生不好，服务不好', '短评打分': 3}
{'短评内容': '挺好，服务不错', '短评打分': 4}
{'短评内容': '干净整洁，交通便利，非常好。', '短评打分': 5}
{'短评内容': '服务挺好的，老板也很实在，有问题啥的都给解决了', '短评打分': 5}
{'短评内容': '还不错啊，辛苦通知我哦wm', '短评打分': 3}
{'短评内容': '房间不错，挺好的，挨着兴隆大家庭', '短评打分': 3}
{'短评内容': '交通方便，室内环境良好，总的来说不错！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '很不错的地方  环境很好 交通方便      室内很干净 设计很有创意   不好的地方有   中央空调制冷效果不好   卫生间比较潮湿   有小飞虫   ', '短评打分': 5}
