{'短评内容': '酒店位置不错，房间也很好比较满意的一次住宿', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错，干净', '短评打分': 5}
{'短评内容': '环境还可以  价格实惠', '短评打分': 4}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '位置好找，周边也不错，内部干净，就是味道有点大，还是比较舒适的', '短评打分': 5}
{'短评内容': '干净卫生，', '短评打分': 5}
{'短评内容': '旁边早上5店太吵，酒店没人管，没法睡觉', '短评打分': 4}
{'短评内容': '住了好几次。', '短评打分': 4}
{'短评内容': '早餐种类多，味道好。', '短评打分': 4}
{'短评内容': '早餐种类多，干净，家常味道，不错。', '短评打分': 3}
{'短评内容': '位置很好，服务周到，每次来都住这边', '短评打分': 5}
{'短评内容': '非常不错 非常喜欢 哈哈哈！', '短评打分': 5}
{'短评内容': '总体还算满意', '短评打分': 4}
{'短评内容': '周边环境不好，无购物地点', '短评打分': 3}
{'短评内容': '很大很新很好', '短评打分': 5}
