{'短评内容': '快捷酒店里不错选择，床品比较舒服，周边较为安静，挺好的，性价比不错。', '短评打分': 4}
{'短评内容': '连锁酒店就那样吧', '短评打分': 5}
{'短评内容': '干净，房间不太大', '短评打分': 4}
{'短评内容': '卫生干净，房间不大', '短评打分': 4}
{'短评内容': '完美，代同事订的，很好很干净，新装修的....', '短评打分': 5}
{'短评内容': '比较满意的', '短评打分': 4}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '比较满意的', '短评打分': 4}
{'短评内容': '下次去象山，还会住这里', '短评打分': 3}
{'短评内容': '好，干净，方便', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店感觉不错，性价比高，应该还会考虑再来。', '短评打分': 4}
{'短评内容': '环境很好，离客运站很近，很方便', '短评打分': 4}
