{'短评内容': '好！！！！', '短评打分': 5}
{'短评内容': '有点坑', '短评打分': 2}
{'短评内容': '老客户，一直的选择。', '短评打分': 5}
{'短评内容': '东西不错的样子，哈哈哈，有用的就不错了，哈哈', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间格局小', '短评打分': 3}
{'短评内容': '交通便利，房间干净，前台接待态度很好', '短评打分': 5}
{'短评内容': '经济方便的酒店', '短评打分': 4}
{'短评内容': '拖鞋  没法穿  上面一层土  床单  明显没换   一掀床单    天呀   讲究人还是算了   ', '短评打分': 2}
{'短评内容': '环境不错 设施齐全 店家服务热情  宾馆后面是停车场 前台服务员很热情的让你停在后面 支持 以后还来这里～', '短评打分': 5}
{'短评内容': '还可以，位置不算好，但是交通还行。房间比较干净，是中央空调，热水很不错，早餐一般般。出差住住还凑合。', '短评打分': 4}
{'短评内容': '还行。周边不远有个做鱼的饭店，挺好吃的。', '短评打分': 4}
{'短评内容': '早餐不错，房间干净，就是网速不怎么样', '短评打分': 3}
{'短评内容': '还可以，挺干净的，服务也不错', '短评打分': 3}
{'短评内容': '环境                干净', '短评打分': 3}
{'短评内容': '房 间环 境 干 净', '短评打分': 3}
