{'短评内容': '非常好，京东的价格也很便宜已经第十几次满了。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间很大，很不错，干净', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好。      ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '值得入住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好啊', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '非常好，非常满意，下次再来。', '短评打分': 5}
{'短评内容': '还不错?', '短评打分': 5}
{'短评内容': '111111111', '短评打分': 5}
{'短评内容': '性价比高 住着舒服  早点不错', '短评打分': 5}
{'短评内容': 'hao  好好好好好好好', '短评打分': 5}
{'短评内容': '11111111', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '蔡甸这边的城市便捷还OK，基本达到了同城其他分店的水平，除了地理位置一般，蔡甸区还在发展，也没办法。总体来说还行，毕竟连锁品牌', '短评打分': 5}
{'短评内容': '方便快捷，舒服安心', '短评打分': 4}
{'短评内容': '好可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '适合商务出差', '短评打分': 5}
{'短评内容': '酒店大厅很上档次，前台很热情很有礼貌，办理速度很快，给我安排的房间我很满意，早上还有自助早餐，早餐很丰盛，很棒。出门交通很方便，离我办事的地方近。下次过来还是首选这家酒店。', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好。', '短评打分': 5}
{'短评内容': '大唐服务态度很热情，酒店干净整洁，早餐很丰盛。', '短评打分': 5}
{'短评内容': '房间干净整洁，前台服务很好', '短评打分': 5}
