{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '一般都住在哪，干净', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '性价比超高！房间干净卫生，基本上不吵，前台小姐和保洁阿姨人都非常好，我周边吃的很多随便挑，离地铁站很近几分钟就走到了，总共住了三天，好评！', '短评打分': 5}
{'短评内容': '性价比超高！房间干净卫生，基本上不吵，前台小姐和保洁阿姨人都非常好，我周边吃的很多随便挑，离地铁站很近几分钟就走到了，总共住了三天，好评！', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。', '短评打分': 5}
{'短评内容': '可以！！！！！！！！', '短评打分': 5}
{'短评内容': '很好 很好 很好 很好。。。。。', '短评打分': 5}
{'短评内容': '商务出差代人预订独自旅行', '短评打分': 5}
{'短评内容': '确实有点脏，靠路边，走廊也很乱，餐厅有点差，吃饭真难吃，唯一的好处就是很便宜，不过很难相信连锁酒店这样', '短评打分': 3}
{'短评内容': '周边很热闹。房间尚舒适', '短评打分': 4}
{'短评内容': '非常不错，下次还来住。', '短评打分': 5}
{'短评内容': '应该说还是对得起这个价格的，不过房间里居然连面纸都没有，另外房间内的电视也太小了，比电脑还要小，给中评吧', '短评打分': 3}
{'短评内容': '很好，交通便利，房间也很安静', '短评打分': 5}
{'短评内容': '还不错 就是偶尔有小强', '短评打分': 4}
{'短评内容': '晚上汽车经过太吵了', '短评打分': 4}
{'短评内容': '环境配套方便，房间卫生，性价比高的一家酒店', '短评打分': 4}
{'短评内容': '环境配套方便，房间卫生，性价比高的一家酒店', '短评打分': 4}
{'短评内容': '还可以，边上吃，出行方便', '短评打分': 4}
{'短评内容': '吃饭购物都比较方便，离地铁站步行五分钟以内', '短评打分': 5}
{'短评内容': '已经第3次在这里订了，价格实惠，房间内干净。', '短评打分': 4}
{'短评内容': '已经第二次在京东购买了，便宜，干净。', '短评打分': 5}
{'短评内容': '干净实惠，住了几次了，这是第一次在京东上预订。', '短评打分': 5}
{'短评内容': '交通便利，经济实惠，好！', '短评打分': 5}
{'短评内容': '里面挺干净，挺好的，99块值了', '短评打分': 5}
{'短评内容': '大晚上到了深圳，莫泰给我的房间的卫生间竟然有一大炮屎粑粑！我滴神呀，倒胃的不行呀！不知道清洁人员是怎么清洁房间的？换了一间也是房间有怪味，这一点比起7天可真是有一定差距，7天是整洁干净无异味的。而且第一天晚上还刷不了卡，第二天我去问，竟然还没有修好，多重的打击呀！于是我在住过一晚后我只能选择更换酒店了。', '短评打分': 1}
{'短评内容': '一般般吧，就这个价格还算可以。一般般吧，就这个价格还算可以。', '短评打分': 5}
{'短评内容': ' 还是不错的，价格合适，交通方便，还有自助洗衣间', '短评打分': 3}
{'短评内容': ' 酒店就在地铁站附近，交通很方便，路痴也不担心会走丢呢。缺点就是会有点吵呢，因为前面就是马路。', '短评打分': 3}
{'短评内容': '正在装修，早上8点就吵死了，其他还可以，酒店厕所有点尴尬', '短评打分': 5}
{'短评内容': '如果是一家，双床房可以住4个人，还是比较经济的。', '短评打分': 5}
