{'短评内容': '老旧潮湿，最好不要早餐，太次。电视台少，霉味很重。', '短评打分': 2}
{'短评内容': '大宾馆就是好，环境不错，服务好，早餐很可口，离那儿都近，被安排到五楼，很肃静，旁边就有菜市场，饭店也不少', '短评打分': 5}
{'短评内容': '卫生有点差，地上还有头发，卫生间漏水，', '短评打分': 3}
{'短评内容': '酒店环境很好在市中心，也很干净很安静的，酒店服务人员很热心，值得推荐。', '短评打分': 5}
{'短评内容': '房间干净整洁，价格实惠，唯一一点就是WiFi比较慢，停车场的车位少，希望能改善', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '最最满意的住宿，安排在6楼大床房，超满意！东方宾馆的忠实顾客，位置好，前台服务周到热情！早餐也不错！赞！', '短评打分': 5}
{'短评内容': '繁华街这个价位相当实惠啦！还有早餐！老顾客出差就住这，去哪里都方便，热水出水量大，前台服务不错！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '特价房是一楼，稍微有点潮！其他都不错！洗澡水量大，早餐也可以！真的很实惠！', '短评打分': 5}
{'短评内容': '床很大，注着也很舒服，很不错好评，早餐再早一点就更好乐', '短评打分': 5}
{'短评内容': '便宜， 服务周到， 位置佳。 离亲戚家很近。 下次来 还住这。', '短评打分': 5}
{'短评内容': '不错，除了房卡打不开门', '短评打分': 5}
{'短评内容': '环境很好，服务很好，很舒适', '短评打分': 3}
{'短评内容': '离中央大街近，环境只能说一般。定的是有窗，到店后告诉没窗。不想折腾了。就住下了', '短评打分': 3}
{'短评内容': '议施陈旧，歺厅女服务员态度恶劣，没有停车泊位。', '短评打分': 3}
{'短评内容': '还可以，交通还算比较方便，比较近中央大街。公交车少了点啦。就是房间小了点。价格偏贵。', '短评打分': 5}
{'短评内容': '没有网上介绍的好一般吧!', '短评打分': 3}
{'短评内容': '房间一般，网线太短，性价比还行，下次来还会住。', '短评打分': 5}
{'短评内容': '第一次入住该酒店标准单人间，网上说没有宽带，实际是有的。就是空间小点，没有坐的椅子，还没有餐厅。一般化。', '短评打分': 5}
{'短评内容': '位置不错，距离中央大街非常近，早餐一般。', '短评打分': 5}
{'短评内容': '拖鞋都不是一次性的，而且电视的台很少，早餐很没有食欲，这个价格根本比不上如家那些酒店', '短评打分': 1}
{'短评内容': '宾馆的性价比较高，服务很好！再来哈市还会入住。。。如果在店里办会员卡，价格会更优惠', '短评打分': 5}
{'短评内容': '宾馆的性价比较高，服务很好！再来哈市还会入住。。。', '短评打分': 5}
{'短评内容': '宾馆位置交通方便，去中央大街、松花江、火车站都不远。房间干净，有电脑而且网速还挺快。服务人员热情。值得推荐！', '短评打分': 5}
{'短评内容': '宾馆位置交通方便，去中央大街、松花江、火车站都不远。房间干净，有电脑而且网速还挺快。服务人员热情。白天遇到临时维修、需要让房间停水两个小时，前台能主动询问是否需要换房。如果说不足的话，早餐一般，不过这个价位的房价，倒也没啥可挑剔早餐的了。', '短评打分': 5}
{'短评内容': '房间小 象快捷旅馆 268的房还不如如家', '短评打分': 3}
{'短评内容': '不错！卫生！服务不错！就是房门差了点！不隔音！', '短评打分': 5}
{'短评内容': '这个店最大的优点就是位置不错，去中央大街和圣索菲亚教堂步行十分钟即可到达！但其他实在不敢恭维。电视只能看到一个黑白有雪花的西藏电视台，号称三星付款不能刷卡，没有服务员跟打扫卫生，送的早餐也是非常的粗劣，带个小孩居然也要收半价。想加个枕头被告知没有多余的，市话每分钟两毛，我打了三分钟，结账收了两块钱，问其原因，被告知就是这样收，哎！', '短评打分': 1}
{'短评内容': '新开业的酒店，卫生比较好，就是蚊子太多了，被咬醒了。', '短评打分': 5}
{'短评内容': '房间设施有些陈旧了，但是卫生还是挺好的，打扫的很干净的。', '短评打分': 5}
{'短评内容': '配置硬件设施都挺齐全的，房间配电脑这一点我觉得很方便。', '短评打分': 5}
{'短评内容': '位置很不错哦，距离中央大街很近，溜达着也可以到松花江畔。', '短评打分': 5}
{'短评内容': '主要是位置好周围环境不错，服务卫生也比较达标，价格和它的条件来讲也比较合适，性价比达标的酒店。', '短评打分': 5}
{'短评内容': '很差的酒店，服务员态度不好，而且安排的是地下室的房间，酒店说把我的房间给买出去了，下次不会去入住了。', '短评打分': 1}
{'短评内容': '房间小 住的不舒服', '短评打分': 1}
