{'短评内容': '交通便利，位置很好，走5分钟就是万达广场', '短评打分': 4}
{'短评内容': '万达广场后面，交通便利，餐饮很丰富', '短评打分': 4}
{'短评内容': '早餐还不错的，酒店位置在万达广场附近非常方便。适合带孩子居住。停车稍微不太方便，门口有停车场可以停车的。', '短评打分': 5}
{'短评内容': '停车位有，但是紧张，位置不错，距离万达五分钟步行。设施比较陈旧，特别是地毯比较脏。早餐简单，但能吃饱。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '该酒店位于万达广场旁，餐饮，休闲购物非常方便。酒店装修典雅，处处摆放文玩书画，根雕。体现老板的实力和气质。', '短评打分': 4}
{'短评内容': '酒店稍老，但服务不错。', '短评打分': 4}
{'短评内容': '出差住呢，不错', '短评打分': 5}
{'短评内容': '11月的大烟台啊，那叫一个冷啊，房间空调居然没有热风，怎一个郁闷！', '短评打分': 5}
{'短评内容': '很冷，空调吹的都是冷风，一晚上冻醒了很多次，马桶冲水按钮也不好用，很郁闷！', '短评打分': 5}
{'短评内容': '每次都住在金融，交通便利，离万达广场也很近，而且酒店很干净，还有果盘赠送，整体都很满意', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '不错可以', '短评打分': 5}
{'短评内容': '可以不错', '短评打分': 4}
{'短评内容': '暖风足，能看到海，视野不错，服务热情。', '短评打分': 4}
{'短评内容': '酒店环境很好，在市中心但很安静，服务很不错，下次还要来光临。', '短评打分': 5}
{'短评内容': '酒店环境不错，歺厅的饭菜也不错', '短评打分': 3}
{'短评内容': '非常满意 怎么涨价了 怎么涨价了 怎么涨价了', '短评打分': 5}
{'短评内容': '总体还不错。卫生情况要注意，还有卫生间门口地太滑。', '短评打分': 5}
{'短评内容': '酒店本身确实不错，只是外面的风景实在不堪入目啊，到处都是工地', '短评打分': 5}
{'短评内容': '地段稍微有点偏，周边十分破旧，酒店的服务态度也一般。', '短评打分': 1}
{'短评内容': '干净，整洁，舒适。在金融一条街上，出行，游玩，购物都十分方便。当然，我是去考公务员的。这个酒店就在学校对面，实在是再适合不过了。我们直接在酒店吃的早，午，晚饭。早饭种类有点少，跟如家的早饭种类差不多。午餐菜品普遍偏咸。我就够能吃盐了，没想到大师傅比我的口还重', '短评打分': 5}
{'短评内容': '服务很到位，要赶早上8点的飞机，宾馆还特意提前准备了早餐', '短评打分': 5}
{'短评内容': ' 酒店卫生间除洗发水和沐浴液外，还配备了SOD润肤露，冬天洗完澡抹上很舒服，酒店考虑很周到。', '短评打分': 3}
{'短评内容': '\r\n房间不错,干净,宽敞！', '短评打分': 3}
{'短评内容': '房间干净空旷，但卫生间狭小，没有免费的矿泉水！', '短评打分': 5}
{'短评内容': '服务；环境；交通都不错值得推荐，下次到烟台还住这家\n\n', '短评打分': 5}
{'短评内容': '态度不错，房间很好  房间也挺安静 各种设施挺齐全\n早餐非常不给力，连个饮料都没有 也没什么菜可吃', '短评打分': 5}
{'短评内容': '酒店的自助餐可怜的笑人。不到八点半打电话告诉你快没饭吃了。而且菜也很垃圾。就几样菜。很不推荐。', '短评打分': 1}
{'短评内容': '还是可以的。进入酒店大门看到很多根雕，有崖柏，有樟木，很古香古色。不过那么大一个酒店，就只有三个吹风机，这点不大好。打扫卫生的服务员不是很细心。被套上有大杂志那么大的一块灰尘迹，还是照样给客人用。我等到晚上睡觉才发现，想着第二天服务员会换的，谁知道第二天晚上回去一看还是那个被套。希望酒店在清洁方面注意一下。其他方面，酒店很细心，洗头的是飘柔，洗澡的是另外一个牌子，还有SOD蜜给客人搽，非常的体贴。', '短评打分': 5}
{'短评内容': '地址位置很不错，闹中取静，它就是人民银行的三产。\n楼下有很多公交车，楼下的41路可以到烟台山，非常方便。\n前台服务也不错，但是没有矿泉水，也懒得和前台要了。\n综合来讲，198的特惠价还是物有所值的，推荐~！', '短评打分': 5}
{'短评内容': '减退方便，安静，整洁。前台服务员态度非常好。所以我作为住这里，今天退房，因为工作原因，有重新 会烟台市区，继续选择住在这里。只是早餐结束时间早了一点', '短评打分': 5}
