{'短评内容': '位置还不错，打车挺方便的，挺安静的', '短评打分': 4}
{'短评内容': '酒店位置位于十字路口，出行方便。酒店设施陈旧，卫生间干湿为分开，还是蹲便，我只能安慰自己说蹲便卫生。停车方便，酒店后院可停。由于走的早，其它不好评价。个人觉得，凑合一晚不讲究的还行，有点要求的别在这入住了，很失望', '短评打分': 3}
{'短评内容': '有停车场，其他一般', '短评打分': 4}
{'短评内容': '入住的时候没注意到房间的消费品 结果退房时就说少了一瓶水 那个郁闷 也认栽了 ', '短评打分': 3}
{'短评内容': '物有所值，划算', '短评打分': 4}
{'短评内容': '只能说一般，床垫里面弹簧磨得皮肤疼，枕头不太喜欢，里面还是挺干净的，服务不错', '短评打分': 4}
{'短评内容': '这回房间向街，非常吵，没有空调', '短评打分': 5}
{'短评内容': '#ud83c#udfe8交通方便，停车方便', '短评打分': 5}
{'短评内容': '进去时抹布换的枕套都没拿走', '短评打分': 3}
{'短评内容': '路边，出行便利', '短评打分': 5}
{'短评内容': '客房卫生很好，，，态度也很好！卫生间内条件有待改造！', '短评打分': 4}
{'短评内容': '服务态度好，周边环境也很好，下次还住你店。', '短评打分': 5}
{'短评内容': '酒店不错，后院免费停车。就是设施相对稍微陈旧了点。', '短评打分': 4}
{'短评内容': '不错，干净，', '短评打分': 5}
