{'descr': '舒适，温暖！', 'star': 5}
{'descr': '还不错，离商业区很近。网有点慢，空间还可以，没窗户有点闷，隔音不是很好，走廊的声音很吵，卫生不错，服务周到', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '环境还行，但是牙刷里没有牙膏', 'star': 4}
{'descr': '环境不错，价格便宜。', 'star': 5}
{'descr': '环境不错，价格便宜', 'star': 5}
{'descr': '红包拿来！щ(ﾟ▽ﾟщ)', 'star': 5}
{'descr': '还行吧！没窗的味道比较大，有点潮。不过是特惠的。', 'star': 5}
{'descr': '准确，及时，方便，优惠。', 'star': 5}
{'descr': '相对来说，比其他的地方定的便宜', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '快捷酒店房间就那样吧，走道通风不好有潮味', 'star': 4}
{'descr': '价格不错，位置有点偏，不过很对得起这价位了', 'star': 5}
{'descr': '房间不错，价格也合理', 'star': 5}
{'descr': '价格较低，就是周边修路，交通不便', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '可以', 'star': 3}
{'descr': '小', 'star': 5}
{'descr': '环境有点陈旧了，酒店提供的停车位有点少，过夜还要在别的小区停车，收钱的。', 'star': 3}
{'descr': '地理位置优越，交通方便，干净卫生，环境舒适，服务人员素质高，态度好！', 'star': 5}
{'descr': '前台的服务很好，只是大厅有点热，没开空调', 'star': 5}
{'descr': '环境挺好，地理位置也不错，前台服务员的微笑很真诚。 \n', 'star': 5}
{'descr': '就业的内部装修及环境还行，就是管理上有点松懈', 'star': 5}
{'descr': '环境挺好，地理位置也不错，前台服务员的微笑很真诚。', 'star': 5}
{'descr': '内宾房间，还算宽敞、干净，就是不通风。不愉快的是，早晨结账的时候说我污染毛巾了，要我15元买了块毛巾。', 'star': 5}
{'descr': '  环境挺好 电视效果一般 ', 'star': 3}
{'descr': '卫生条件还行，感觉还不错。下次还住！为朋友定的。朋友感到还可以。', 'star': 5}
{'descr': '订的时候一个价，住的时候就涨成了挂牌价，而且没有事先通知，这一点表示很不满。位置还行，装潢就是标准的如家，服务不错，不过房间的隔音效果挺差的，房间内能很清楚的听到走廊里的谈话', 'star': 5}
{'descr': '交通方便，周边吃饭的地方多，卫生好，己多次入住。', 'star': 3}
{'descr': '和一般的如家差不多，挺不错的  离王府井也近', 'star': 5}
{'descr': '环境安静！交通方便', 'star': 3}
{'descr': '还不错，就是返现少了，异龙不给力了啊', 'star': 3}
{'descr': ' 前台服务很好，感觉“如家”般，就是房间太小，两个人走动都不方便。', 'star': 3}
{'descr': '不错，服务态度也好，价位也适当，可以入住', 'star': 5}
{'descr': ' 环境不错。内部设施也齐全', 'star': 3}
{'descr': '位置不错、交通方便', 'star': 3}
{'descr': '环境比较温馨，交通便利，服务也很周到，很乌龙的打不开房门时，保安直接跑楼梯上6楼给我们开门，很感动~', 'star': 5}
{'descr': '不错，还行的。方便就是门口不能放车。其他还行的。', 'star': 5}
{'descr': '价位不错，房子虽然是无窗的，但是有个靠走廊的窗户，还行', 'star': 5}
{'descr': '环境挺好的，服务也不错。唯一可惜的是网络时断时续的，影响办公', 'star': 5}
{'descr': '环境不错。。。。服务也挺好的。。。。就是房间太紧凑。。有点小', 'star': 5}
{'descr': '环境挺好', 'star': 3}
{'descr': '很好,干净卫生。', 'star': 3}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n还算不错，床很大很软，可以推荐，除了小瑕疵是，这家店有蟑螂', 'star': 5}
{'descr': '不错呀，服务态度很好', 'star': 3}
{'descr': '交通方便，卫生好，早餐可口，缺憾的是房间小。', 'star': 3}
{'descr': '热  \n还不错拉  位置挺好找的\n就是有些热 暖气弄的太好了', 'star': 5}
{'descr': '同时订的两天房，只不过中间隔了一天，第二次入住服务员就一口咬定我们没有预订~~左看右看半天也是没有，拿出确认短信他还是坚持没订~~~~最后总算来了个明白的，似乎在一堆废纸中找到了确认的那个单子，不得不说，我真是服了这服务质量~~~~~~酒店的干净整洁不必再说，，，就是服务人员啊，表情和其它家相比，真是淡漠了点~~~', 'star': 5}
{'descr': '似乎是新开不久的店，所以卫生状况很是满意，小而温馨，暖气很热，不用开空调也不觉得冷。。。隔音是这类酒店永远的软肋，没有办法。。。唯一的不满是我们订的商务大床房，结果给的是无窗的特惠房~~~不知道酒店方面接待人员是怎么看的？？？？？？', 'star': 5}
{'descr': '很不错的酒店！就是不提供早餐。望细节方面做的更细', 'star': 5}
{'descr': '就是快捷酒店的标准，卫生干净，周边吃饭很方便，可以', 'star': 5}
{'descr': '酒店挺干净，但隔音效果不是很好，服务不错，因为不是市中心，周边配套较一般', 'star': 5}
{'descr': '从广州到太原，冷得要命！地方比较难找，貌似有点偏僻。服务员有点小冷漠啊，问问题爱理不理的！安排了一个没有窗户的房间，感觉很温馨，也很干净，就是好小好小的！凑合住吧...', 'star': 5}
{'descr': '酒店很干净,服务员客气周到,很有家的感觉。', 'star': 3}
{'descr': '整体蛮好的 就是隔音差点', 'star': 3}
{'descr': '非常干净，服务也好，推荐！离它不远的地方有个“君子饭庄”，非常好吃！', 'star': 5}
{'descr': '比较舒适，但服务一般吧，客气客气客气客气', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '地理位置比较方便，环境还可以。交通也比较便利', 'star': 5}
{'descr': '很方便。而且屋子也很大。屋子隔音效果很好。值得推荐给大家。', 'star': 5}
{'descr': '可以', 'star': 3}
{'descr': '一般般 .第一晚因房间隔音很差   几乎没睡 ,第二天换了一间房.前台办理退房速度很慢.被子枕头挺舒服.', 'star': 3}
{'descr': '环境不错就是洗澡的热水不太热.', 'star': 3}
{'descr': '不错，房间虽小但是干净卫生，环境好，交通也方便，推荐入住', 'star': 5}
{'descr': '该酒店干净，卫生，服务好，设施人性化，值得推荐。', 'star': 5}
{'descr': '房屋干净、设施实用、价格实惠。早餐很不错！', 'star': 5}
{'descr': '酒店设施比较新，一切都还不错，楼道的卫生很好，浴室及毛巾都干净整洁', 'star': 5}
{'descr': '还行不错，服务呀，房间呀都挺好的。没啥不满意的地方', 'star': 5}
{'descr': '不错啊，干净  舒服 ， 设备都是新的， 服务也到位。', 'star': 5}
{'descr': '感觉很温馨，很满意', 'star': 3}
