{'短评内容': '还不错的说', '短评打分': 4}
{'短评内容': '靠近华山医院，挺方便的', '短评打分': 5}
{'短评内容': '比较安静', '短评打分': 5}
{'短评内容': '公公华山医院看病，就近找了家性价比比较高的酒店，人不多，房间设施比较旧，但还算干净，就是换床睡不习惯', '短评打分': 5}
{'短评内容': '经济，实惠，很不错！', '短评打分': 5}
{'短评内容': '总体挺好的 就是底下信号很差 wifi也很差 这个价格也算可以了', '短评打分': 4}
{'短评内容': '还可以吧，性价比一般', '短评打分': 4}
{'短评内容': '真是合算', '短评打分': 4}
{'短评内容': '住地下的，卫生间味道重房间还算宽敞，服务还可以。在上海寸土寸金的地方，这个价格能有这样条件已经不算太差了', '短评打分': 4}
{'短评内容': '酒店比较便宜，交通方便，尽管房间设施略微老旧，但是这个价位能定到这样交通方便的房子不错了，发票也可以正常开具。', '短评打分': 3}
{'短评内容': 'i had a bad experience there. there was no people can speak English. room condition also bad. the only good thing is wifi speed that most of the time was stable.', '短评打分': 1}
{'短评内容': '灯光太暗，其他一般', '短评打分': 3}
{'短评内容': '网络可以忽略，得自己想办法', '短评打分': 4}
{'短评内容': '便宜，交通方便，安静，还行！！。', '短评打分': 4}
{'短评内容': '还行，在上海很便宜，也很安群。', '短评打分': 4}
{'短评内容': 'The hotel was decent. It could have been better. Typical Chinese smell in the rooms ', '短评打分': 4}
{'短评内容': '入住198元的房间还行，卫生条件一般，卫生间有小蟑螂，每天有人消毒，床还算干净，电视能收100多个台，', '短评打分': 5}
{'短评内容': '还不错，就靠着出差的地方，很方便，环境也不错，以后去上海出差都住那边……', '短评打分': 5}
{'短评内容': '这个酒店很实惠的，出行很方便。在上海市区能有这么便宜的酒店不可想象。', '短评打分': 5}
{'短评内容': '蛮不错的宾馆，服务态度好，服务员很亲切。下次考虑再来。', '短评打分': 5}
{'短评内容': '续定而已，不错', '短评打分': 3}
{'短评内容': '酒店还真的挺好，我以为半地下会潮，住进后一点都不潮。', '短评打分': 3}
{'短评内容': '不错，不过自己入住后觉得不错就又上网预订了几天，然后跟酒店前台说续费，不知道能返现不', '短评打分': 3}
{'短评内容': '离华山医院打个车起步价，房间刚进去有股霉味，不过开空调就好了，如果返现是是真的话，才100一晚，房间还比较干净', '短评打分': 3}
{'短评内容': '不错。交通便利，又居于小区内，确是个闹中取静的小宾馆。服务也还算周到。', '短评打分': 5}
{'短评内容': '挺好的 停车位充裕 服务态度良好 地理位置方便', '短评打分': 3}
{'短评内容': '性价比蛮高的，服务也不错，值得推荐。下一次还是会考虑入住。', '短评打分': 5}
{'短评内容': '床太小，卫生间太小，没有衣橱。空调不是很制冷，电视就8个台', '短评打分': 1}
{'短评内容': '卫生间小，太紧凑，其它一般。', '短评打分': 3}
{'短评内容': '服务热心亲切，性价比高。', '短评打分': 3}
{'短评内容': '地方倒不是特别难找，但是房间不算很干净，设备简陋。。。总体感觉很一般。。不推荐', '短评打分': 1}
{'短评内容': '＋环境还不错，服务态度也可以。。', '短评打分': 3}
{'短评内容': '今天来到延安宾馆入往，感觉还可以，我是云南的，房间里不开空调也挺暖的，如果在卫生间的布置上再改进一点，就更好了，总的来说挺实惠的。', '短评打分': 3}
{'短评内容': '大挺大，这个价格这么大，很不错了，就是没信号，电视也没几个台', '短评打分': 3}
{'短评内容': '总体感觉还蛮好的…地方难找了点…一楼房间有点霉味，望改进…', '短评打分': 3}
{'短评内容': '浓浓的消毒水味道~~~还真是挺销魂的呢~', '短评打分': 5}
