{'descr': '早餐很不错，酒店很容易找，有自带停车场', 'star': 5}
{'descr': '环境不错，干净整洁，服务态度很好！', 'star': 5}
{'descr': '好评。下次来出差还是考虑住在这。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '还可以吧，就是烧水壶，要洗洗', 'star': 5}
{'descr': '一般的', 'star': 3}
{'descr': '房间还不错，服务员很热情，设施不错', 'star': 4}
{'descr': '酒店一般，门外塞了一晚小卡片', 'star': 2}
{'descr': '酒店地址好，前台服务热情，卫生工作很好，下次还会入住。', 'star': 5}
{'descr': '停车场大方便停车，环境优。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '环境一般，价格一般，网络信号很差！', 'star': 4}
{'descr': '挺好。。。。。。。。。。。。', 'star': 3}
{'descr': '一楼房间一般，国庆涨价。', 'star': 3}
{'descr': ' 外面看去很旧  地理位置也一般  不过里面的设施   卫生都还不错 这个价格  也值', 'star': 3}
{'descr': '＋还行', 'star': 3}
{'descr': '环境与其他格林店比，要差的比较多，设施比较旧，如果有办法，那就换个店吧', 'star': 1}
{'descr': '环境还可以。', 'star': 3}
{'descr': ' 入住，还好', 'star': 3}
{'descr': '设施陈旧，环境感觉不是很好，洗手间洗澡的莲蓬头竟然是坏的', 'star': 1}
{'descr': '呵呵，环境还好的哇，我觉得整体不错，只是前台女服务员不是很给力哦', 'star': 5}
{'descr': '性价比很高,服务态度也不错,就是卫生间冒臭气,本来准备住三天,但是不得不考虑搬家了,估计卫生间的排水系统没有做好', 'star': 1}
{'descr': '早餐不怎么样。酒店位置还可以。枕头只有一个，不能接受。', 'star': 5}
{'descr': '非常干净整洁，位置距离淹城动物园大约4公里，离高速出口也不远，可以说性价比极高。早饭建议直接去旁边肯德基吃', 'star': 5}
{'descr': '很干净 周边吃饭也比较方便 离市区稍微远些 ', 'star': 5}
{'descr': '客户已入住，房间比较干净，一般住住还挺好的。性价比还挺高的。', 'star': 3}
{'descr': '客户已入住', 'star': 5}
{'descr': '环境一般，没有如家的好！', 'star': 5}
{'descr': '很好很好很好的酒店很好很好很好的酒店很好很好很好的酒店', 'star': 3}
{'descr': '酒店的条件还可以.因为是连锁酒店所以各方面要求也不能很高,不过住得挺舒服的.', 'star': 5}
{'descr': '位置很好', 'star': 5}
{'descr': '环境一般，前台服务意识不是很强，吹风机一定要下楼拿，很多酒店都是送上来的。主要是地段离我要去的很近，给个好评吧，但是不会推荐住。信用卡不能押金，这就不正规了', 'star': 1}
{'descr': '房间里卫生打扫的挺干净，服务也蛮周到的，住的还比较满意。', 'star': 5}
{'descr': '酒店还不错，价格挺公道的，比较经济实惠，适合大众。', 'star': 5}
{'descr': '没啥感觉，随便住住', 'star': 1}
{'descr': '没啥感觉，随便住住', 'star': 1}
{'descr': '酒店的前台非常业余，竟然还不能用信用卡预授权！！！', 'star': 1}
{'descr': '酒店的前台非常业余，竟然还不能用信用卡预授权！！！', 'star': 1}
{'descr': '卫生和设施都还好和其他的格林豪泰都差不多，离市中心还是有些远了酒店附近也是挺冷清的，而且前台的服务员不是很好，好好的和她们说话吧态度稍微一些强硬而且也是很冷淡的那种语气，房间的地板也是挺不敢恭维卫生打扫也不是很干净细节上面做的确实不是很好，如果下次我肯定是不会去了。', 'star': 1}
{'descr': '卫生和设施都还好和其他的格林豪泰都差不多，离市中心还是有些远了酒店附近也是挺冷清的，而且前台的服务员不是很好，好好的和她们说话吧态度稍微一些强硬而且也是很冷淡的那种语气，房间的地板也是挺不敢恭维卫生打扫也不是很干净细节上面做的确实不是很好，如果下次我肯定是不会去了。', 'star': 1}
{'descr': '酒店的服务卫生方便还不错，价格也比较公道，住的还比较满意。', 'star': 5}
{'descr': '酒店的服务卫生方便还不错，价格也比较公道，住的还比较满意。', 'star': 5}
