{'短评内容': '家庭式旅馆，设施陈旧，被褥霉味刺鼻。下次不会再光顾了。', '短评打分': 3}
{'短评内容': '位置方便，交通便利，购物方便，里海不远，有蟑螂，就是卫生需要加强。', '短评打分': 3}
{'短评内容': '酒店价格不高，位置也不错，对面就是临春河，但是房间的设施太老旧了，空调声音大，电视信号不好，卫生间的风扇呜呜响', '短评打分': 4}
{'短评内容': '酒店周围交通方便，对面有公园，旁边有小吃街和餐厅，很方便，老板人好', '短评打分': 4}
{'短评内容': '来看看斤斤计较斤斤计较斤斤计较', '短评打分': 3}
{'短评内容': '市中心商业街！毗邻临春河，出行方便！', '短评打分': 3}
{'短评内容': '酒店一半，比较老，，环境还不做，吃的地方多', '短评打分': 3}
{'短评内容': '环境不错，价格实惠，', '短评打分': 3}
{'短评内容': '环境不错，价格实惠。', '短评打分': 3}
{'短评内容': '相当不错......', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 5}
