{'短评内容': '周围环境不错，酒店太老了，应该装修了', '短评打分': 5}
{'短评内容': '酒店干净 位置很好 走路到海边5-10分钟 只是周围没有餐馆 吃饭不太方便 只能去碧海蓝天吃 种类也不多', '短评打分': 5}
{'短评内容': '早餐还可以，适合一家出游，旁边就是浴场', '短评打分': 3}
{'短评内容': '早餐就是碧海蓝天度假村的餐厅，能吃饱。酒店跟海蓝云天在同一个院子里，环境不错，非常适合带孩子。停车位充足。房间里没有什么设施，满足基本住宿需求，毕竟不是星级酒店。不知道能不能加床，需要打电话问一下前台。', '短评打分': 4}
{'短评内容': '酒店房间比较大，床不是太舒服，被褥有点潮湿，早餐非常简单，不过酒店位置比较好，晚上睡觉很安静，整个酒店都是一个个小别墅，总体来说性价比还可以！', '短评打分': 4}
{'短评内容': '很好的啊，不错的度假村，很不错啊，嗯嗯。', '短评打分': 5}
{'短评内容': '到一杯澜很近', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '是个别墅区，离海较近，走路就可以过去，院子里停车方便，适合自驾游。吃饭可以去碧海蓝天的餐厅。一层的房间比较潮，下水道有些返味。没有烧开水的壶，喝桶装水，刷牙时发现龙头里的水有咸味。另外，一定要注意自己打开热水器。', '短评打分': 4}
{'短评内容': '很好，不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '离沙滩稍远，房间有点旧，当然价格还不错', '短评打分': 4}
{'短评内容': '环境很好，因为不是旺季人也不多，住过很多次', '短评打分': 5}
{'短评内容': '喜欢这里，远离城市，人不是很多，很适合喜欢安静的人，每年都来这里度假休闲', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比不错  只是房间里没有桌子椅子  太不方便了。服务台离的较远', '短评打分': 5}
{'短评内容': '环境不错，吃饭不方便，离海很近，晚饭后可在沙滩上散步，不过。', '短评打分': 3}
{'短评内容': '住的上下套间，宾馆不远处是一个小的浴场，老板给介绍一个出租车，全程接送只是离火车站比较远。', '短评打分': 3}
{'短评内容': '服务态度很好 我们到那边很晚了前台人员还帮我们供应热水 带路 住的也很舒服 环境很安排 屋子也很干净 ', '短评打分': 5}
{'短评内容': '不错的度假村，都是别墅房间，非常适合大家庭或是单位旅游，我们是单位集体去的，住的非常舒服，玩得非常开心，离海边很近，早上可以去海边检贝壳，感觉非常好，肯定会推荐的。', '短评打分': 5}
{'短评内容': '这个酒店还是很不错的，从08年开始，住了好几年了，几乎每年来南戴河北戴河都要在这里住上几天，性价比还是相当高的。', '短评打分': 5}
{'短评内容': '酒店比较偏,离海不太远,但是现在海边还在施工,这里的海太脏了,海里有砖头,有木屑,还有生活垃圾,很遗憾没下成海.从酒店到海边的路有很多蚊子.酒店还是不错的,如果店家每天的清扫不止是倒倒垃圾,能在全面一些,比如擦擦地,每天换换毛巾就好了.', '短评打分': 5}
{'短评内容': '比08年去的时候好多了。建议可以就在里边的饭店吃饭，价格公道量挺大。就是人挺多', '短评打分': 5}
{'短评内容': '这条说说位置吧，距离南戴河市区5公里，有车的话还是挺方便的，也很好找\n距离黄金海岸也不远，话说回来，本身北戴河地区就不算大\n这里号称有个私属海滩，但也就是个野沙滩，没人负责安全和卫生，扎帐篷什么的倒是有人过来收费，而且不让放孔明灯，说是有领导人在附近度假，禁止放孔明灯\n傍晚我们去的时候，发现竟然有污水排向大海，整个海滩都是臭的，海水都是黑的，够恶心，好在那会儿也没人下海', '短评打分': 5}
{'短评内容': '订的复式间很不满意，比2个标间的面积小太多了\n楼上放的是一张小双人床，没有电视，没有椅子，倒是有个挺大的露台，但是空空的什么都没有\n楼下是2个单人床，一个小电视\n上下楼都有洗手间，都是电热水器洗澡', '短评打分': 5}
{'短评内容': '补充几点，一共订了5间，其中2个标间最后给安排的是三人间，三张床并排在一起，很是宽敞，还有个挺大的操作台，带上下水\n房间内有桶装水，饮水机烧开后喝的，没发现问题，小孩还是喝的自己带的农夫山泉瓶装水', '短评打分': 5}
