{'短评内容': '还可以，位置偏了些', '短评打分': 4}
{'短评内容': '还可以哦 房间卫生和外面的卫生都还可以。就是靠窗的话有一点吵 其它的都还可以。出行也比较方便。前台热情一点就更好了', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '二楼有点吵，其他还好', '短评打分': 4}
{'短评内容': '评价个屁，我就没住图片上谢酒店，怎么提醒我评价？', '短评打分': 1}
{'短评内容': '什么都好可以将就', '短评打分': 5}
{'短评内容': '房间卫生不错，挺温馨的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '出差经常住，环境好，安静，性价比高，服务热情专业，有停车位，交通很方便，离繁华地段也非常的近，推荐？', '短评打分': 5}
{'短评内容': '出差经常住，环境好，安静，性价比高，服务热情专业，有停车位，交通很方便，离繁华地段也非常的近，推荐？', '短评打分': 5}
{'短评内容': '酒店交通便利，房间干净舒适，性价比高。', '短评打分': 4}
{'短评内容': '典型的商务酒店，就这样的。不好也不坏，还算不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以，要求不高可以入住', '短评打分': 4}
{'短评内容': '?? 好', '短评打分': 5}
