{'短评内容': '016环境优雅', '短评打分': 5}
{'短评内容': '203服务很好', '短评打分': 5}
{'短评内容': '从新装修过了，环境不错，性价比高，给工号023的前台服务态度一个赞！', '短评打分': 5}
{'短评内容': '背后就是学校，还好', '短评打分': 4}
{'短评内容': '没有早餐，中午楼梯那里装修，昨天订的是88，打电话问前台可以续住吗，续多少钱。前台说也是88入住，但是晚上去续就说没有这个价格。', '短评打分': 4}
{'短评内容': '改可以，挺不错的，就是网络慢了点', '短评打分': 5}
{'短评内容': '我太爱这里了下次出差还住这里', '短评打分': 5}
{'短评内容': '哈', '短评打分': 5}
{'短评内容': '房间干净整洁～隔音效果一般！', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '房间环境不怎么样', '短评打分': 2}
{'短评内容': '还行 就是测试冲水一次冲不下去 Wi-Fi信号很差', '短评打分': 5}
{'短评内容': '还行 就是测试冲水一次冲不下去 Wi-Fi信号很差', '短评打分': 5}
{'短评内容': '出差住，经济实惠。只是这次住的房间不知怎的卫生间有异味。', '短评打分': 5}
{'短评内容': '商务没啥说的，挺干净，后面是学校，也不吵，临街的房间就够呛了', '短评打分': 4}
{'短评内容': '位置还算不错，房间卫生一般，不过这个价格还行。', '短评打分': 4}
{'短评内容': '马马虎虎，隔音太差，隔壁房间走路声清晰入耳，房内设施又破又脏', '短评打分': 2}
{'短评内容': '不理想', '短评打分': 2}
{'短评内容': '1.因小孩较多（带了3个）想多要一床被子都不给。\n2.网上订的价格128元，怎么店里一定要收138元呢？搞不懂？', '短评打分': 1}
{'短评内容': '#環境還行，可是沒有電腦不能上網', '短评打分': 3}
{'短评内容': '快8酒店很卫生，好！服务也可以，以后来深圳还住这里。', '短评打分': 5}
