{'短评内容': '环境不错，，，，，，，，', '短评打分': 5}
{'短评内容': '房间比较大，就是设施稍微陈旧了点，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好的……位置优越……', '短评打分': 5}
{'短评内容': '床太差了不如快捷酒店', '短评打分': 5}
{'短评内容': '住了好几天，还不错。', '短评打分': 5}
{'短评内容': '靠道路边声音大', '短评打分': 5}
{'短评内容': '孩子美术联考离四中考点近，生活便捷，性价比高', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '都很不错的', '短评打分': 5}
{'短评内容': '很棒，感觉非常棒，下次还会再来的', '短评打分': 5}
{'短评内容': '地段好....................', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 4}
{'短评内容': '价格偏高一点，酒店靠路边，不是很安静', '短评打分': 3}
{'短评内容': '卫生很差，噪音很大，这是实话！', '短评打分': 1}
{'短评内容': '周围在修地铁，离宝龙和万象城很近', '短评打分': 4}
{'短评内容': '周围在修地铁，离宝龙和万象城很近', '短评打分': 4}
