{'短评内容': '出差预定还可以', '短评打分': 4}
{'短评内容': '酒店卫生不错，设施齐全，王国良，袁圆服务周到', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务很好，房间干净', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '每次出差都住这里，很满意。干净卫生，服务也还热情。', '短评打分': 5}
{'短评内容': '每次出差都住这里，还是挺满意的。京东的价格也还可以。', '短评打分': 5}
{'短评内容': '房间大设施新，浴巾毛巾也都很新很干净，最好的是空调很安静。早餐种类丰富，早上座位略微紧张。价格比较实惠，适合商旅出差。靠高架的客房可能会有点吵。', '短评打分': 5}
{'短评内容': '好，房间卫生干净，设施比较完善，酒店服务好。周边配套环境不错……', '短评打分': 5}
{'短评内容': '价格实惠,服务好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '总体还行，房间有点老了', '短评打分': 5}
{'短评内容': '房间设施挺新，干净卫生。周围环境挺好，早餐有待改进', '短评打分': 5}
{'短评内容': '早餐欠丰盛，其他都还好', '短评打分': 5}
{'短评内容': '比较满意，还会来', '短评打分': 5}
{'短评内容': '早餐卷两张不小心掉了，早上希望能给补一张结果被拒绝了，只好饿着肚子退房出发，夜里很吵，墙壁太单薄了隔音效果不好，楼下唱歌都听的清清楚楚，被吵醒好几次，住过多次了，设施陈旧，以后不会在入……', '短评打分': 3}
{'短评内容': '服务好，环境还可以，适合商务出差', '短评打分': 5}
{'短评内容': '酒店设施新，房间干净，地理位置闹中取静，很好', '短评打分': 5}
{'短评内容': '房间不错，早餐不满意，九点就收了。最夸张的是，有天早上正好碰到旅行团，八点多就什么早餐都没了，也没加，只好出去吃。但就只碰到过一次。', '短评打分': 5}
{'短评内容': '还不错，就是隔音差点，半夜里居然隔壁电视机声音仍然震天响。', '短评打分': 5}
{'短评内容': '装修不错，看上去干净整洁，只是隔音太差，要碰运气，看隔壁住客电视机声音大小', '短评打分': 5}
{'短评内容': ' 还不错吧 酒店环境可以', '短评打分': 3}
{'短评内容': '常住的酒店。就是打车不是很方便，其他都不错。', '短评打分': 5}
{'短评内容': '房间很大 布置很有感觉 就是位置有点偏  总体很棒', '短评打分': 5}
{'短评内容': '酒店很干净,房间感觉很好,楼下西餐厅也很不错的,价格也比较实惠~', '短评打分': 5}
{'短评内容': '经常入住该酒店，上月开始提价，但早餐没有改进。', '短评打分': 5}
{'短评内容': '房间的性价比还是很高的。虽然隔音效果不是很好，但是房间的设施设备还是达到4星的标准！酒店有点偏但是里宁波的市中心也就10分钟的车程，所以还是很方便的。就是早餐需要提高，还不如锦江之心的早餐。。。', '短评打分': 5}
{'短评内容': '价格非常实惠，好，值得推荐。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '有点偏僻，附近都没吃饭的餐馆，房间里就有电脑', '短评打分': 5}
{'短评内容': '涨价了。从此失去了性价比。这价位不如住丽兹酒店了。附近的天港的早餐要胜过真和几倍。', '短评打分': 1}
{'短评内容': '离汽车站挺近的，打的起步费。环境还不错，就是房间里的洗脸台在卧室里没分开，有的别扭。', '短评打分': 5}
{'短评内容': '房间设施好~ 以后还会住。。。。。。。。', '短评打分': 5}
{'短评内容': '这个酒店不喜欢，以后不会住了。房间不舒服。', '短评打分': 1}
{'短评内容': '其他都不错,就是打车不方便,然后洗手间马桶真心不是很干净,有洁癖的慎重,我拿毛巾沾水擦了 还是感觉粘乎乎的.', '短评打分': 5}
{'短评内容': '我已经是第二次入住了，早餐还算可以的，房间还是一如既往的干净满意。', '短评打分': 5}
{'短评内容': '卫生间能再臭一点吗？？麻烦打扫干净一点。', '短评打分': 5}
{'短评内容': '2~3星的價格 , 4~5星的房間 , 我喜歡這酒店 . 硬要批評只能說早餐可再加強(吐司麵包好像大理石硬) , 叫出租車不方便 , 空調較弱 . 其他都不錯 . ', '短评打分': 5}
{'短评内容': '酒店很新，房间很大，2面都是落地玻璃墙，早餐也不错，网速也很给力，总体来说这家酒店值得推荐。。。绝对的实力派。', '短评打分': 5}
{'短评内容': '环境挺好的，很安静，服务也很好，这个价格的性价比很高了。就是周围吃东西的地方不多，不过酒店楼下就有，也能解决了！', '短评打分': 5}
{'短评内容': '相当不错的酒店，干净、有档次、内部设计有新意、地下停车场非常方便、价格也蛮划算的。地处繁华商圈，下次一定还会光顾。', '短评打分': 5}
{'短评内容': '还不错,价格合适，房间也很大，就是早上有装修的声音', '短评打分': 5}
{'短评内容': 'nor problem everything was great', '短评打分': 3}
