{'短评内容': '哈哈...', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错不错不错不错不错的一个地方可以的不错的好地方好好好好好好好好的好好好好好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '好！！！！！！！！！', '短评打分': 5}
{'短评内容': '一直以来都是支持如家酒店的，酒店房间的卫生和服务态度都比较好，但这家的一楼通道中间有个卫生间，有点异味。', '短评打分': 5}
{'短评内容': '一直以来都是支持如家酒店的，酒店房间的卫生和服务态度都比较好，但这家的一楼通道中间有个卫生间，有点异味。', '短评打分': 5}
{'短评内容': '没有在哪吃早餐，其他还算可以', '短评打分': 5}
{'短评内容': '还可以呀！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很满意！价钱便宜！', '短评打分': 5}
{'短评内容': '有点 0一般般吧！住了才知道', '短评打分': 5}
{'短评内容': '都还比较满意，就是电视太小了点', '短评打分': 5}
{'短评内容': '还不错。。。。。。？。。。。。。。。。。。。。。？。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一直住如家，很好', '短评打分': 5}
{'短评内容': '环境不错，位置也好', '短评打分': 4}
{'短评内容': '我订的是两晚的大床房，去到却说只剩最后一间大床房但是有柱子，要给我们换标准间，我们还在考虑但一直没有肯定的时候就给我们换了，去到房间才反应过来，第二天也没有给我们换回大床房。第二晚房卡还有点问题，走上走下换了一张也开不了门，最后是工作人员的房卡才能打开', '短评打分': 2}
{'短评内容': '服务特别好没得挑！就是房间应该装修了，不然我都怕好像是我弄坏了！隔音一般般～因为靠近市区，附近很多吃的，靠近七星岩可以去那里逛逛！也有很多好玩的', '短评打分': 4}
{'短评内容': '交通非常方便', '短评打分': 5}
{'短评内容': '在老城区中心。。。价格便宜。。。卫生可以，隔音一般。。。早餐也一般。。。附近比较旺。。。还是值得再去的', '短评打分': 4}
{'短评内容': '还可以啦，交通不错', '短评打分': 3}
{'短评内容': '酒店位置很好，距离七星岩很近，周边都是商业区，餐饮购物都十分方便，房间不算大，但卫生还是不错的，早餐也还行吧，但网速就一般了', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '服务周到，还提供早餐，不错。', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '很快很便利，也比外面便宜很多', '短评打分': 5}
{'短评内容': '地理位置还好。只是房间内的隔音不是好好。关上门后。路过的人门口说话里面都清楚听到', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，门口就是车站，房间干净，宽带网速一流！就是电视机小了点。', '短评打分': 5}
{'短评内容': '地理位置很好，性价比也高。交通十分方便，离购物中心和汽车站都很近。由于空间比较小，空调是直接对着床的，这一点是唯一不满意的地方。', '短评打分': 5}
{'短评内容': '挺好挺好！离七星牌坊广场很近，走过去就行了，除了房间小一点点！卫生很好，毛巾干净！还有饮水机！数字电视！可是不知道怎么一开始看不了电视！叫服务员也没能搞掂！最后生气了！一拉开电视台！才知道底下的线掉了！气死人！还有隔壁街道那个店很嘈！早上六七点就大声播放“九块九！全部九块九！”烦死了！真想去拆了它！其他都不错', '短评打分': 3}
{'短评内容': '位置不错，在市中心，交通方便，干净卫生。', '短评打分': 5}
{'短评内容': '其他还OK。唯一的就是在那里睡了一天晚上，起来看到了10来张的卡片。希望整改一下。', '短评打分': 5}
{'短评内容': '卡片酒店！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '也挺干净的！但是我订了两天，只是记了一天的积分！抠门！！？', '短评打分': 5}
{'短评内容': '无数卡片飞进来！房间不大，早餐还好！！！！！！！！', '短评打分': 5}
{'短评内容': '性价比高，满意！', '短评打分': 3}
{'短评内容': '一进门感觉很好很温馨。房间设施都挺不错，也很干净。不过被子有点薄，如果入住的话要早点多要被子。', '短评打分': 3}
{'短评内容': ' 非常多的卡片！', '短评打分': 3}
{'短评内容': '坏境还好,但是洗头了才告诉你没有电吹风,神经病阿 夜深你叫人湿着头怎样睡阿!!', '短评打分': 1}
{'短评内容': ' 环境不错\n价格偏贵', '短评打分': 3}
{'短评内容': '还不错很方便,下次还可以再来,这已经是第二年住了', '短评打分': 5}
{'短评内容': '酒店环境很好，里面配置齐全，色调温馨。', '短评打分': 3}
{'短评内容': '还可以吧~就是订的晚了点，所以贵了点感觉', '短评打分': 5}
{'短评内容': '去肇庆玩了一天，最满意的就是住宿了，鼎湖山也令人失望……', '短评打分': 5}
{'短评内容': '酒店价格还可以（要是便宜一点更好，呵呵~），环境很不错。', '短评打分': 5}
{'短评内容': '服务差，前台素质有待提高。对如家领导很失望。', '短评打分': 1}
{'短评内容': '不错，还会在来。住了两天。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，如家快捷的环境很久好！设施比较齐全', '短评打分': 3}
{'短评内容': '温馨舒服的店，不错！', '短评打分': 3}
{'短评内容': '闹市区，门牌有点不好早，但其他符合如家的标准', '短评打分': 5}
{'短评内容': '房间风景不错。而且挺干净舒服的。服务也不错。 交通方便。除了没有wifi其他我都是灰常满意的', '短评打分': 5}
{'短评内容': '位置很方便，房间干净卫生，经济实惠，不错。', '短评打分': 5}
{'短评内容': '颜色布局有家的感觉，不错！', '短评打分': 3}
{'短评内容': '不错的环境，卫生还可以…', '短评打分': 3}
{'短评内容': '经济型酒店嘛，差不多那样子的。就是价格比七天贵了点。假如价格可以与七天靠拢那就更多人选择如家了。', '短评打分': 5}
{'短评内容': '房间卫生好，但小了点，爬到桌子才能开窗子。', '短评打分': 3}
{'短评内容': '房间较小，只有一张凳，朋友来访很不方便接待，房间还算整洁！', '短评打分': 1}
{'短评内容': '在节日期间，酒店总体性价比还不错，只是标间的床稍微小了些。', '短评打分': 3}
{'短评内容': '房间的环境还不错。快捷酒店都差不多那个样子的啦。', '短评打分': 5}
{'短评内容': '肇庆很小，庆幸这里找到了如家，住的比较放心，起码卫生不错', '短评打分': 5}
{'短评内容': '服务员态度还不错，早餐性价比比较高。住的是大床房，但房间面积太小了，而且楼道很窄，房间不隔音。最主要的是总有人从门底下塞服务小姐卡片，遭遇了几次陌生人敲门。', '短评打分': 1}
{'短评内容': '这酒店还不错', '短评打分': 3}
{'短评内容': '9酒店挺干净，但没有多少停车位，才几个，订的商务房挺小间。', '短评打分': 3}
{'短评内容': '酒店环境不错，比较干净。以后还会再去的。。。', '短评打分': 5}
{'短评内容': '很干净，很新，给95分吧。我们自己带了所有的洗漱用品，没有用里面的毛巾和拖鞋，支持环保吧。', '短评打分': 5}
{'短评内容': '交通比较方便，酒店的设施也是不错的，服务态度也还不错。', '短评打分': 5}
{'短评内容': '这间酒店不错，简洁温馨！蛮喜欢它居室中的色调搭配！', '短评打分': 5}
{'短评内容': '服务态度一般般，房间空间小。坏境还算可以，比较干净。', '短评打分': 1}
{'短评内容': '环境还可以。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间空间太小，设备有问题，也不能换房。下次也不会住这里。有点吵。这样的服务真失望。', '短评打分': 1}
{'短评内容': '酒店还行比较整洁，也在闹市区，出门逛街很方便，但是酒店内的吹风筒太少了，还要去前台借，很不方便，建议每个房间准备一个吹风筒，现在很多酒店都这样了，而且饮水机里面的水也过期了，实在不敢喝。我住的房间饮水机上标识的是2011年6月1日的水，保质期写的是十五天，也就是说6月15日到期，但是我去的时候已经是6月18日了。这个是不是有点太。。。。好歹如家也是全国连锁的酒店啊，怎么会这样子呢。匪夷所思。', '短评打分': 5}
{'短评内容': '地理位置不错,房间的环境也不错,就是房间有点偏小,不过感觉还是很温馨的.', '短评打分': 5}
{'短评内容': '环境还可以，周围的交通也方便，到景点的距离也不算远', '短评打分': 5}
{'短评内容': '不错，地理位置和环境都可以.价格也很合适', '短评打分': 5}
{'短评内容': '位置十分很好, 但房間較略小, 不過都是理想選擇之一', '短评打分': 5}
{'短评内容': '房间有点紧凑，建议洗手间配有吹风机会更好。处于闹市区方便交通出行逛街。', '短评打分': 5}
{'短评内容': ' 环境可以', '短评打分': 3}
{'短评内容': '还好吧，服务员的态度很好，还有早餐吃，真的很方便', '短评打分': 5}
{'短评内容': '位置不錯，處于鬧市中，房間可以。但房間內不配有吹水機，有點不方便。淋浴用拉簾不喜歡，水一樣從浴簾底灑到外，濕瀝瀝的！衛生紙很粗糙！', '短评打分': 5}
{'短评内容': '有家居的感觉', '短评打分': 3}
{'短评内容': '有点小窝的感觉,环境不错', '短评打分': 3}
{'短评内容': '  一般吧，还行', '短评打分': 3}
{'短评内容': '一如继让的 简单 干净  喜欢 以后还会住', '短评打分': 5}
{'短评内容': '服务不错，早餐满意。就是价位比起附近同档次偏高。', '短评打分': 5}
{'短评内容': '挺好的 服务也8错 环境也好 出来吃东西很方便', '短评打分': 5}
{'短评内容': '干净卫生，位置很好，吃和逛街都很方便。不过我们订的商务大床房间是有点小。', '短评打分': 5}
{'短评内容': '\n酒店位置好，步行可达宋城、七星岩，附近商店、餐馆林立；服务态度好；店前有停车位；早餐可口。房间较小。', '短评打分': 5}
{'短评内容': '房间小了点，不过如家真的很温馨的感觉，在市中心，很方便。', '短评打分': 3}
{'短评内容': '一如既往的如家风格，很温馨。不错的酒店。在市中心，周围很热闹。', '短评打分': 5}
{'短评内容': '房间好小，设施一般。不过交通方便。感觉性价比不高。', '短评打分': 1}
{'短评内容': '酒店挺好，服务人员办事效率挺高，房间干净整洁，住的还是挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的价格挺合适的，环境也不错，整洁舒适，设施也完善，住的挺舒适的。', '短评打分': 5}
{'短评内容': '房间卫生很好，没什么味道，设施简单实用，酒店离七星岩挺近，步行就可以到。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面都挺好，价格也不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '房间里颜色搭配的很好，感觉挺温馨的，床单被子也很干净，用的很放心。', '短评打分': 5}
{'短评内容': '房间不是很宽敞，但是很干净，布置也很合理，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行挺方便，内部环境也不错，挺干净的，设施基本齐全，我觉得值得推荐。', '短评打分': 5}
{'短评内容': '酒店的服务挺好，随较随到，办事挺利索的，这点很满意。', '短评打分': 5}
{'短评内容': '房间里通风不错，配备的硬件设施也不错，打扫也挺干净的。', '短评打分': 5}
{'短评内容': '房间格局挺合理的，颜色搭配的挺协调，感觉很清新，卫生也很好，住起来有种家的感觉。', '短评打分': 5}
