{'短评内容': '房间不错。就感觉床单没换过。房间味道很大', '短评打分': 5}
{'短评内容': '酒店前台服务态度差，退房时候特别墨迹，来这里考试，想要中午一点退房，延长一个小时按半天的房费算，再不就得退房重新开个小时房，真是服气了，住的圆床，床单滚了，下面的褥子脏就算了，还都是头发，冲着评分高才选这的，还这样，好评都刷出来的吧，真是不推荐', '短评打分': 1}
{'短评内容': '水温不太热 得多放一会儿 没有吹风机 空调是中央空调 不太热', '短评打分': 3}
{'短评内容': '稍微有点冷，前台态度很好，蛮不错的', '短评打分': 5}
{'短评内容': '已经入住，很满意！', '短评打分': 5}
{'短评内容': '距离松花江大桥很近，出城方便，紧挨着二环桥。价格稍贵，设施还好，毕竟装修有几年了，', '短评打分': 5}
{'短评内容': '距离市中心很近 但是晚上去中央大街不怎么容易打车 环境还可以 早餐差了点 没有如家汉庭早餐好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '我能说是个很不好的体验吗？房间冷的不行，关键是带着小孩子，真气人', '短评打分': 5}
{'短评内容': '好冷啊 其他没啥毛病 挺好', '短评打分': 5}
{'短评内容': '住的挺不错，挺好的，就是住会议室边有点吵的', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 4}
{'短评内容': '非常好！房间大，干净，设施全！价格通过携程预订也很优惠，交通也很方便。酒店服务也很好。酒店附近的公交线路也方便！', '短评打分': 5}
{'短评内容': '房间边上是会议室，好像赶上微商搞活动，晚上至少上百号人吧，太吵了，房间消毒水味道重，其他都挺好', '短评打分': 4}
{'短评内容': '挺好的价格便宜，看着还有点档次', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉酒店潮湿，有股味道。', '短评打分': 3}
{'短评内容': '不错，给个赞', '短评打分': 5}
{'短评内容': '总体还可以！', '短评打分': 3}
{'短评内容': '房间隔音不好、卫生一般、床特别不舒服、', '短评打分': 3}
{'短评内容': '设施，地理位置都不错，就是温馨房手机没有信号', '短评打分': 5}
{'短评内容': '环境很好 还赠送一顿双人早餐', '短评打分': 3}
