{'短评内容': '酒店离地铁站近 安静 附近有喝早茶的地方和日料店 挺好的                      ！', '短评打分': 5}
{'短评内容': '空气清新，环境不错很安静', '短评打分': 5}
{'短评内容': '房间很干净明亮，空气清新，环境不错，很安静。', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '离医院近', '短评打分': 5}
{'短评内容': '在市中心地带，干净卫生。周边吃饭的地方多，离地铁站几分钟', '短评打分': 5}
{'短评内容': '新装修，很安静。', '短评打分': 4}
{'短评内容': '闹中取静！', '短评打分': 4}
{'短评内容': '此家酒店已入住多次，只是这次入住的时候酒店已经全部重新装修过了，感觉焕然一新！连床上用品都是全新的！整体格局明亮又舒适！价格也还是一样的亲民！大大的赞！', '短评打分': 5}
{'短评内容': '第一次到这里来旅游，就选择在这家酒店住下了，不过真的挺满意，干净卫生，环境真的不错，既舒适又温馨，下次到这里 还会在住这里的。', '短评打分': 5}
{'短评内容': '酒店位于市中心，离地铁、公交站都很近，附近就是商业中心，吃饭购物都很方便。酒店性价比很高，工作人员态度很好。就是设施有些陈旧。', '短评打分': 4}
{'短评内容': '太差了，住过最差的，没有之一，全是蚊子', '短评打分': 2}
{'短评内容': '糟糕的环境 房间 设备 气味，不建议入住', '短评打分': 2}
{'短评内容': '遥控器，插座是坏的，免费水和纸巾也没有，马桶是坏的，床上全是毛发，床单很脏，只是为了就近住一晚，预料不会很好，但没想到这么差，还要268块单人房，实在对不起这价格。', '短评打分': 3}
{'短评内容': '交通方便，设备老旧，服务跟不上', '短评打分': 3}
{'短评内容': '在环市东路众多的高档酒店群中，能找到一家这么实惠的酒店实属不易，虽然门店小，但是房间面积却不吝啬，服务也很周到，设施也齐全，只是觉得应该重新装修了，墙壁有些旧。', '短评打分': 5}
{'短评内容': '挺好的，离我开会的地方很近，出行比较方便', '短评打分': 5}
{'短评内容': '外面环境挺好，环境挺优美的，可是里面的设施就一般般了，隔音效果很差。', '短评打分': 1}
{'短评内容': '酒店门脸很小，不太好找，不过位置不错，在小区里闹中取静。周边日本料理店，酒吧不少，喜欢夜生活的朋友很合适。不过房间陈设有些陈旧了，卫生一般，尤其壁挂的电视和机顶盒线都是裸露在外的很乱。晚上我竟然在房间的墙上看到了壁虎，不过我对可爱的小动物不排斥，哈哈，挺原生态的！', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '房间很静', '短评打分': 3}
{'短评内容': '我朋友住了此酒店，他告诉我以后来广州住此酒店很好，这是家闹中取静的酒店，安静，房间很干净，服务也很好。周围购物，餐饮很是方便。地铁四通八达。', '短评打分': 5}
{'短评内容': '刚到酒店门口吓了一跳，看上去就是像个招待所，没有大堂，酒店也和小很小，但进房间以后印象改观了，房间比我想象的要好很多，的确只考虑舒适性的化，性价比相当高。', '短评打分': 5}
{'短评内容': '交通方便，闹中取静，房间内比较宽敞。适宜以休息为主的客人住。大厅显得局促，电梯也小些。', '短评打分': 5}
{'短评内容': '，酒店位于繁华区，挺好找的，也很方便，喜欢夜生活的朋友们一定要选这里，对面有好多酒吧…酒店虽小，里面的设施挺全的，也很舒服…', '短评打分': 3}
{'短评内容': '比较一般的酒店，服务凑合，房间卫生还行，舒适度很一般', '短评打分': 3}
{'短评内容': '房间太小了设施也很一般连暖气都没有，位置的话还好，服务态度还可以，价格的话和酒店环境来比较不是太匹配。', '短评打分': 1}
{'短评内容': '服务员态度很好，十分有礼貌，房间硬件设施很齐全，环境蛮舒适的，位置不错，出行也方便', '短评打分': 5}
{'短评内容': '住宿环境还行，房间硬件比较齐全，服务一般，卫生条件好，下次还会考虑的', '短评打分': 5}
{'短评内容': '服务上很贴心，房间布置的挺温馨，设施也挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '很不满意，酒店如同旅馆，设备很旧，很差。遇到这个季节入住，房间里很冷而且空调没暖气。最郁闷的是受了所有罪之后，还没发票开。', '短评打分': 3}
{'短评内容': '酒店很好，干净卫生，设施齐全，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，挺干净，服务意识挺强，睡眠质量挺高。', '短评打分': 5}
