{'descr': '楼道卫生比较差', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '不错，很好，干净', 'star': 5}
{'descr': '还可以吧，条件不错。前台服务认真细致，住房干净安静，空气似乎有点闷，位置有点偏，不太好找，骑上膜拜单车非常方便。以后到北京继续住在这里，前台小哥非常好！', 'star': 5}
{'descr': '有停车场，', 'star': 5}
{'descr': '挺好，小區里。一大早有貓有小鳥有遛狗的老爺子。就是窗外沒有風景比較可惜。不過在北京一百多很值了。', 'star': 5}
{'descr': '周边环境好狠温馨舒适', 'star': 5}
{'descr': '很好！方便，干净！', 'star': 4}
{'descr': '还算凑合 中规中矩  没啥惊喜也没啥惊吓', 'star': 4}
{'descr': '服务好不错！好好好棒！', 'star': 5}
{'descr': '环境好，服务好，很赞', 'star': 5}
{'descr': '钱还没退给我八？', 'star': 5}
{'descr': '太麻烦，要什么留言，领导们一天天想啥，顾客哪有这么多时间！', 'star': 4}
{'descr': '总体挺好的，前台妹子很亲切，不足就是隔音不好，能听见流水的声音，夜里窗外总有人大喊大叫的', 'star': 5}
{'descr': '主要是离我目的地比较近', 'star': 5}
{'descr': '环境不错，比较舒服。', 'star': 5}
{'descr': '酒店房间比较小，但是位置很好，靠近地铁站。早上上学的娃娃比较吵', 'star': 5}
{'descr': '很舒适', 'star': 3}
{'descr': '交通算是蛮方便的，离市中心挺近的，总的来说不错', 'star': 5}
{'descr': '不错，干净卫生，是在小区里面的店铺，晚上可以吃些沿街的小吃，逛逛夜市，很方便的', 'star': 5}
{'descr': '还不错.比较方便.\n设施比较干净整洁.\n值得入住.', 'star': 5}
{'descr': '还好房间干净，服务热情，就是卫生间有点小，', 'star': 5}
{'descr': '环境很好。服务态度也很好', 'star': 3}
{'descr': '周边生活配套方便，服务周到，隔音好一点会更好\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', 'star': 5}
{'descr': '交通比较方便，条件不错，推荐哦。。。。。。。', 'star': 5}
{'descr': '昨晚成功入住,登记姓名乔垚,酒店环境好。', 'star': 3}
