{'短评内容': '晚上很吵', '短评打分': 3}
{'短评内容': '。。。。。不好', '短评打分': 1}
{'短评内容': '停车收费无语，哪怕一点点优惠都没！房间也是够简单，感觉就是乱！当然，随便住倒还是可以。如果一个人出行，就那里的五楼水疗好过酒店，而且免费停车！', '短评打分': 3}
{'短评内容': '位置十分便利，紧邻汽车站和火车站，出门就是罗湖口岸！就是设施旧了点！', '短评打分': 5}
{'短评内容': '感觉就像农村的招待所', '短评打分': 2}
{'短评内容': '宽敞明亮，干净孩生，下次还来住', '短评打分': 5}
{'短评内容': '离口岸很近，挺方便的', '短评打分': 5}
{'短评内容': '房间一般般，不过上楼就是罗湖口岸，非常方便。', '短评打分': 5}
{'短评内容': '酒店有点像快捷宾馆，设施很简陋，交通很方便，去罗湖商业街，去机场的大巴就在旁边', '短评打分': 4}
{'短评内容': '房间比较小，床也很小，其他都一般般吧', '短评打分': 4}
{'短评内容': '严重欺骗消费者，为了过关方便才找到这家，在网上定的房型价钱是酒店挂的豪华双床的房型，结果给我们住的是无窗的简陋的只能过一个人的特价房，由于太晚了不想再折腾就没找，第二天问前台希望他们道个歉，结果前台说网站的事跟他们没关系，还说不要看挂在网上的房间图片，是不一样的，这不是欺骗消费者吗，网上当时定的时候还显示返还41，结果携程也没有返。', '短评打分': 2}
{'短评内容': '房间太差了，地面桌子一层灰，晚上闹的要死！', '短评打分': 1}
{'短评内容': '酒店的被子睡的我一身痒，唯一的优点就是离罗湖口岸近', '短评打分': 3}
{'短评内容': '烂', '短评打分': 1}
{'短评内容': '地点不错，进关方便！房间有点小，但是价格也合理。', '短评打分': 4}
{'短评内容': 'location is good to approch the border. but, it is at west side of staion . not so eay to find out by first visiter. no restaurant and supermarket near the hotel. no shower booth in the bath room - qu', '短评打分': 3}
{'短评内容': '就是房间小了一点点，作为中转站十分不错，32个赞！特别前台大哥，各种热情！', '短评打分': 5}
{'短评内容': '有虫子，隔音很差，服务还好', '短评打分': 3}
{'短评内容': '房间很小，网线在床头上，网速超级慢，电视信号极差，位置好，还算干净，退房提醒不错', '短评打分': 3}
