{'短评内容': '哈哈哈好好好', '短评打分': 5}
{'短评内容': '还行吧，一般', '短评打分': 5}
{'短评内容': '感觉一般般', '短评打分': 4}
{'短评内容': '一般般，连吹风机都没有', '短评打分': 4}
{'短评内容': '很方便的地方，在水香街路口这里，附近吃的也多，超市也有，出行很方便，步行区盘蠡路地铁站大概10分钟左右。隔音效果一般，整体还是挺不错的。', '短评打分': 5}
{'短评内容': '一般般吧，看图了', '短评打分': 3}
{'短评内容': '绝对是人生中所住酒店最恶心的一次，我这个基本不给差评的人这次给一百分差评，现在半夜十二点，我们住的店卫生间门打不开了，急着上厕所，打电话让我上公厕，我答应了，结果半天没找到，打电话过去问能不能换房间，总不能大晚上都去公厕，结果这前台直接问我，你告诉我，你一晚上能上几次厕所，下去找她解决问题，前台比我还厉害，还扬言不怕我报警，不怕找他们领导，最后提出让我换房间就加钱，凭什么呀，大半夜的气死我了，上面', '短评打分': 2}
{'短评内容': '周边配套还不错，就是没有窗户，整体还不错！', '短评打分': 5}
{'短评内容': '空调效果不好', '短评打分': 4}
{'短评内容': '无窗房间，一股烟味，还不给换，设备陈旧', '短评打分': 3}
{'短评内容': '朋友来玩 给定的 还不错吧', '短评打分': 5}
{'短评内容': '还可以，就是有点吵，', '短评打分': 3}
{'短评内容': '房间无窗，临时住一晚上还是蛮好的', '短评打分': 4}
{'短评内容': '空间还是可以的。周边没啥地方玩就是离地铁近', '短评打分': 4}
{'短评内容': '不错，干净，市口也不错', '短评打分': 3}
