{'短评内容': '٩( ᐛ )و٩( ᐛ )و٩( ᐛ )و٩( ᐛ )و٩( ᐛ )و', '短评打分': 5}
{'短评内容': '住过最烂的酒店，没隔音，房间奇小无比，连矿泉水都沒有，空调尼玛就是拖拉机的。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还可以 价钱也合理公道', '短评打分': 5}
{'短评内容': '服务好，干净卫生，房间宽敞，', '短评打分': 5}
{'短评内容': '房间挺大的，环境还可以，出行交通方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '靠近路边太吵了 隔音效果也不好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间一般，交通方便。', '短评打分': 3}
{'短评内容': '酒店服务很好，就是房间卫生不怎么样', '短评打分': 4}
{'短评内容': '一次特想宝贝的旅程', '短评打分': 3}
{'短评内容': '本是在携程上订的东南大学边上的另一家酒店，因订满了，携程客服电话联系我，说帮我换这一家，想想也不远，价位也合适，就没有上网再查房间情况就同意了。可是入住时，前台服务很差，说携程并没有与他们联系过，后来好不容易住进去了，才发现是一家设施非常差的酒店， 根本不值198元，100元么差不多。浴室连浴帘都没有，毛巾黑呼呼的。最可怕的是房间一点不隔音，隔壁房间客人谈话听得一清二楚，直到24:00，隔壁房间客', '短评打分': 2}
