{'短评内容': '房间很干净，很舒服', '短评打分': 5}
{'短评内容': '不太好，因为位置比较偏僻，并且那里正在修路。', '短评打分': 3}
{'短评内容': '不好的:位置偏僻，订的是商务大床房，前台却给了我一个小房间&hellip;&hellip;等我发现了不妥后去询问前台的时候，她立马说她看错了，明摆着就是欺负老实人&hellip;&hellip;通风不够\n好的:房间干净', '短评打分': 3}
{'短评内容': '早餐太差了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '单单住的话，我觉得还凑合吧，就是我那间房的窗户关不上……工作人员说没问题的，安全。在携程订的价还是ok的。', '短评打分': 5}
{'短评内容': '有停车场，挺方便的！', '短评打分': 5}
{'短评内容': '环境还可以，就是设施简陋了点', '短评打分': 5}
{'短评内容': '房间有点旧。方便停车，wifi 可以。', '短评打分': 5}
{'短评内容': '可以，挺幹凈的', '短评打分': 5}
{'短评内容': '下订单无故被取消', '短评打分': 1}
{'短评内容': '第一次在京东订房，客服的服务非常好。半夜还接电话受理业务！好评了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '前台服务很好 办理也很快', '短评打分': 4}
{'短评内容': '好 推荐', '短评打分': 5}
{'短评内容': ' 酒店大堂很漂亮有特色，服务很nice', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房間比較干净，交通方便。近千灯湖区、大润发商场。', '短评打分': 3}
{'短评内容': '吃饭需要走一段路， 位置还行吧。 店里的女保洁员服务很好，热情！ 设施没想象的新。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
