{'descr': '出差好选择', 'star': 5}
{'descr': '不好不差吧', 'star': 4}
{'descr': '住的是8313房间，房间里有异味，卫生间的排气扇开了一夜还是有，服务还可以，前台接待还逗我家宝宝开心', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '特别好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '价格在上海来说是很便宜的，院里停车也方便，只是无窗的房间太多，只要在携程订好的房间，一定会给你无窗的。好像自己搭建的简易房，房间非常不隔音。正巧隔壁住了几个酒蒙子，素质很差，很差。半夜大声喧哗，搅的一宿没睡好觉。', 'star': 4}
{'descr': '晚上有点闹', 'star': 4}
{'descr': '没见返现', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '房间不错，很新，交通便利', 'star': 3}
{'descr': '再次入住了，因为上次住过，觉得性价比高', 'star': 3}
{'descr': '环境卫生很不错，房间也够大的，价格比较实惠的', 'star': 5}
{'descr': '好酒店就是好，内部设施很好！推荐！  唯一差点的就是位置，离地铁口有点距离！因为我家亲戚在旁边，所以很方便就找到了。  推荐！', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '床大', 'star': 3}
{'descr': '这个酒店位置很好，交通便利，房间价格比较实惠，很不错。', 'star': 5}
{'descr': '酒店不错，干净', 'star': 3}
{'descr': '环境一般，出行不便，比起一般的快捷酒店比较差。。', 'star': 1}
{'descr': '房间比较干净 地区不是闹区所以比较安静。总的来说不错', 'star': 5}
{'descr': '楼下有个卫生站，会有穿着医生服装的人上来敲门，真是奇怪了', 'star': 1}
{'descr': '酒店电梯间的地毯是塑料的，味道很重很难闻', 'star': 1}
{'descr': '打扫卫生的阿姨态度不是很让人接受，需要改进', 'star': 1}
{'descr': '前台的叫车服务时间太长了，等得花儿都谢了', 'star': 1}
{'descr': '周围都是外来人口聚居区，人员很复杂~~~~~~~~', 'star': 1}
{'descr': '想找个饭店吃点东西可不是很容易，附近没有一两个像样的饭店', 'star': 1}
{'descr': '洗澡间的地漏好像有问题，洗完澡就泛滥了。。。', 'star': 1}
{'descr': '味道太重了，最好开窗，开窗后噪音又很大，不知怎么办', 'star': 1}
{'descr': '坐落的位置太不方便了，想买点东西或者外出都不是很方便', 'star': 1}
{'descr': '酒店是比较新的，也就有点味道了，所以入住后要先开窗放放味道', 'star': 5}
{'descr': '是的，飞机总是从酒店上方飞过，噪音很大的。。。。。。', 'star': 5}
{'descr': '就是交通不太方便，其他的都还好啦。。。。。。', 'star': 5}
{'descr': '其它的都还好，价格也实惠，就是有飞机从上空飞过（因为离虹桥机场近），附件就这家可以！', 'star': 5}
{'descr': '还不错，整洁舒适，价钱也不贵，就是房间很小，另外希望能购买湖南卫视就好了。。。', 'star': 5}
{'descr': '由于到的时候已经晚上，找了好一会没找到，最后打电话让他们来接，不错哇。就是太偏了，每个醒目的标志。房型较小，很安静的说，虽然空调很新，但有点不给力。。。总体来说不错。。。', 'star': 5}
{'descr': '很不错的酒店，离我办事的地方很近。外边吃的小店也多。', 'star': 5}
{'descr': '很温馨的家庭公寓式酒店，能刷卡结帐就最好了。', 'star': 5}
{'descr': '这家酒店在小区里，很安静。离玄武湖公园和地铁都很近。只是房内卫生间设计得很不合理，下水很慢，洗个澡或在洗脸池洗个脸就会“水漫金山”。价位比较合适。', 'star': 1}
{'descr': '地点有些偏，在一个住宅小区，但房间卫生很好，设施齐全~~只是我定的是商务大床房，貌似我住的是一个小标间~~和它显示的大床房差别很大，虽然够住，我也没追究，但是还是有种受骗的感觉~~', 'star': 1}
{'descr': '住了两天，酒店还算干净，房间虽小还算精致，但卫生间用的全透明玻璃我不喜欢，房间电视一直用不起叫服务员来修一直都没来，服务还有待加强。', 'star': 5}
{'descr': '房间烟味很大 换气扇基本不工作，电视没有信号，尽管可以换房但是已经呆了一个下午了就没麻烦他们，结账的时候不能刷卡也无优惠。', 'star': 5}
{'descr': '房间还好。服务态度还是挺好的。价格的话是稍微偏贵了。', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '住的三楼，房间很干净，家具床被都很新，地理位置方面离玄武湖、鸡鸣寺都很近。\n', 'star': 5}
{'descr': ' 先说下好的。很新的酒店。国庆去南京，订了这家。中午到的时候，说房间都没打扫好，就住到顶楼去了。装修设计别具匠心。每层都是不同的颜色。订的是商务大床房。可惜顶楼颜色是黑色的。不好看。 看了下下面两层的，粉色，绿色的都很漂亮。确实看着让人很舒服。\r\n 再说下不满意的\r\n1. 窗帘，碎花淡色系的。是好看，但不中用。天刚亮，整个房间明晃晃的。一点都不能遮光。\r\n2. 厕所连挂毛巾的地方都没有。也找不到一', 'star': 1}
{'descr': '房间及洗手间太小，有些房还没窗。就是离玄武门特近，走路八分钟路程', 'star': 5}
{'descr': '位置非常好，在玄武湖的边上，走路去玄武湖、玄武门地铁、玄武湖公交站都是10分钟。酒店在百子亭社区里，吃饭很方便，小吃尚可。挺喜欢吃大碗面和汤包的。\r\n酒店室内设施还好，室外一般，由于在社区里，非常安静。\r\n平时房价不高时推荐入住。', 'star': 5}
{'descr': '位置很方便，离火车站和汽车站都很近  吃东西的地方挺多的，很喜欢外面的水果摊  就一点不好，早上外面有点吵', 'star': 5}
{'descr': '已经入住，环境挺好。', 'star': 5}
{'descr': '还好,就是太难找,家庭小公寓!', 'star': 5}
