{'短评内容': '干净安静，适合出差。', '短评打分': 5}
{'短评内容': '性价比不高，房间设施比较陈旧，不值这个房间', '短评打分': 3}
{'短评内容': '停车非常方便', '短评打分': 5}
{'短评内容': '都不错。挺好的。', '短评打分': 5}
{'短评内容': '快捷酒店的硬件设施', '短评打分': 1}
{'短评内容': 'ghjkkllkbbcxcfrtyuiookhbvvhhj.n', '短评打分': 5}
{'短评内容': 'yyggcccjmkyttyuuihhbbbvgyjioojnvccffuiiknnb', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '定好了交钱了却客满了。', '短评打分': 5}
{'短评内容': '下午出门时喊了客房服务，没有来&hellip;&hellip;', '短评打分': 5}
{'短评内容': '设施旧了点，顶多四星吧', '短评打分': 5}
{'短评内容': '有点破了，五星级，据说原来定的标准房没有了，给了更高级的房间，过年时间去的，不妄求太好。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '性价比很高，离新区很近，交通好，早餐不错，很安静', '短评打分': 5}
{'短评内容': '很好的地方，价格也实惠', '短评打分': 5}
{'短评内容': '早餐燕麦粥吃着很舒心', '短评打分': 5}
{'短评内容': '很好感觉不错，真的好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '高新区里面的酒店而言，马马虎虎！', '短评打分': 3}
{'短评内容': '酒店环境优雅，房间整洁，服务周到，下次还会约定', '短评打分': 4}
{'短评内容': '非常不错，五星级酒店，离办事的地方很近~~有免费的停车场，建筑也很气派~~屋内设施很好，干净卫生，非常赞！', '短评打分': 5}
{'短评内容': '在科技园，要吃饭得打车出去。但是条件不错，性价比极高。', '短评打分': 5}
{'短评内容': '酒店整体不错，有点老，周边环境一般', '短评打分': 4}
{'短评内容': '酒店设施有些陈旧了，早餐根本不符五星标准，服务水平一般，管理很弱，价格较低，去开发区办事较方便', '短评打分': 3}
{'短评内容': '酒店不错，西餐厅牛排很好。但房间空调每天只开一会儿。根本不象一家五星酒店。', '短评打分': 3}
{'短评内容': '相对这个级别的酒店来说，比较一般般，不过地理位置还可以', '短评打分': 5}
{'短评内容': '地理位置比较好，靠近大蜀山，而且比较好找。不过属于比较老的酒店，设施比较陈旧。睡到半夜会没有空调吹，已经立夏了，会热的睡不着。性价比偏低。', '短评打分': 1}
{'短评内容': '还不错的酒店。虽然老些，但服务都还是很不错的。前台无论是接待还是结账，都很快捷；餐厅服务也不错的。整个酒店环境也很好。这次是太匆忙了点，只住了一宿。希望下次到合肥，能在这个酒店多住些天。', '短评打分': 5}
{'短评内容': '不错的酒店，就是位子比较偏僻，非常安静，设施齐全。', '短评打分': 5}
{'短评内容': '作为星级酒店，只能说是一般，作为普通酒店，还是可以的', '短评打分': 5}
{'短评内容': '不错，虽然酒店处在高新开发区，但还算方便。只是晚上找吃的地方不方便。', '短评打分': 5}
{'短评内容': '酒店服务较好,但是地理位置偏僻,总体上还可以', '短评打分': 5}
{'短评内容': '酒店位置较偏，毗邻郊区，购物餐饮不方便，交通不便利。 \n', '短评打分': 5}
{'短评内容': '合肥外商国际俱乐部酒店房间设施过于老化，如洗澡时水会外流，作为五星级酒店是需要对房间设施进行维修了', '短评打分': 3}
{'短评内容': '不错的酒店，交通也很方便，以后还会常住！非常好！', '短评打分': 5}
{'短评内容': '环境不错，毕竟是一家涉外酒店，算得上合肥比较不错的', '短评打分': 5}
{'短评内容': '设施陈旧，服务不错\n设施陈旧，服务不错\n设施陈旧，服务不错', '短评打分': 5}
{'短评内容': '总体来说还不错，只是早餐只有中式。如果在丰富些就好了。', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': ' 酒店环境不错，下次还会住！', '短评打分': 3}
{'短评内容': '感觉不错，房间设施齐全，服务挺好的，就是价格稍微有点高，不过还是值得推荐', '短评打分': 5}
{'短评内容': '这个酒店环境不错,早餐也很好,就是比较偏远.', '短评打分': 5}
{'短评内容': '位置离市区远了点，不过毕竟是五星级酒店，服务可以，就是设施老了', '短评打分': 5}
{'短评内容': '房间还好吧，有机会下次还会再住，一定会向我的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '价格适中,很干净,服务也很到位,很方面便', '短评打分': 3}
{'短评内容': '酒店很好，漂亮', '短评打分': 3}
{'短评内容': '酒店楼层虽然不高，但是设施很新、很齐全，环境也不错，下次还会入住', '短评打分': 5}
{'短评内容': '酒店环境好，房间干净，安净，服务态度好！饭菜口味也不锗。', '短评打分': 5}
{'短评内容': '环境不错.房间小.周围吃饭不方便', '短评打分': 3}
{'短评内容': '酒店不错，环境很好，就是位置有点偏，以后路过还会再去住。', '短评打分': 5}
{'短评内容': '性價比很高，房間提供无线上网，很方便。早餐服務都很好。下次还会入住。', '短评打分': 5}
{'短评内容': '环境挺不错，早餐单调了些，其他还都比较满意。', '短评打分': 5}
{'短评内容': '可惜是去开会的，没有好好享受。\n条件很优越，像个小城堡环绕着绿地，娱乐设施貌似不少。\n\n不过就是太不喜欢合肥的菜了，油超级大。', '短评打分': 5}
{'短评内容': '环境很好，很气派，服务员也很热情，我最喜欢他家的游泳池，舒适极了。 对了，他们家的房费里含早餐。性价比很高。', '短评打分': 3}
{'短评内容': '第一次来住很不错啦，我爸爸经常来这里住 ，这里的环境好美，服务员态度好好，电视还能上网的，看喜欢的电影、电视，好开心，下次到合肥我还要住这里。', '短评打分': 5}
{'短评内容': '这家酒店很不错，我住过好几次了，环境好，服务好，特别是后花园很漂亮，真正是天然的氧吧，新装修的房间也很温馨，我和朋友们很喜欢这里', '短评打分': 5}
{'短评内容': '飯店地點離市中心遠，房間的廁所還有早餐，也不夠五星級的標準。', '短评打分': 1}
{'短评内容': '这个酒店还真不错，人好，地方好，什么都好，哈哈哈哈哈哈哈\r\n可是就是有一点，能便宜点就好了', '短评打分': 5}
{'短评内容': '很好。下次还会住。', '短评打分': 5}
{'短评内容': '总体不错，交通也方便，就是价格有点高，其他都不错', '短评打分': 5}
{'短评内容': '房间里的设备都不错， 也很干净，但为五星酒店，早餐差点。另外就是地理位置稍偏了点。', '短评打分': 5}
{'短评内容': '去过两次总体印象很好，酒店服务很到位，性价比很好，唯一美中不足的是洗漱用具居然没有一次性刮胡刀', '短评打分': 5}
{'短评内容': '酒店服务态度还是不错。但是过道和电梯间味道很重，感觉恶心。房间隔音是相当的差，隔壁的电视声音比自己房间的还大，说话听得相当的清楚。要想睡好觉只能期待隔壁没有人住。本来预定的3天，但只住了一晚就退房了。\r\n', '短评打分': 1}
{'短评内容': '比较老的五星酒店,一般还过得去.', '短评打分': 1}
{'短评内容': '符合五星级的标准，卫生是让我最满意，房间内的各项设施也很齐全,外部花园很美.早餐挺好.', '短评打分': 3}
{'短评内容': '该酒店外部环境挺好,内部设施整体还可以.', '短评打分': 5}
{'短评内容': '在同事推荐下住了该酒店，发现果然不错，服务非常好，房间也很干净，非常值得', '短评打分': 5}
{'短评内容': '服务非常好，值得推荐', '短评打分': 5}
{'短评内容': ' 和两年前的一次入住经历比，这次则有点差强人意了，可能时间太久的原因吧，这里的设施变得很老旧，虽然服务还是一如以往的好，交通也变得便利许多。\r\n 唯一的缺点就是设施太老旧了，同是五星，比起希尔顿就差很多了。。。不过价格方面还是有优势的~', '短评打分': 5}
{'短评内容': '经常在此下榻，追求的安静，虽然偏一点，但相对平静不吵杂。最近又去了，发现设施老化厉害，不知是否是管理层的经营问题，如空调旋钮坏的、吹风机竟然脱为两节，与其五星级的身份不符。幸好服务还比较到位，早餐不错，交通不是很方便，好在近几年合肥出租车发展较快，加之饭店所在的黄山路已逐步成为主干道（几年前要在此饭店门口打的实属不易），去机场、车站都在半小时到达。晚上的烧烤也还有点异域味道。价位还行。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;床很大，夜宵做的不错，空调的制冷慢了些，密码的保险柜不太好用，卫生间的设施还行。一个很安静的酒店，我很喜欢。游泳池和网球场都不错。值得说的一点，如果没开车去的话退房前应该之前跟前台打个招呼&amp;#8212;&amp;#8212;叫TAXI。我退房时宾馆帮我叫车，我在门口等了二十多分钟，最后看他在路口站了很久实在不忍心最后只好打电话叫朋友来接。&amp;lt;/', '短评打分': 5}
{'短评内容': '很不错的一家酒店，除了位置偏一点，其他一切都很好。性价比很高，下次去合肥还住这儿。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;这家酒店还是4星的时候住过一次，现在升了5星，硬件设施好像也没什么变化。预约的免费接送机不错，有点儿VIP的感觉，房间设施还行，早餐比较丰盛。免费的游泳池还不错。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;缺点就是距离市区远了一些。尤其距离火车站。出门最好提前跟礼宾部约出租车。另外感叹一下合肥火车站的票贩子。在酒', '短评打分': 5}
{'短评内容': '非常不错的酒店，唯一不太方便的是离市中心有点远，不过合肥打车也不贵，自己开车去就没这问题了。check in的时候前台5米以外就和你打招呼，非常不错。中餐厅的口味很熟悉，喜欢。', '短评打分': 3}
