{'短评内容': '喜欢，这次又要去拉萨了，想订都不能订，因为订满了', '短评打分': 5}
{'短评内容': '地理位置很好，吃饭购物乘公交都很方便，客栈在小区里，挺安静。房间干净整洁，用具该有的都有，虽是公卫，但价格算是很实惠的。最重要的是老板很好很热情。住了十天，走的时候我说下次来西藏还住这里。', '短评打分': 5}
{'短评内容': '客栈出乎意料的好，在一个安静的小区里，环境非常不错哦，房间很温馨，干净整洁，虽然是公用厕所，但是够大，下午5点到的拉萨，给老板打电话来接车，很快就安排人过来了，真心不错，重要的是够实惠啊，刚入住我就直接在朋友圈打广告了，哈哈，下次再来拉萨，一定还住这', '短评打分': 5}
{'短评内容': '环境很好，服务人员也很好。', '短评打分': 5}
{'短评内容': '有点偏', '短评打分': 4}
{'短评内容': '交通很方便，就在火车站附近，周边吃的也很多，很方便。坐地铁去中心区也很近，总之很推荐。今后还会去住的。', '短评打分': 3}
{'短评内容': '挺好的，店家态度很好', '短评打分': 5}
{'短评内容': '服务很好哦，阿姨很亲切，在这里真的很舒服。有点家的味道', '短评打分': 5}
{'短评内容': '适合坐火车的住，方便，环境也不错', '短评打分': 5}
{'短评内容': '房间很干净！所以得家具都非常新，下次来拉萨还会住这里', '短评打分': 5}
{'短评内容': '火车站附近，还有接送服务。房间是住宅小区，有家的感觉，价格也不高，值得推荐！', '短评打分': 5}
{'短评内容': '老板人很好！还有免费接送！', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '环境不错，老板娘待人真诚热情，给好评', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
