{'短评内容': '有孩子的可以订三张床的房间，挺宽敞的，卫生间有些陈旧，整个酒店占地面积很大。', '短评打分': 3}
{'短评内容': '总体来说还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '卫生条件什么的都可以。', '短评打分': 5}
{'短评内容': '第二次入住了，总体感觉性价比蛮高的', '短评打分': 4}
{'短评内容': '全家旅游好', '短评打分': 5}
{'短评内容': '房间类似招待所，比较一般，一楼很潮湿', '短评打分': 4}
{'短评内容': '设置比较陈旧，但是性价比比较高。 周围环境不错，如果预算有限，选择这家酒店也是不错的选择，早餐品种较少，但是对于这个价格来说，也是可以理解的', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '全家人一起出游，地点较偏，适合开车过去，大环境不错，适合休闲度假，住的地方比较一般，但是空间还算大，还是值的推荐。', '短评打分': 3}
{'短评内容': '酒店很安静，离藏书镇很近，只是酒店装修稍陈旧', '短评打分': 5}
{'短评内容': '酒店很安静，离藏书镇很近，只是酒店装修稍陈旧', '短评打分': 5}
{'短评内容': '比较安静，环境还可以。早饭也还好，性价比可以', '短评打分': 4}
{'短评内容': '价格便宜，房间很干净，服务员非常热情。', '短评打分': 4}
{'短评内容': '标房的床偏小，见议可大些，环境与卫生尚可。', '短评打分': 3}
