{'短评内容': '早餐很棒，位置优越。', '短评打分': 5}
{'短评内容': '酒店位置好，闹中取静，住宿安静，交通方便。出门就是八廓街大昭寺，每天早晚都可转圈。', '短评打分': 5}
{'短评内容': '位置很好，闹中取静，步行到大昭寺不超过五分钟。保证舒适的同时又保留了藏族装修应有的特色。比起中规中矩的大酒店，这间特色酒店绝对是最好的选择。老板娘很热情，可以给你的旅行提供许多中肯的建议。早餐的餐厅景观很好，抬头就可见布达拉宫，店里还有一只高冷的网红猫。', '短评打分': 5}
{'短评内容': '没有在这里吃早餐，一个人住，但是感觉被子很干净。', '短评打分': 5}
{'短评内容': '酒店，卫生很不错，很干净，特别是老板娘很热情。', '短评打分': 5}
{'短评内容': '条件不错的啊', '短评打分': 5}
{'短评内容': '宾馆位于八廓街内，出行方便，不管是大昭寺、布达拉宫，晃晃悠悠就到了。宾馆房间不大，但是设施齐全，配了接线板、加湿器，特别贴心的旅行宾馆。', '短评打分': 5}
{'短评内容': '宾馆就在八廓街里面，步行到大昭寺十分钟，到布达拉宫三十分钟，方便得很！宾馆虽小，五脏俱全，设备齐全，在西部干燥的环境下配备了加湿器，棒棒哒！而且装修很有地方特色，令人记忆深刻！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '第二次入住，不知道是不是淡季的原因，放水很久都没有热水', '短评打分': 3}
{'短评内容': '给朋友定的，不知道如何，随便点一下', '短评打分': 3}
{'短评内容': '就位于八廓街附近，不管是去大昭寺还是布达拉宫步行就可以了很方便，连住了三天，也没心思换来换去，主要难得找到个有独立卫生间的，老板也很热情的帮忙订周边一天团，那只猫真的很霸气', '短评打分': 5}
{'短评内容': '王小虎一入住就在我的床上，还跟我一起暖被窝', '短评打分': 4}
{'短评内容': '真的很不错真的很不错真的很不错', '短评打分': 5}
{'短评内容': '藏式风格酒店，还不错，女主人很热情，就是没住到朝南的房子。', '短评打分': 3}
{'短评内容': '装饰有特色，服务超好！', '短评打分': 3}
{'短评内容': '整体感觉不错，房间卫生干净，价格也不贵。还可以！', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生。整体感觉不错。', '短评打分': 5}
{'短评内容': '温馨,热情,干净,满意,赞!强烈推荐!', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通也很方便，安排的房间晚上很安静，房间设施满意，卫生也挺好的。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', '短评打分': 5}
{'短评内容': '宾馆位置不错，就在八廓街旁边的巷子里，离大昭寺小昭寺都很近，附近吃饭购物都很方便。在拉萨普遍房价高的情况下，八宝宾馆的价格还算能接受~老板娘很客气，伙计也很热情，整体不错~', '短评打分': 5}
