{'短评内容': '酒店有停车场', '短评打分': 4}
{'短评内容': '很好，房间很大', '短评打分': 5}
{'短评内容': '有回忆感，相比较现代的装修感更强的还是有不错的性价比。网络有点不给力。其它停车吃饭都很方便。', '短评打分': 4}
{'短评内容': '只能说这次住宿太不满意。难道定的特价房，卫生就不好吗？一开门房间的霉味特别特别的重，房间的地面上有烟头，地上墙边儿全都是飞的小虫子落下来的。估计是没打扫。卫生间地漏没有东西挡着。小飞虫全都跑出来在墙面上贴着。空调很老，调温不方便。我们住的一楼从携程订了三间，到了前台说还有两间又加的钱。有一间上了二楼。二楼的房间还好点。', '短评打分': 2}
{'短评内容': '停车场较大，价格也合理', '短评打分': 5}
{'短评内容': '还可以。。。。。。。', '短评打分': 4}
{'短评内容': '宾馆位置较好：清静。设施有点老旧，四周环境尚可。服务员工作态度很热情。还有一块很大的停车场。是一个较满意的住宿地，值得推荐。', '短评打分': 4}
{'短评内容': '空间挺大的，晚上蚊子太多睡不好', '短评打分': 5}
{'短评内容': '帮爸妈旅行期间订的，他们说挺好，性价比高', '短评打分': 5}
{'短评内容': '酒店周边环境一般但很安静停车场也大，外观较旧，设施也较旧，卫生一般，wiFi信号很弱基本不能上网，服务太度不是很热情。', '短评打分': 4}
{'短评内容': '停车方便，交通方便，环境不错', '短评打分': 4}
{'短评内容': '环境很好，从公路拐进巷子有三十米左右，比较安静，打开窗视线开阔，可以看到外面的河。房间设施是老款式有历史感，但干净整洁，旧而不破。停车场够宽，旺季来时车位足够。', '短评打分': 5}
{'短评内容': '很好，，比较不错，，', '短评打分': 5}
{'短评内容': '预订了8个标间，但最后只给我们5个标间，一个3人间，3人间破旧不堪，服务员态度也不好', '短评打分': 1}
{'短评内容': '我们一共订了6间房，听其他人说房间还可以，但我的房间就不行，窗台破旧不堪，房间一股潮味，洗澡水像毛毛雨，小得不行。', '短评打分': 1}
{'短评内容': '环境清爽', '短评打分': 3}
{'短评内容': '价格合理房间干净', '短评打分': 3}
