{'短评内容': '近便', '短评打分': 4}
{'短评内容': '方便，', '短评打分': 4}
{'短评内容': '环境不错，市中心比较方便', '短评打分': 5}
{'短评内容': '还不错，停车方便。但是酒店旧了，房间有味。', '短评打分': 4}
{'短评内容': '位置方便，停车方便。', '短评打分': 4}
{'短评内容': '京东酒店服务很好就是开发票很麻烦', '短评打分': 5}
{'短评内容': '京东酒店服务很好就是开发票很麻烦', '短评打分': 5}
{'短评内容': '不错，服务还行，干净卫生。位置也挺好找的。性价比高', '短评打分': 5}
{'短评内容': '还不错，老字号，大！', '短评打分': 5}
{'短评内容': '离家近', '短评打分': 4}
{'短评内容': '交通方便，酒店房间宽敞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施老了的，性价比还不错', '短评打分': 4}
{'短评内容': '我们定的房间己入住,还算不错。', '短评打分': 3}
{'短评内容': '装修有点旧，但挺实惠', '短评打分': 3}
{'短评内容': '酒店地理位置好，居市中心，停车及交通十分便利，但酒店房间内部有点陈旧', '短评打分': 5}
{'短评内容': '酒店环境不错.\r\n蒋军', '短评打分': 3}
{'短评内容': ' 房间很大，很舒适。', '短评打分': 3}
{'短评内容': '1、性价比还OK；\n2、没有一次性用品；\n3、网速慢；\n4、网速很慢；\n5、网速特别慢，最讨厌的！\n服务过得去 ！！', '短评打分': 5}
{'短评内容': '该酒店内部空间和外部环境都还不错，但是，房间内的牙刷用具等还需另收费！', '短评打分': 5}
{'短评内容': '十分满意', '短评打分': 3}
{'短评内容': '环境太差、设施老旧、服务不好、卫生不行、房间有异味，总体感觉不好！', '短评打分': 1}
{'短评内容': '位置好，价格可以接受，但不含早餐，可以出去吃，价格非常便宜，味道又好', '短评打分': 5}
