{'短评内容': '环境好，价格适中。适合度假', '短评打分': 5}
{'短评内容': '太一般了，大床房就这样了？', '短评打分': 3}
{'短评内容': '值不得这个价格 旁边有个烧烤摊子 用一个很大的风散对着房间喷烧烤的油烟 出来是为了呼吸新鲜空气的 不是来当油烟机的 服务员也不管 如果不是没地方住了的话 千万别住', '短评打分': 2}
{'短评内容': '值不得这个价格 旁边有个烧烤 对着房间喷烧烤的油烟 服务员也不管 千万别住', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好，服务好，房间大', '短评打分': 5}
{'短评内容': '方便不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '灯是坏的，不过老板还是帮我修了，那里只能现金，据说节假日贵特别多，平时去没有多少钱，适合多带两个人一起去~避开节假日', '短评打分': 3}
{'短评内容': '一个字好，二个字很好，三个字非常好！下次还选择这里！', '短评打分': 5}
{'短评内容': '一个字好，两个字很好，三个字非常好。下次还选择这里！', '短评打分': 5}
{'短评内容': '条件都可以  出行有些不方便  到青城山 建议 住在景区内', '短评打分': 1}
