{'短评内容': '如家忠实用户，只要目的地有如家，就会住。', '短评打分': 5}
{'短评内容': '整体还是不错的。还不错。这个离火车站比较近，打车还是比较方便的，另外就是离一个公园近。不吵闹。就是饭店不多附近。', '短评打分': 5}
{'短评内容': '酒店很好找，环境设施都不错，价格实惠，服务很热情，大清早抵达洛阳很冷，前台提前给我们办理了入住，很感动，身在异乡，热情的服务让我感到宾至如归。支持首旅，支持如家。', '短评打分': 5}
{'短评内容': '典型的如家风格，房间比较干净，周边交通便利，出门右拐有条小吃街，吃饭也比较方便，有几个免费的停车位，在酒店的左边，从银行边上过去，单行道，走过了还得绕一圈并且没醒目的提示', '短评打分': 5}
{'短评内容': '位置很好，公交直达。', '短评打分': 5}
{'短评内容': '环境还可以，希望继续保持！', '短评打分': 5}
{'短评内容': '酒店房间干净整洁。非常值得信赖。', '短评打分': 5}
{'短评内容': '如家酒店全国连锁，错不了', '短评打分': 5}
{'短评内容': '很干净，位置也好找！', '短评打分': 5}
{'短评内容': '网速太低，无法上网', '短评打分': 4}
{'短评内容': '周边环境稍乱，但是房间很好！', '短评打分': 5}
{'短评内容': '服务很好，很温馨', '短评打分': 5}
{'短评内容': '价格实惠，服务标准，全国如家里的平均水平', '短评打分': 2}
{'短评内容': '服务态度很好，拖鞋不小心弄湿，一个电话就送到了房间，交通方便，好评', '短评打分': 5}
{'短评内容': '房间挺干净，0度左右的室外温度，屋里的暖气不热，不建议冬天去。', '短评打分': 4}
{'短评内容': '服务，环境，卫生都不错。比较喜欢如家快捷酒店。希望未来更好。', '短评打分': 5}
{'短评内容': '旅店位置不错，离商业区较近，房间较宽敞，比较干净；酒店服务好，工作人员很热情；在酒店吃饭也很方便，不需要到外面去了；总体上是一家不错的旅店。', '短评打分': 5}
{'短评内容': '价格便宜，比较适合出差旅游！！！性价比很高的酒店！！！', '短评打分': 3}
{'短评内容': '价格便宜，比较适合商务出差！！！超值！！！', '短评打分': 4}
{'短评内容': '跟会员价差不多', '短评打分': 4}
{'短评内容': '酒店不错，卫生干净，交通便利，下次去了还住', '短评打分': 5}
{'短评内容': '延续如家一贯的水平，房间很干净，服务态度一般，位置比较好找，周围吃饭地点不太多，去各个景区交通都很方便！', '短评打分': 5}
{'短评内容': '.订的三个房间，入住时只有两间，另一间要下午七点以后待他人结帐后才能入住。洛阳的房间比西安的稍差。', '短评打分': 3}
{'短评内容': '酒店非常干净，服务员服务态度非常棒~下次来洛阳还来住。', '短评打分': 5}
{'短评内容': '地理位置不错 离市中心挺近的\n洛阳打车不贵 所以基本上都只有一个起步价\n早餐12块钱 价格还行 就是得去早点吧 \n迟了啥都没有了 凑乎吃吃可以的 \n去白马寺和龙门都需要去平行的另一条街 \n走个五分多钟就可以到', '短评打分': 5}
{'短评内容': '就是价格贵了些，内部比较陈旧，在火车站附近很吵', '短评打分': 5}
{'短评内容': '房间比较大停车比较方便服务态度好，就是电视不是液晶的', '短评打分': 5}
{'短评内容': '坊间很大，很舒服，以后来洛阳还住这家店。。。。。。', '短评打分': 5}
{'短评内容': '离火车站近，交通方便，环境干净，服务不错，早餐种类不多。', '短评打分': 5}
{'短评内容': '放不错，比较大，也很干净，就是旧了点，其他的都和如家差不多，总体还是不错的', '短评打分': 5}
{'短评内容': '服务不及时，卫生间缺少东西未补，且空调抽风', '短评打分': 1}
{'短评内容': '不错，挺干净的！是我入住的房间面积最大的一家。就是浴室下水有点慢，能听到走廊的说话声，网速也有点跟不上！', '短评打分': 5}
{'短评内容': '酒店挺干净的，服务态度也不错。就是可能因为我住的那间刚打扫完，还没彻底打扫干净，厕所纸篓还有杂物，也没配一次性牙刷等等。不过因为是短暂停留，所以也没和客房要。', '短评打分': 5}
{'短评内容': '如家传统的服务，很不错。各方面条件都比较平衡。房间也干净。', '短评打分': 5}
{'短评内容': '酒店还不错，有停车位。服务员态度热情，延时到1点退房也没有问题。', '短评打分': 5}
{'短评内容': '干净整洁、简单舒适、服务周到、但房价和同类酒店相比偏高。', '短评打分': 1}
{'短评内容': '可能是由于雨天的缘故地板有些脏,房间比一般如家要大', '短评打分': 3}
{'短评内容': '服务人员态度热情，环境干净，离火车站比较近', '短评打分': 5}
{'短评内容': '不是第一次住如家了，环境依旧那么好，入住的时候，前台小姐还主动问我们是不是需要向阳的房间。。而且位置不错，离新都会很近。。', '短评打分': 3}
{'短评内容': '总体还行，下次还会来住！.。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的如家，支持：）', '短评打分': 3}
{'短评内容': '这里嘛,总体还行,服务员挺有礼貌的,卫生如果搞的不要太仓促就好了', '短评打分': 5}
{'短评内容': '位置不错，在繁华路段的附近，交通方便又比较安静~房间很干净，格局很合理~服务很满意！\n只是正好赶上正月初三吃早餐，人超级多很拥挤，东西根本来不及上！既然酒店知道客房都满了就应该预料到大过年的大家都没有地方吃早餐会有这种意外出现，应该早做准备才好！', '短评打分': 5}
{'短评内容': '很干净整洁  服务热情   餐厅便宜       停车位少  但是热情于以解决   地理位子很好，推荐旅友入住  ', '短评打分': 3}
{'短评内容': '总体来说酒店比较新,交通比较方便,而且职员的服务也很热情。如果到洛阳的话,这里应该是一个很好的选择。', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '与其他如家酒店差不多，不错，只是门外正在修路，显得较不方便。', '短评打分': 5}
{'短评内容': '服务非常好，位置也不错，交通比较方便，推荐', '短评打分': 5}
{'短评内容': '+还可以。', '短评打分': 5}
{'短评内容': '洛阳如家快捷酒店是我们这次自驾游中最好的入住酒店,谢谢', '短评打分': 5}
{'短评内容': '+住', '短评打分': 5}
{'短评内容': '不错，一直很喜欢如家的风格，确实如家的感觉，以后还会选择这里。', '短评打分': 5}
{'短评内容': ' 还可以，就是价格高，比我用会员卡订高5元，加上早餐高17元！', '短评打分': 5}
{'短评内容': '一般一般，十分一般。有餐厅，食物一般，但是很方便', '短评打分': 3}
{'短评内容': '一般一般，十分一般。有餐厅，食物一般，但是很方便', '短评打分': 3}
{'短评内容': '酒店的地理位置的确比较方便，离王城广场走路也就10分钟不到，到白马寺和龙门石窟的公车站也比较近。但是性价比一般，酒店的房间比较小', '短评打分': 5}
{'短评内容': '很不错的如家就是蚊子太多了，还有就是枕头让我不太舒服', '短评打分': 5}
{'短评内容': '离旧城区有点距离，酒店门口的公交车路线较少，但服务态度很好！', '短评打分': 5}
{'短评内容': 'it is ok', '短评打分': 5}
{'短评内容': '廉价连锁店这个算不错的。我们的员工出差都选它。', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '温馨舒适', '短评打分': 3}
{'短评内容': 'i will introduce this hotel to my friends, i think.', '短评打分': 5}
{'短评内容': '总的来说很不错 位置也很便利 就是相对于洛阳170的价位有点高了 而且商务房没有电脑 只有网线 不是很满意 其他的不错', '短评打分': 5}
{'短评内容': '很干净，位置也不错', '短评打分': 5}
{'短评内容': '不错，环境上不错，交通方便,有餐厅，但味道一般..', '短评打分': 5}
{'短评内容': '酒店的设施比较简单，但环境还算干净，服务不错，会推荐。', '短评打分': 3}
{'短评内容': '酒店的电梯把我手划伤了~~烂电梯。。。服务员给我的创可贴还是保质期只到09年的过期货！！！！\n唉~~\n住这是个悲剧~~~', '短评打分': 1}
{'短评内容': '该酒店位置较好，服务很好，性价比较高，值得推荐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店卫生还可以，服务也不错，位置比较好，下次还会住。', '短评打分': 5}
{'短评内容': '安静。有停车场。服务很好。很干净。', '短评打分': 3}
{'短评内容': '有停车场，很安静，餐厅的饭也很可口~~', '短评打分': 3}
{'短评内容': '有停车场，这个挺好~~位置距离购物中心有点点远了，总体来说还不错了', '短评打分': 5}
{'短评内容': '酒店位置很好，闹中取静，离火车站和长途汽车站比较近，但离新的高铁站相对较远。', '短评打分': 5}
{'短评内容': '位置不錯，離中心很近', '短评打分': 5}
{'短评内容': '性价比不错，位置也挺好，有停车位', '短评打分': 5}
{'短评内容': '还好，位置接近市中心但不在闹市区，比较安静。停车很方便。', '短评打分': 3}
{'短评内容': '前台的态度不错，房间也不小，挺舒服，值得推荐', '短评打分': 3}
{'短评内容': '感觉还不错，性价比不错，房间也够大', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '位置还好，后院免费停车，地方很大，很方便。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '感觉还不错，不过就是室内的装修感觉有点生硬，离家的感觉有些差距，另外宾馆要是能附上当地的特色购物和小吃介绍，最好是附近的特色小吃之类就更好了，我们在附近确实没有什么东西吃，宾馆的餐厅大家也只是填饱肚子而已，洛阳牡丹花会期间宾馆的涨价确实都很惊人啊，呵呵。', '短评打分': 5}
{'短评内容': '该店服务细致、房间舒适，地理环境不错、到各大景点均在附近有交通车。下次有机会到洛阳－－该店是首选', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '房间够大且安静，是我住过几个省市的“如家”连锁房间最大的一间，特别值得一赞的是－－酒店大厅的墙壁上贴着著名景点及餐馆、超市、火车站等地点及前往的交通工具（在武汉的某间如家就没有到黄鹤楼的指引）。这说明唐宫中路的如家店工作做得细、贴心。\r\n有一个建议，不要收费才能办酒店会员卡，学一下桔子酒店（也是全国连锁），只要是入住过就自动成为该连锁酒店的会员。', '短评打分': 5}
{'短评内容': '酒店一般，', '短评打分': 1}
{'短评内容': '酒店在装修,卫生间的水很小,没办法洗澡', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '房间很大，但是尽量不要选择靠街的房间，还是有点吵。', '短评打分': 5}
{'短评内容': '条件不错，干净安全，离车站也不远', '短评打分': 5}
{'短评内容': '各方面都比较满意，服务员也比较热心。\r\n附近有个81路可以去石窟，很方便，不过没找到从火车站到宾馆的公交，\r\n打车5元。旁边的驴肉汤挺好吃，还有一家建坤水席，不贵，可以体会\r\n一下洛阳水席的感觉，服务员还是比较实在的。', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比较高，就是在装修比较吵', '短评打分': 5}
{'短评内容': '服务不好', '短评打分': 1}
{'短评内容': '房间较大，但卫生间有异味。', '短评打分': 3}
{'短评内容': '周边环境较差，不好打车。', '短评打分': 1}
