{'短评内容': '很划算，性价比高，离西街超级近', '短评打分': 5}
{'短评内容': '悠然客栈真的不错小杨和小向态度特别好有问必答服务周到热情以后去阳朔还住在这里房间挺大的热水24小时一直都有', '短评打分': 5}
{'短评内容': '酒店的特色在于地理位置非常好，离西街非常近，价格也相对便宜。但是因为是民宿人手有限，毛巾、床铺无法及时整理。', '短评打分': 4}
{'短评内容': '房间干净卫生，前台小妹服务态度很好，附近有停车场', '短评打分': 5}
{'短评内容': '不错，虽然很靠近西街，但是很安静，活动用餐都很方便', '短评打分': 5}
{'短评内容': '一切还好。', '短评打分': 4}
{'短评内容': '环境不错，周边都是客栈，离西街很近。', '短评打分': 5}
{'短评内容': '环境优雅，出行方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '经济实惠，和图片相符，老板年轻人，很好沟通', '短评打分': 5}
{'短评内容': '房间不错，非常的温馨，床上用品都是新换滴，被子也厚实，距离西街一百多米的样子', '短评打分': 5}
{'短评内容': '真的的是极好的、环境都是很好的、干净、卫生、离西街很近', '短评打分': 5}
{'短评内容': '这个位置在阳朔离西街不远不近正合适', '短评打分': 3}
{'短评内容': '离西街五分钟步行，很安静，性价比比较高，老板很热情，离县政府很近，停车也比较方便', '短评打分': 3}
{'短评内容': '房东非常热情，周边游的票都在她家订的，很实惠放心。', '短评打分': 5}
{'短评内容': '网上的评论都说不错，而且价格合理，所以就订了，老板人也很好，给了我很多在阳朔旅游的建议，觉得很贴心、很温馨！', '短评打分': 5}
{'短评内容': '靠近漓江边，比较安静。个人认为适合想在这小住几天，体验当地风情的自助游客。', '短评打分': 3}
{'短评内容': '客栈很温馨，老板和老板娘很好，帮了我们很多忙，房间很干净，设施很完善，下次还住', '短评打分': 5}
{'短评内容': '这种价位的酒店在阳朔还是很低的，也很实惠，老板娘不错，但就是地址很偏，第一次去的话很难找到。', '短评打分': 5}
{'短评内容': '房间还可以，比较开阔，有保险箱，有热水，沐浴露洗发水不错，是六神的，总体来说环境优雅比较满意！', '短评打分': 3}
{'短评内容': '酒店离西街很近，老板和老板娘很热情，服务很好！', '短评打分': 5}
{'短评内容': '优点：离西街很近，老板和老板娘态度超热情~屋子很干净。\n缺点：没有发票（开的话需要单独加10%开票费），不能刷卡。所以需要常驻的兄弟需要带足现金，因为那边租船租车买东西几乎都不能刷卡。\n总结~只要你不是公费出差，住得起当地江边别墅的。这里绝对是第一选择。以后还会去', '短评打分': 5}
{'短评内容': '环境卫生都不错，而且很安静！', '短评打分': 3}
{'短评内容': '这是我桂林阳朔昆明大理丽江香格里拉走过来住的最满意的一家。房间摆设虽然比较简单，但是干净卫生，阳台上的吊椅很棒。店里的人都很热情，帮忙订的漂流的师傅也很好。看印象刘三姐居然可以先看再给钱。距离崇删米粉和胡记锅贴也很近。', '短评打分': 5}
{'短评内容': '大床没有1.8米。也没摇椅哦。房间较整洁，卫生间洗脸台有不少蚂蚁。\n在小巷里，真不好找。', '短评打分': 5}
{'短评内容': '推荐的唯一原因就是地理位置好，安静。设施简陋但还干净。不足：你不主动要求打扫客栈服务人员是不会给你打扫的，总之要主动要求。', '短评打分': 5}
{'短评内容': '很好的小客栈，安静不错。', '短评打分': 3}
{'短评内容': '安静，舒适，老板是个热心人，就是稍稍离西街远了点。', '短评打分': 5}
{'短评内容': '刚刚住了三天回来，发现房间跟图片有点不一样了，貌似有翻新过的痕迹。\n\n房间：挺大，有窗户有阳台，阳台上有摇椅。\n浴室：干净，但是要自备牙刷，厕所是蹲厕～没有马桶。\n床：有1米8的双人床，床坐上去貌似蛮硬的，但异常的好睡，而且不在西街上，比较安静。\n服务：老板的服务很好，每次出门都看见他们在楼下值班，而且需要的物品都很快能送到。\n\n缺点： 都是民宿普遍的缺点，隔音不太好，大早上能听到楼下议论声。', '短评打分': 5}
{'短评内容': '环境安静,老板也热情,逛西街很方便', '短评打分': 3}
{'短评内容': '地點非常好，離西街，離徐悲鴻故居，離江邊，頂多兩分鐘的路。離汽車站稍微遠一點，也只要五分鐘左右。老闆人非常好，什麽都會幫忙。尤其喜歡房間里的陽臺，陽臺上有吊椅。下雨的時候，即使什麽都不做，只是在吊椅上賞雨，看書，寫字，發呆，都那麼的讓人心滿意足。再有杯清茶就完美了，哈哈。總之，非常好，強烈推薦，下次去陽朔，還會住這裡。', '短评打分': 5}
{'短评内容': '老板非常好。。帮了很多忙。。很值得入住的酒店。。', '短评打分': 5}
{'短评内容': '已入住，比较安静。其它要等住完再说', '短评打分': 3}
{'短评内容': '卫生设备比较简陋，有点后悔没有去那里再订旅馆，阳朔镇上有很多不错的旅店。', '短评打分': 1}
{'短评内容': '价格合理，老板特别热情，不过就是房间太小了。阳台的吊椅很漂亮也很舒服，可以看星星也可以晒太阳！', '短评打分': 5}
{'短评内容': '老板人很好卫生也不错', '短评打分': 3}
{'短评内容': '店主很热情，大床房里还有那种摇椅，感觉很不错，空间也大', '短评打分': 5}
