{'短评内容': '不错住过几次', '短评打分': 5}
{'短评内容': '很好!方便!推荐入住', '短评打分': 5}
{'短评内容': '很不错!推荐!!', '短评打分': 5}
{'短评内容': '老板娘人很好，亲自来接机，车是新车，很宽敞舒适。还帮我们免费升级豪华标间，房间很安静也很整洁干净，酒店离报国寺景区50米，景区晚上比峨眉山市区凉快，周围特色小吃很多。值得入住，很满意的住宿。', '短评打分': 5}
{'短评内容': '位置太嘈杂，态度不好！爱理不理！', '短评打分': 1}
{'短评内容': '过年去玩的，好多人哦酒店位置很好，卫生也可以。服务也可以。主要是方便啊', '短评打分': 5}
{'短评内容': '酒店特别好，过年一家人去玩的，酒店位置好找服务还可以，卫生也还可以', '短评打分': 5}
{'短评内容': '房间不错，交通便利，好!', '短评打分': 4}
{'短评内容': '酒店老板真的好热情，帮忙建议浏览计划，还送了两节竹竿，登山必备，临走还送到马路上帮我们打车关车门，真的很好的店家，房间布置很有格调，热水超级大，中央空调超级给力', '短评打分': 5}
{'短评内容': '很干净，设施很好！', '短评打分': 5}
{'短评内容': '很干净，一点也不潮，除了有一点点吵以外，都很完美。', '短评打分': 5}
{'短评内容': '干净卫生，介绍了一个泡温泉的地方很画算', '短评打分': 5}
{'短评内容': '峨眉山下 离报国寺很近。环境不错 很卫生', '短评打分': 5}
{'短评内容': '服務很好，很热情，不明白的都一一细心幫忙我們解決。房間乾淨，5樓有一個空中花園，空氣很好，有空可以坐坐喝喝茶。下次來玩，也会选這酒店！祝老板生意興隆！', '短评打分': 5}
{'短评内容': '非常不错，今天下了峨眉山又来续住，比较干净！不过实在不推荐酒店对面的饭店，超级难吃！', '短评打分': 5}
{'短评内容': '酒店很划算吧，前台美女很热情！房间还不错，很大，这个价格在景区应该算很不错啦', '短评打分': 5}
{'短评内容': '老板服务态度很好，卫生也能比较不催，老板还细心介绍旅游攻略，还送了两根竹竿。????', '短评打分': 4}
{'短评内容': '非常不诚实的酒店，设施勉强还漫天要价', '短评打分': 3}
{'短评内容': '很吵，房间有股怪味，最可笑的是淋雨间没有地漏。', '短评打分': 3}
{'短评内容': '定的豪标，电视液晶的，比较干净，感觉比较新，总体还是不错的', '短评打分': 3}
{'短评内容': '很干净，宽敞，不错!', '短评打分': 3}
{'短评内容': '峨眉山下的小酒店大都这样吧可能 不能期待太高', '短评打分': 1}
{'短评内容': '老板爱理不理的。。。在旅游景点不指望酒店有多好。起码干净卫生。基本设施齐全。床单上还有血迹。杯子也好脏。牙刷其中一个还是破的（牙刷在，牙膏没了）。。', '短评打分': 1}
{'短评内容': '很烂的一个酒店，260一间的豪华间，号称是三星级标准。\n有如下不足\n1.没有浴巾，向服务台要，被告知都不提供。没有浴巾也算三星？\n2.卫生差，各个地方都不敢下脚，特别是卫生间。\n3.被子潮湿，可能是天气造成的。\n4.房间里的设备很陈旧。\n总的来说还不如边上的小酒店中。', '短评打分': 1}
{'短评内容': '该酒店存在欺诈行为：登记入住后，推荐峨眉山一日游140元，应含汽车非90元、当地导游费与一顿午餐，实际服务内容与签订的合同内容不符、明明90元景区内汽车费用已包含所有来回到雷洞坪、万年寺等汽车费用，胡捏从一线天回来的费用：25元；说好一早有车来接，实际为景区的公交车（本身就是免费的），组团后，那个该死的导游，又强药170元。\n该酒店还故意不给住宿发票，胡捏发票用完了。\n', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店介绍说距离客运中心50米，步行2分钟，实际距离比这远多了。。。实在找不到，电话打去问，说是200米。老板娘倒是挺热情的，订的房间是80块。不过一直推荐我们加入他们那种带导游的团。我们没参加。早上退房上山，值班的是另一个女的，结果说我们房间的空调遥控没了。。。。好么，说的挺好听的，让我们下山回来再看看，看服务员是不是能找到，发票她也开不了，也要等那时再说。。。。天知道，我们连空调都没开过。。。。', '短评打分': 1}
{'短评内容': '地理位置很好，临街，有些吵。但服务很周到，房间也很干净。', '短评打分': 5}
{'短评内容': '环境不错.很好找.就在路边的。综合分79吧', '短评打分': 3}
